00007ffc0e8ae3d3 (__TEXT,__text) non-external _Done_iODBC
00007ffc0e8cc080 (__TEXT,__const) non-external _FunctionNumbers
00007ffc0e8cb0d5 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffc0e8ae2b5 (__TEXT,__text) non-external _Init_iODBC
00007ffc4128549c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffc0e8ac984 (__TEXT,__text) external _SQLAllocConnect
00007ffc0e8ac874 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffc0e8ae23c (__TEXT,__text) external _SQLAllocEnv
00007ffc0e8ae08e (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffc0e8b88ec (__TEXT,__text) external _SQLAllocHandle
00007ffc0e8b89e7 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffc0e8b8660 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffc0e8b1435 (__TEXT,__text) external _SQLAllocStmt
00007ffc0e8b0eb4 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffc0e8b64d9 (__TEXT,__text) external _SQLBindCol
00007ffc0e8be89c (__TEXT,__text) external _SQLBindParam
00007ffc0e8b5809 (__TEXT,__text) external _SQLBindParameter
00007ffc0e8a95fa (__TEXT,__text) external _SQLBrowseConnect
00007ffc0e8a976b (__TEXT,__text) external _SQLBrowseConnectA
00007ffc0e8a98dc (__TEXT,__text) external _SQLBrowseConnectW
00007ffc0e8a8fad (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffc0e8be378 (__TEXT,__text) external _SQLBulkOperations
00007ffc0e8b231e (__TEXT,__text) external _SQLCancel
00007ffc0e8be8c8 (__TEXT,__text) external _SQLCloseCursor
00007ffc0e8bddb8 (__TEXT,__text) external _SQLColAttribute
00007ffc0e8bdf64 (__TEXT,__text) external _SQLColAttributeA
00007ffc0e8be110 (__TEXT,__text) external _SQLColAttributeW
00007ffc0e8bd669 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffc0e8b8159 (__TEXT,__text) external _SQLColAttributes
00007ffc0e8b8305 (__TEXT,__text) external _SQLColAttributesA
00007ffc0e8b84b1 (__TEXT,__text) external _SQLColAttributesW
00007ffc0e8b7c61 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffc0e8a1b8c (__TEXT,__text) external _SQLColumnPrivileges
00007ffc0e8a1d83 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffc0e8a1f7a (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffc0e8a18d0 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffc0e8a242d (__TEXT,__text) external _SQLColumns
00007ffc0e8a2624 (__TEXT,__text) external _SQLColumnsA
00007ffc0e8a281b (__TEXT,__text) external _SQLColumnsW
00007ffc0e8a2171 (__TEXT,__text) non-external _SQLColumns_Internal
00007ffc0e8a6412 (__TEXT,__text) external _SQLConnect
00007ffc0e8a6d53 (__TEXT,__text) external _SQLConnectA
00007ffc0e8a6eea (__TEXT,__text) external _SQLConnectW
00007ffc0e8a65a9 (__TEXT,__text) non-external _SQLConnect_Internal
00007ffc0e8cbde3 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffc0e8bd4e9 (__TEXT,__text) external _SQLCopyDesc
00007ffc0e8b2df1 (__TEXT,__text) external _SQLDataSources
00007ffc0e8b2f19 (__TEXT,__text) external _SQLDataSourcesA
00007ffc0e8b3041 (__TEXT,__text) external _SQLDataSourcesW
00007ffc0e8b2990 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffc41285420 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffc41285440 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffc41285448 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffc0e8b769a (__TEXT,__text) external _SQLDescribeCol
00007ffc0e8b7887 (__TEXT,__text) external _SQLDescribeColA
00007ffc0e8b7a74 (__TEXT,__text) external _SQLDescribeColW
00007ffc0e8b73e8 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffc0e8ab6e8 (__TEXT,__text) external _SQLDescribeParam
00007ffc0e8a9a4d (__TEXT,__text) external _SQLDisconnect
00007ffc0e8a8aca (__TEXT,__text) external _SQLDriverConnect
00007ffc0e8a8c6b (__TEXT,__text) external _SQLDriverConnectA
00007ffc0e8a8e0c (__TEXT,__text) external _SQLDriverConnectW
00007ffc0e8a7081 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffc0e8cbe06 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffc0e8cbe29 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffc0e8b36aa (__TEXT,__text) external _SQLDrivers
00007ffc0e8b37d2 (__TEXT,__text) external _SQLDriversA
00007ffc0e8b38fa (__TEXT,__text) external _SQLDriversW
00007ffc0e8b3290 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffc41285424 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffc41285450 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffc41285458 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffc0e8be2bc (__TEXT,__text) external _SQLEndTran
00007ffc0e8aed83 (__TEXT,__text) external _SQLError
00007ffc0e8aee68 (__TEXT,__text) external _SQLErrorA
00007ffc0e8aef4d (__TEXT,__text) external _SQLErrorW
00007ffc0e8aac04 (__TEXT,__text) external _SQLExecDirect
00007ffc0e8aad40 (__TEXT,__text) external _SQLExecDirectA
00007ffc0e8aae7c (__TEXT,__text) external _SQLExecDirectW
00007ffc0e8aa9cc (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffc0e8aa730 (__TEXT,__text) external _SQLExecute
00007ffc0e8abe06 (__TEXT,__text) external _SQLExtendedFetch
00007ffc0e8abb6c (__TEXT,__text) external _SQLFetch
00007ffc0e8be580 (__TEXT,__text) external _SQLFetchScroll
00007ffc0e8ab9b4 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffc0e8a2db3 (__TEXT,__text) external _SQLForeignKeys
00007ffc0e8a2fd5 (__TEXT,__text) external _SQLForeignKeysA
00007ffc0e8a31f7 (__TEXT,__text) external _SQLForeignKeysW
00007ffc0e8a2a12 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffc0e8acacb (__TEXT,__text) external _SQLFreeConnect
00007ffc0e8aca2b (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffc0e8ae353 (__TEXT,__text) external _SQLFreeEnv
00007ffc0e8ae2e2 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffc0e8b8ae5 (__TEXT,__text) external _SQLFreeHandle
00007ffc0e8b1882 (__TEXT,__text) external _SQLFreeStmt
00007ffc0e8b1651 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffc0e8c8969 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffc0e8bb729 (__TEXT,__text) external _SQLGetConnectAttr
00007ffc0e8bbc22 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffc0e8bbd73 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffc0e8bb87a (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffc0e8ad992 (__TEXT,__text) external _SQLGetConnectOption
00007ffc0e8adab8 (__TEXT,__text) external _SQLGetConnectOptionA
