00007ffd1b3df048 (__TEXT,__text) non-external _Done_iODBC
00007ffd1b3fceb0 (__TEXT,__const) non-external _FunctionNumbers
00007ffd1b3fbe74 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffd1b3def2a (__TEXT,__text) non-external _Init_iODBC
00007ffd446a494c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffd1b3dd5ae (__TEXT,__text) external _SQLAllocConnect
00007ffd1b3dd494 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffd1b3deeb1 (__TEXT,__text) external _SQLAllocEnv
00007ffd1b3decf9 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffd1b3e963c (__TEXT,__text) external _SQLAllocHandle
00007ffd1b3e9737 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffd1b3e93a0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffd1b3e217a (__TEXT,__text) external _SQLAllocStmt
00007ffd1b3e1b84 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffd1b3e7299 (__TEXT,__text) external _SQLBindCol
00007ffd1b3ef62c (__TEXT,__text) external _SQLBindParam
00007ffd1b3e65d2 (__TEXT,__text) external _SQLBindParameter
00007ffd1b3da109 (__TEXT,__text) external _SQLBrowseConnect
00007ffd1b3da278 (__TEXT,__text) external _SQLBrowseConnectA
00007ffd1b3da3e7 (__TEXT,__text) external _SQLBrowseConnectW
00007ffd1b3d9a8d (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffd1b3ef0eb (__TEXT,__text) external _SQLBulkOperations
00007ffd1b3e3086 (__TEXT,__text) external _SQLCancel
00007ffd1b3ef658 (__TEXT,__text) external _SQLCloseCursor
00007ffd1b3eeb30 (__TEXT,__text) external _SQLColAttribute
00007ffd1b3eecda (__TEXT,__text) external _SQLColAttributeA
00007ffd1b3eee84 (__TEXT,__text) external _SQLColAttributeW
00007ffd1b3ee3f0 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffd1b3e8e9f (__TEXT,__text) external _SQLColAttributes
00007ffd1b3e9049 (__TEXT,__text) external _SQLColAttributesA
00007ffd1b3e91f3 (__TEXT,__text) external _SQLColAttributesW
00007ffd1b3e89eb (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffd1b3d2849 (__TEXT,__text) external _SQLColumnPrivileges
00007ffd1b3d2a1a (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffd1b3d2beb (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffd1b3d2569 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
00007ffd1b3d309c (__TEXT,__text) external _SQLColumns
00007ffd1b3d326d (__TEXT,__text) external _SQLColumnsA
00007ffd1b3d343e (__TEXT,__text) external _SQLColumnsW
00007ffd1b3d2dbc (__TEXT,__text) non-external _SQLColumns_Internal
00007ffd1b3d6f64 (__TEXT,__text) external _SQLConnect
00007ffd1b3d787f (__TEXT,__text) external _SQLConnectA
00007ffd1b3d7a03 (__TEXT,__text) external _SQLConnectW
00007ffd1b3d70e8 (__TEXT,__text) non-external _SQLConnect_Internal
00007ffd1b3fcc09 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffd1b3ee270 (__TEXT,__text) external _SQLCopyDesc
00007ffd1b3e3b19 (__TEXT,__text) external _SQLDataSources
00007ffd1b3e3c41 (__TEXT,__text) external _SQLDataSourcesA
00007ffd1b3e3d69 (__TEXT,__text) external _SQLDataSourcesW
00007ffd1b3e36a0 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffd446a48d0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffd446a48f0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffd446a48f8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffd1b3e8445 (__TEXT,__text) external _SQLDescribeCol
00007ffd1b3e8627 (__TEXT,__text) external _SQLDescribeColA
00007ffd1b3e8809 (__TEXT,__text) external _SQLDescribeColW
00007ffd1b3e818d (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffd1b3dc2a7 (__TEXT,__text) external _SQLDescribeParam
00007ffd1b3da556 (__TEXT,__text) external _SQLDisconnect
00007ffd1b3d95d4 (__TEXT,__text) external _SQLDriverConnect
00007ffd1b3d9767 (__TEXT,__text) external _SQLDriverConnectA
00007ffd1b3d98fa (__TEXT,__text) external _SQLDriverConnectW
00007ffd1b3d7b87 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffd1b3fcc2c (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffd1b3fcc4f (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffd1b3e43f5 (__TEXT,__text) external _SQLDrivers
00007ffd1b3e451d (__TEXT,__text) external _SQLDriversA
00007ffd1b3e4645 (__TEXT,__text) external _SQLDriversW
00007ffd1b3e3fc0 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffd446a48d4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffd446a4900 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
