00007ff80b3bd7fc (__TEXT,__text) non-external _Annihilate
00007ff80b400351 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80b400bfb (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80b3fee59 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80b3bd5f1 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80b3d9280 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80b3ad784 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80b3bd8d8 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80b3adbc2 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80b3fd2f6 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80b3fdca5 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80b3adeb8 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80b3c4eac (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80b3d0cc8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80b3d1ac1 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80b3cfecf (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80b3d0299 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80b3d1092 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80b3cf4a0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80b3b6eb8 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80b3b8838 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80b3ba044 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80b3bb850 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80b3b702c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80b3f0d74 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80b3f2fa4 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80b3f3f88 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80b3f4f6c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80b3f5f50 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80b3f6f34 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80b3f7f18 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
