                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
00007ffc12af65d8 (__TEXT,__text) external _apr__SHA256_Data
00007ffc12af6507 (__TEXT,__text) external _apr__SHA256_End
00007ffc12af63e9 (__TEXT,__text) external _apr__SHA256_Final
00007ffc12af6073 (__TEXT,__text) external _apr__SHA256_Init
00007ffc12af60ae (__TEXT,__text) external _apr__SHA256_Transform
00007ffc12af6302 (__TEXT,__text) external _apr__SHA256_Update
00007ffc12aee875 (__TEXT,__text) external _apr_allocator_alloc
00007ffc12aee738 (__TEXT,__text) external _apr_allocator_create
00007ffc12aee7a8 (__TEXT,__text) external _apr_allocator_destroy
00007ffc12aeea2c (__TEXT,__text) external _apr_allocator_free
00007ffc12aee80b (__TEXT,__text) external _apr_allocator_max_free_set
00007ffc12aee7ed (__TEXT,__text) external _apr_allocator_mutex_get
00007ffc12aee7e3 (__TEXT,__text) external _apr_allocator_mutex_set
00007ffc12aee801 (__TEXT,__text) external _apr_allocator_owner_get
00007ffc12aee7f7 (__TEXT,__text) external _apr_allocator_owner_set
00007ffc12af0c54 (__TEXT,__text) external _apr_app_initialize
00007ffc12ae8723 (__TEXT,__text) external _apr_array_append
00007ffc12ae857c (__TEXT,__text) external _apr_array_cat
00007ffc12ae84a7 (__TEXT,__text) external _apr_array_clear
00007ffc12ae8642 (__TEXT,__text) external _apr_array_copy
00007ffc12ae86ee (__TEXT,__text) external _apr_array_copy_hdr
00007ffc12ae8425 (__TEXT,__text) external _apr_array_make
00007ffc12ae84b4 (__TEXT,__text) external _apr_array_pop
00007ffc12ae8779 (__TEXT,__text) external _apr_array_pstrcat
00007ffc12ae84de (__TEXT,__text) external _apr_array_push
00007ffc12ae693e (__TEXT,__text) external _apr_atoi64
00007ffc12ae9f88 (__TEXT,__text) external _apr_atomic_add32
00007ffc12ae9fbd (__TEXT,__text) external _apr_atomic_cas32
00007ffc12ae9fd6 (__TEXT,__text) external _apr_atomic_casptr
00007ffc12ae9fac (__TEXT,__text) external _apr_atomic_dec32
00007ffc12ae9f9d (__TEXT,__text) external _apr_atomic_inc32
00007ffc12ae9f70 (__TEXT,__text) external _apr_atomic_init
00007ffc12ae9f78 (__TEXT,__text) external _apr_atomic_read32
00007ffc12ae9f80 (__TEXT,__text) external _apr_atomic_set32
00007ffc12ae9f94 (__TEXT,__text) external _apr_atomic_sub32
00007ffc12ae9fc9 (__TEXT,__text) external _apr_atomic_xchg32
00007ffc12ae9fe4 (__TEXT,__text) external _apr_atomic_xchgptr
00007ffc12ae33cc (__TEXT,__text) external _apr_collapse_spaces
00007ffc12ae3104 (__TEXT,__text) external _apr_cpystrn
00007ffc12af6665 (__TEXT,__text) external _apr_crypto_sha256_new
00007ffc12af8517 (__TEXT,__text) external _apr_ctime
00007ffc12af9bb0 (__TEXT,__const) external _apr_day_snames
00007ffc12aea4a4 (__TEXT,__text) external _apr_dir_close
00007ffc12aea6ae (__TEXT,__text) external _apr_dir_make
00007ffc12aea6df (__TEXT,__text) external _apr_dir_make_recursive
00007ffc12aed2b6 (__TEXT,__text) external _apr_dir_open
00007ffc12aea403 (__TEXT,__text) external _apr_dir_open$INODE64
00007ffc12aed357 (__TEXT,__text) external _apr_dir_read
00007ffc12aea4da (__TEXT,__text) external _apr_dir_read$INODE64
00007ffc12aea7a9 (__TEXT,__text) external _apr_dir_remove
00007ffc12aed513 (__TEXT,__text) external _apr_dir_rewind
00007ffc12aea69d (__TEXT,__text) external _apr_dir_rewind$INODE64
00007ffc12aea15f (__TEXT,__text) external _apr_dso_error
00007ffc12aea04a (__TEXT,__text) external _apr_dso_load
00007ffc12aea127 (__TEXT,__text) external _apr_dso_sym
00007ffc12aea110 (__TEXT,__text) external _apr_dso_unload
00007ffc12aefd3e (__TEXT,__text) external _apr_env_delete
00007ffc12aefcff (__TEXT,__text) external _apr_env_get
00007ffc12aefd28 (__TEXT,__text) external _apr_env_set
00007ffc12ae2ada (__TEXT,__text) external _apr_escape_echo
00007ffc12ae242d (__TEXT,__text) external _apr_escape_entity
00007ffc12ae2d48 (__TEXT,__text) external _apr_escape_hex
00007ffc12ae2099 (__TEXT,__text) external _apr_escape_path
00007ffc12ae1f24 (__TEXT,__text) external _apr_escape_path_segment
00007ffc12ae19ac (__TEXT,__text) external _apr_escape_shell
00007ffc12ae2298 (__TEXT,__text) external _apr_escape_urlencoded
