000000018b144510 (__TEXT,__text) non-external _Annihilate
000000018b180a3c (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
000000018b18108c (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
000000018b17fbd0 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
000000018b144280 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
000000018b15dd58 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
000000018b137b88 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
000000018b1449d4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
000000018b137de4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
000000018b17e3ec (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
000000018b17ec78 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
000000018b13805c (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
000000018b14b180 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
000000018b15672c (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
000000018b1572fc (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
000000018b155b5c (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
000000018b155e64 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
000000018b156a34 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
000000018b155294 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
000000018b13ee0c (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
000000018b140328 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
000000018b141688 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
000000018b1429e8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
000000018b13efc8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
000000018b172e88 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
000000018b174d70 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
000000018b175b78 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
000000018b176980 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
000000018b177788 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
000000018b178590 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
000000018b179398 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000018b17a1a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000018b17b0c0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000018b173160 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000018b173f68 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000018b153708 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
000000018b164958 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000018b1598a8 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
000000018b152d04 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000018b159748 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000018b14982c (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000018b14994c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000018b149a68 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000018b1498ec (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000018b14db1c (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000018b14db14 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000018b14d9c4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000018b14fd54 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000018b14dac8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000018b14daa8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
