00007ffc427ff470 (__DATA_DIRTY,__common) external _AfterColour
00007ffc42801670 (__DATA_DIRTY,__common) external _ApplyExtTspWithoutProfile
00007ffc42803120 (__DATA_DIRTY,__common) external _AsmMacroMaxNestingDepth
00007ffc427f8c50 (__DATA_DIRTY,__common) external _BBSectionsDetectSourceDrift
                 (undefined) external _BZ2_bzBuffToBuffCompress (from libbz2)
                 (undefined) external _BZ2_bzBuffToBuffDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffc427ff370 (__DATA_DIRTY,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
00007ffc427f9d10 (__DATA_DIRTY,__common) external _CheapRematWeight
00007ffc427ff570 (__DATA_DIRTY,__common) external _CommonColour
00007ffc427f9a70 (__DATA_DIRTY,__common) external _CopyWeight
00007ffc427fecf0 (__DATA_DIRTY,__common) external _DisableBitcodeVersionUpgrade
00007ffc428015a0 (__DATA_DIRTY,__common) external _EnableExtTspBlockPlacement
00007ffc427fe0e0 (__DATA_DIRTY,__common) external _EnableLTOInternalization
00007ffc42802f70 (__DATA_DIRTY,__common) external _EnableVPlanNativePath
00007ffc42802ea0 (__DATA_DIRTY,__common) external _EnableVPlanPredication
00007ffc427f9990 (__DATA_DIRTY,__common) external _EvictInterferenceCutoff
00007ffc427f9df0 (__DATA_DIRTY,__common) external _ExpensiveRematWeight
00007ffc427f81c0 (__DATA_DIRTY,__common) external _FSEC
00007ffc42800870 (__DATA_DIRTY,__common) external _ForceFusion
00007ffc42ddd800 (__DATA,__common) external _ForceSummaryEdgesCold
00007ffc428006d0 (__DATA_DIRTY,__common) external _FuseMatrix
00007ffc427ffeb0 (__DATA_DIRTY,__common) external _GenerateMergedBaseProfiles
00007ffc427f70f0 (__DATA_DIRTY,__common) external _InlinerFunctionImportStats
00007ffc0855108a (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffc0855101e (__TEXT,__text) external _LLVMABISizeOfType
00007ffc07a3fa7a (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00007ffc07a3fa85 (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00007ffc086cb4c2 (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
00007ffc0829246d (__TEXT,__text) external _LLVMAddAggressiveDCEPass
