00007ffa1c0fb082 (__TEXT,__text) non-external _DiToMD5
00007ffa1c0fb302 (__TEXT,__text) non-external _DiToSHA1
00007ffa1c0e487f (__TEXT,__text) external _DriverExecutableMain
00007ffa41b3f7d8 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffa41b3fa98 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffa41b3f9a0 (__DATA_CONST,__const) external _IOCommand_Class
00007ffa41b3fb90 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffa41b3fcf0 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffa1c0e0f8b (__TEXT,__text) external _IODelay
00007ffa41b3fea0 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffa41b40050 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffa1c0e4d6c (__TEXT,__text) external _IODriverKitTest
00007ffa1c10c318 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffa1c10c343 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffa1c10c366 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffa1c10c391 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffa1c10c3b4 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffa1c10c3d7 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffa1c10c3fa (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffa1c10c41d (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffa41b40200 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffa41b40360 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffa1c0e0f3a (__TEXT,__text) external _IOFree
00007ffa1c0e0f71 (__TEXT,__text) external _IOFreeData
00007ffa1c0e4d51 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffa41b40be0 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffa41b404f0 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffa1c0e0f9e (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffa1c0e3c02 (__TEXT,__text) external _IOLockAlloc
00007ffa1c0e3c51 (__TEXT,__text) external _IOLockAssert
00007ffa1c10bd49 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffa1c0e3c1d (__TEXT,__text) external _IOLockFree
00007ffa1c0e3c33 (__TEXT,__text) external _IOLockLock
00007ffa1c0e3c3d (__TEXT,__text) external _IOLockTryLock
00007ffa1c0e3c47 (__TEXT,__text) external _IOLockUnlock
00007ffa1c0e0d66 (__TEXT,__text) external _IOLog
00007ffa1c0e0c26 (__TEXT,__text) external _IOLogBuffer
00007ffa1c0e0e04 (__TEXT,__text) external _IOLogv
00007ffa1c0e0f0d (__TEXT,__text) external _IOMalloc
00007ffa1c0e0f44 (__TEXT,__text) external _IOMallocData
00007ffa1c0e0f28 (__TEXT,__text) external _IOMallocZero
00007ffa1c0e0f5f (__TEXT,__text) external _IOMallocZeroData
00007ffa41b406a0 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffa41b40850 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffa1c0e101e (__TEXT,__text) external _IOParseBootArgNumber
00007ffa1c0e1488 (__TEXT,__text) external _IOParseBootArgString
00007ffa1c0e2e1d (__TEXT,__text) external _IORPCMessageFromMach
00007ffa1c10bae4 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffa1c10bb19 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffa1c0e3e50 (__TEXT,__text) external _IORWLockAlloc
00007ffa1c10be61 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffa1c0e3e89 (__TEXT,__text) external _IORWLockFree
00007ffa1c0e3eb0 (__TEXT,__text) external _IORWLockRead
