                 (undefined) external _CGPathCreateMutable (from CoreGraphics)
                 (undefined) external _CGRectEqualToRect (from CoreGraphics)
                 (undefined) external _CGRectGetHeight (from CoreGraphics)
                 (undefined) external _CGRectGetMaxX (from CoreGraphics)
                 (undefined) external _CGRectGetMaxY (from CoreGraphics)
                 (undefined) external _CGRectGetMinX (from CoreGraphics)
                 (undefined) external _CGRectGetMinY (from CoreGraphics)
                 (undefined) external _CGRectGetWidth (from CoreGraphics)
                 (undefined) external _CGRectIntegral (from CoreGraphics)
                 (undefined) external _CGRectIntersection (from CoreGraphics)
                 (undefined) external _CGRectUnion (from CoreGraphics)
                 (undefined) external _CTFrameGetLines (from CoreText)
                 (undefined) external _CTFramesetterCreateFrame (from CoreText)
                 (undefined) external _CTFramesetterCreateWithAttributedString (from CoreText)
                 (undefined) external _NSFontAttributeName (from AppKit)
                 (undefined) external _NSParagraphStyleAttributeName (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSAttributedString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableAttributedString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableParagraphStyle (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSParagraphStyle (from AppKit)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
                 (undefined) external _OBJC_CLASS_$_UIColor (from UIKit)
                 (undefined) external _OBJC_CLASS_$_UIFont (from AppKit)
                 (undefined) external _OBJC_CLASS_$_UIScreen (from UIKit)
                 (undefined) external _OBJC_CLASS_$_UIView (from UIKit)
                 (undefined) external _OBJC_CLASS_$_UIWindow (from UIKit)
                 (undefined) external _OBJC_CLASS_$_UIWindowScene (from UIKit)
00000001ed221c68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$__TtC11TeaTemplate15ColumnDebugView
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_UIView (from UIKit)
00000001ed221cf8 (__DATA_DIRTY,__data) external _OBJC_METACLASS_$__TtC11TeaTemplate15ColumnDebugView
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
00000001de4d913c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4da5cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4db310 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4db37c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4db864 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4dd928 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4dd954 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4df7d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4dfee8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4e3184 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4e3e28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4e5788 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4e6c34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4e8efc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4ea358 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4ebb74 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4ecd28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4ee208 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001de4ef5dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
