00007ffb16af8749 (__TEXT,__text) external _LLVMExtraCreateBinary
00007ffb16af8844 (__TEXT,__text) external _LLVMExtraDisposeBinary
00007ffb16af86f7 (__TEXT,__text) external _LLVMExtraDisposeSharedModule
00007ffb16af8930 (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
00007ffb16af8bd2 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
00007ffb16af8a81 (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
00007ffb16af8856 (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
00007ffb16af869e (__TEXT,__text) external _LLVMExtraMakeSharedModule
00007ffb16af7548 (__TEXT,__text) external _MTLArchiveAddMember
00007ffb16af7475 (__TEXT,__text) external _MTLArchiveCreate
00007ffb16af74fc (__TEXT,__text) external _MTLArchiveDestroy
00007ffb16afc76e (__TEXT,__text) external _MTLArchiveGetAsObject
00007ffb16af762f (__TEXT,__text) external _MTLArchiveGetMemberNo
00007ffb16af75e5 (__TEXT,__text) external _MTLArchiveGetMembersCount
00007ffb16afc8ed (__TEXT,__text) external _MTLCreateScript
00007ffb16afcb25 (__TEXT,__text) external _MTLDestroyScript
00007ffb16afa62b (__TEXT,__text) external _MTLDisposeSharedMetalModule
00007ffb16aefd71 (__TEXT,__text) external _MTLDowngradeAIRModule
00007ffb16aefd34 (__TEXT,__text) external _MTLEnablePrettyStackTrace
00007ffb16af4299 (__TEXT,__text) external _MTLFunctionGroupCreate
00007ffb16af449b (__TEXT,__text) external _MTLFunctionGroupDestroy
00007ffb16af4570 (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
00007ffb16af4534 (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
00007ffb16af44f6 (__TEXT,__text) external _MTLFunctionGroupGetName
00007ffb16aeea98 (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
00007ffb16aee740 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModules
00007ffb16aee856 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModulesWithReferences
00007ffb16aee96c (__TEXT,__text) external _MTLGPUArchiverAddPipeline
00007ffb16aef361 (__TEXT,__text) external _MTLGPUArchiverAddTool
00007ffb16aee4d2 (__TEXT,__text) external _MTLGPUArchiverAddUnit
00007ffb16aee609 (__TEXT,__text) external _MTLGPUArchiverAddUnitWithReference
00007ffb16aef5ab (__TEXT,__text) external _MTLGPUArchiverBuildToBuffer
00007ffb16aef6b9 (__TEXT,__text) external _MTLGPUArchiverBuildToFD
00007ffb16aedd7b (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriter
00007ffb16aee10e (__TEXT,__text) external _MTLGPUArchiverCreateCoreImageWriterWithId
00007ffb16aedeac (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriter
00007ffb16aee23f (__TEXT,__text) external _MTLGPUArchiverCreateDynamicLibraryWriterWithId
00007ffb16aedc4a (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriter
00007ffb16aedfdd (__TEXT,__text) external _MTLGPUArchiverCreateExecutableWriterWithId
00007ffb16aee370 (__TEXT,__text) external _MTLGPUArchiverDeleteWithId
00007ffb16aee486 (__TEXT,__text) external _MTLGPUArchiverDestroy
00007ffb16aef8f0 (__TEXT,__text) external _MTLGPUArchiverDumpStateToBuffer
00007ffb16aef9fe (__TEXT,__text) external _MTLGPUArchiverDumpStateToFD
00007ffb16aef7ee (__TEXT,__text) external _MTLGPUArchiverFlush
00007ffb16aefb92 (__TEXT,__text) external _MTLGPUArchiverFromId
