00007ffa1c3727ed (__TEXT,__text) non-external +[NFPromise new]
00007ffa1c373d21 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00007ffa1c373b4e (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00007ffa1c373b2b (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00007ffa1c373b08 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00007ffa1c373a3e (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00007ffa1c373abb (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00007ffa1c373a6b (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00007ffa1c375346 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00007ffa1c374e68 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00007ffa1c3782aa (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00007ffa1c37095a (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00007ffa1c3720b0 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00007ffa1c37213c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00007ffa1c3721ca (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00007ffa1c372270 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00007ffa1c373f50 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00007ffa1c373ecf (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00007ffa1c37756c (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00007ffa1c3774eb (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00007ffa1c3705f3 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00007ffa1c3707f8 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
