00000001d9a48af8 (__DATA,__common) external _BC
00000001d9a489a4 (__DATA,__common) external _COLORS
00000001a58f61b0 (__TEXT,__text) external _COLOR_PAIR
00000001d9a489a0 (__DATA,__common) external _COLOR_PAIRS
00000001d9a48ae4 (__DATA,__common) external _COLS
00000001d9a48520 (__DATA,__data) external _ESCDELAY
00000001d9a48ae0 (__DATA,__common) external _LINES
00000001a58f7354 (__TEXT,__text) external _PAIR_NUMBER
00000001d9a48b04 (__DATA,__common) external _PC
00000001d9a489d0 (__DATA,__common) external _SP
00000001d9a48ae8 (__DATA,__common) external _TABSIZE
00000001d9a48af0 (__DATA,__common) external _UP
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00000001a58d4f30 (__TEXT,__text) external __nc_access
00000001a58d77e0 (__TEXT,__text) external __nc_add_to_try
00000001a58d7f98 (__TEXT,__text) external __nc_align_termtype
00000001a58d773c (__TEXT,__text) external __nc_basename
00000001a58d761c (__TEXT,__text) external __nc_baudrate
00000001a58de8a0 (__TEXT,__text) external __nc_build_wch
00000001a58ef3a4 (__TEXT,__text) external __nc_capcmp
00000001a58d8e80 (__TEXT,__text) external __nc_captoinfo
00000001dbe721d8 (__AUTH,__data) external __nc_check_termtype
00000001dbe721d0 (__AUTH,__data) external __nc_check_termtype2
00000001d9a48758 (__DATA,__common) external __nc_comment_end
00000001d9a48750 (__DATA,__common) external __nc_comment_start
00000001a58d7a2c (__TEXT,__text) external __nc_copy_entry
00000001a58d877c (__TEXT,__text) external __nc_copy_termtype
00000001d9a48738 (__DATA,__common) external __nc_curr_col
00000001d9a48748 (__DATA,__common) external __nc_curr_file_pos
00000001d9a48734 (__DATA,__common) external __nc_curr_line
00000001d9a48768 (__DATA,__common) external __nc_curr_token
00000001a58dd018 (__TEXT,__text) external __nc_delink_entry
00000001d9a48780 (__DATA,__common) external __nc_disable_period
00000001a58e1434 (__TEXT,__text) external __nc_do_color
00000001a58d5770 (__TEXT,__text) external __nc_doalloc
00000001a58db51c (__TEXT,__text) external __nc_entry_match
00000001a58da76c (__TEXT,__text) external __nc_err_abort
00000001a58f03d0 (__TEXT,__text) external __nc_expand_try
00000001a58f87a8 (__TEXT,__text) external __nc_expanded
00000001a58dd0c0 (__TEXT,__text) external __nc_fallback
00000001a58dac84 (__TEXT,__text) external __nc_find_entry
00000001a58dad74 (__TEXT,__text) external __nc_find_type_entry
00000001a58dcee0 (__TEXT,__text) external __nc_first_db
00000001a58eda74 (__TEXT,__text) external __nc_first_name
00000001a58eb890 (__TEXT,__text) external __nc_flush
00000001a58e1c5c (__TEXT,__text) external __nc_free_and_exit
00000001a58dd08c (__TEXT,__text) external __nc_free_entries
00000001a58dcfe4 (__TEXT,__text) external __nc_free_entry
00000001a58dd0c8 (__TEXT,__text) external __nc_free_termtype
00000001a58e1c58 (__TEXT,__text) external __nc_freeall
00000001a58e6470 (__TEXT,__text) external __nc_freewin
00000001a58da460 (__TEXT,__text) external __nc_get_alias_table
00000001a58da444 (__TEXT,__text) external __nc_get_hash_table
00000001a58e9b90 (__TEXT,__text) external __nc_get_locale
00000001a58d58bc (__TEXT,__text) external __nc_get_screensize
00000001a58da56c (__TEXT,__text) external __nc_get_source
00000001a58da364 (__TEXT,__text) external __nc_get_table
00000001a58dbd04 (__TEXT,__text) external __nc_get_token
00000001a58ebf94 (__TEXT,__text) external __nc_get_tty_mode
00000001a58da5e4 (__TEXT,__text) external __nc_get_type
00000001a58d5a9c (__TEXT,__text) external __nc_getenv_num
00000001d9a48110 (__DATA,__data) external __nc_globals
00000001a58e9ac4 (__TEXT,__text) external __nc_handle_sigwinch
00000001a58e4334 (__TEXT,__text) external __nc_has_mouse
00000001a58dd338 (__TEXT,__text) external __nc_hash_map
00000001d9a48788 (__DATA,__common) external __nc_head
00000001a58d4d74 (__TEXT,__text) external __nc_home_terminfo
00000001a58d9b1c (__TEXT,__text) external __nc_infotocap
00000001a58de30c (__TEXT,__text) external __nc_init_acs
00000001a58d7924 (__TEXT,__text) external __nc_init_entry
00000001a58ddf80 (__TEXT,__text) external __nc_init_keytry
00000001a58ed3c0 (__TEXT,__text) external __nc_init_wacs
00000001a58e3650 (__TEXT,__text) external __nc_insert_ch
00000001a58d7774 (__TEXT,__text) external __nc_is_abs_path
00000001a58da330 (__TEXT,__text) external __nc_is_charable
00000001a58d4df0 (__TEXT,__text) external __nc_is_dir_path
00000001a58d7788 (__TEXT,__text) external __nc_is_file_path
00000001a58dcda8 (__TEXT,__text) external __nc_keep_tic_dir
00000001a58f5ca0 (__TEXT,__text) external __nc_keyname
00000001a58e6bbc (__TEXT,__text) external __nc_keypad
00000001a58d57cc (__TEXT,__text) external __nc_last_db
00000001a58dd0bc (__TEXT,__text) external __nc_leaks_tinfo
00000001a58e9bcc (__TEXT,__text) external __nc_locale_breaks_acs
00000001a58ddc4c (__TEXT,__text) external __nc_make_oldhash
00000001a58e66f4 (__TEXT,__text) external __nc_makenew
00000001a58d7e7c (__TEXT,__text) external __nc_merge_entry
00000001a58e4a9c (__TEXT,__text) external __nc_msec_cost
00000001a58e4cb8 (__TEXT,__text) external __nc_mvcur_init
00000001a58e4c04 (__TEXT,__text) external __nc_mvcur_resume
00000001a58e5250 (__TEXT,__text) external __nc_mvcur_wrap
00000001a58edae8 (__TEXT,__text) external __nc_name_match
00000001a58d4b48 (__TEXT,__text) external __nc_next_db
00000001d9a48b08 (__DATA,__common) external __nc_nulls_sent
00000001d9a48798 (__DATA,__common) external __nc_oldnums
00000001a58d5880 (__TEXT,__text) external __nc_ospeed
00000001a58eb8b8 (__TEXT,__text) external __nc_outch
00000001a58edbac (__TEXT,__text) external __nc_panelhook
00000001a58dc894 (__TEXT,__text) external __nc_panic_mode
00000001a58edbc8 (__TEXT,__text) external __nc_parse_entry
00000001a58d4b14 (__TEXT,__text) external __nc_pathlast
00000001d9a48240 (__DATA,__data) external __nc_prescreen
00000001a58f00e4 (__TEXT,__text) external __nc_printf_string
00000001d9a489d8 (__DATA,__common) external __nc_progname
00000001a58dcd00 (__TEXT,__text) external __nc_push_token
00000001a58d49c8 (__TEXT,__text) external __nc_read_entry
00000001a58db6a8 (__TEXT,__text) external __nc_read_entry_source
00000001a58d4e48 (__TEXT,__text) external __nc_read_file_entry
00000001a58ef690 (__TEXT,__text) external __nc_read_termcap_entry
00000001a58d5024 (__TEXT,__text) external __nc_read_termtype
00000001a58f0484 (__TEXT,__text) external __nc_remove_key
00000001a58f0508 (__TEXT,__text) external __nc_remove_string
00000001a58de7a0 (__TEXT,__text) external __nc_render
00000001a58e09c0 (__TEXT,__text) external __nc_reset_colors
00000001a58dbca8 (__TEXT,__text) external __nc_reset_input
00000001a58dbca0 (__TEXT,__text) external __nc_resolve_uses
00000001a58db840 (__TEXT,__text) external __nc_resolve_uses2
00000001a58e9a04 (__TEXT,__text) external __nc_ripoffline
00000001a58d767c (__TEXT,__text) external __nc_rootname
00000001a58f02dc (__TEXT,__text) external __nc_safe_strcat
00000001a58f0354 (__TEXT,__text) external __nc_safe_strcpy
00000001a58d7a80 (__TEXT,__text) external __nc_save_str
00000001d9a489c8 (__DATA,__common) external __nc_screen_chain
00000001a58f35d4 (__TEXT,__text) external __nc_screen_init
00000001a58e69f0 (__TEXT,__text) external __nc_screen_of
00000001a58f0e50 (__TEXT,__text) external __nc_screen_resume
00000001a58f35d8 (__TEXT,__text) external __nc_screen_wrap
00000001a58ddcbc (__TEXT,__text) external __nc_scroll_oldhash
00000001a58dd174 (__TEXT,__text) external __nc_scroll_optimize
00000001a58e8dc0 (__TEXT,__text) external __nc_scroll_window
00000001a58f2478 (__TEXT,__text) external __nc_scrolln
00000001a58f01d0 (__TEXT,__text) external __nc_set_buffer
00000001a58d7578 (__TEXT,__text) external __nc_set_no_padding
00000001a58da57c (__TEXT,__text) external __nc_set_source
00000001a58ec004 (__TEXT,__text) external __nc_set_tty_mode
00000001a58da58c (__TEXT,__text) external __nc_set_type
00000001a58f4bb8 (__TEXT,__text) external __nc_set_writedir
00000001a58e9414 (__TEXT,__text) external __nc_setupscreen
00000001a58d45c0 (__TEXT,__text) external __nc_setupterm
00000001a58ebbd0 (__TEXT,__text) external __nc_signal_handler
00000001a58e9cf0 (__TEXT,__text) external __nc_slk_initialize
00000001d9a48760 (__DATA,__common) external __nc_start_line
00000001a58f02d0 (__TEXT,__text) external __nc_str_copy
00000001a58f02a0 (__TEXT,__text) external __nc_str_init
00000001a58f02bc (__TEXT,__text) external __nc_str_null
00000001d9a48730 (__DATA,__common) external __nc_suppress_warnings
00000001a58ed540 (__TEXT,__text) external __nc_synchook
00000001d9a48740 (__DATA,__common) external __nc_syntax
00000001a58da7c0 (__TEXT,__text) external __nc_syserr_abort
00000001d9a48790 (__DATA,__common) external __nc_tail
00000001a58dcd4c (__TEXT,__text) external __nc_tic_dir
00000001a58da814 (__TEXT,__text) external __nc_tic_expand
00000001a58f5b7c (__TEXT,__text) external __nc_tic_written
00000001a58ec30c (__TEXT,__text) external __nc_timed_wait
00000001a58fdef0 (__TEXT,__const) external __nc_tinfo_fkeys
00000001a58da35c (__TEXT,__text) external __nc_to_char
00000001a58da360 (__TEXT,__text) external __nc_to_widechar
00000001a58d7264 (__TEXT,__text) external __nc_tparm_analyze
00000001d9a48b00 (__DATA,__common) external __nc_tparm_err
00000001d9a48b18 (__DATA,__common) external __nc_tracing
00000001a58dc8c8 (__TEXT,__text) external __nc_trans_string
00000001a58d5b00 (__TEXT,__text) external __nc_trim_sgr0
00000001a58f4350 (__TEXT,__text) external __nc_unctrl
00000001a58ec770 (__TEXT,__text) external __nc_ungetch
00000001a58e9b9c (__TEXT,__text) external __nc_unicode_locale
00000001a58e9b14 (__TEXT,__text) external __nc_update_screensize
00000001d9a4810c (__DATA,__data) external __nc_user_definable
00000001a58f46a4 (__TEXT,__text) external __nc_visbuf
00000001a58f4490 (__TEXT,__text) external __nc_visbuf2
00000001a58f46b4 (__TEXT,__text) external __nc_visbufn
00000001d9a48b10 (__DATA,__common) external __nc_wacs
00000001a58de99c (__TEXT,__text) external __nc_waddch_nosync
00000001a58da620 (__TEXT,__text) external __nc_warning
00000001a58df5ac (__TEXT,__text) external __nc_wchstrlen
00000001a58ec5c4 (__TEXT,__text) external __nc_wcrtomb
00000001a58e2344 (__TEXT,__text) external __nc_wgetch
00000001a58d7b1c (__TEXT,__text) external __nc_wrap_entry
00000001a58f4df0 (__TEXT,__text) external __nc_write_entry
                 (undefined) external _access (from libSystem)
00000001d9a487a0 (__DATA,__common) external _acs_map
00000001a58f766c (__TEXT,__text) external _add_wch
00000001a58f7680 (__TEXT,__text) external _add_wchnstr
00000001a58f7698 (__TEXT,__text) external _add_wchstr
00000001a58f5f5c (__TEXT,__text) external _addch
00000001a58f5f70 (__TEXT,__text) external _addchnstr
00000001a58f5f88 (__TEXT,__text) external _addchstr
00000001a58f5fa0 (__TEXT,__text) external _addnstr
00000001a58f76b0 (__TEXT,__text) external _addnwstr
00000001a58f5fb8 (__TEXT,__text) external _addstr
00000001a58f76c8 (__TEXT,__text) external _addwstr
00000001a58e18ec (__TEXT,__text) external _assume_default_colors
                 (undefined) external _atoi (from libSystem)
00000001a58f6014 (__TEXT,__text) external _attr_get
00000001a58f6044 (__TEXT,__text) external _attr_off
00000001a58f605c (__TEXT,__text) external _attr_on
00000001a58f6074 (__TEXT,__text) external _attr_set
00000001a58f5fd0 (__TEXT,__text) external _attroff
00000001a58f5fe8 (__TEXT,__text) external _attron
00000001a58f6000 (__TEXT,__text) external _attrset
00000001a58d75c4 (__TEXT,__text) external _baudrate
00000001a58dfa10 (__TEXT,__text) external _beep
00000001a58f6094 (__TEXT,__text) external _bkgd
00000001a58f60a8 (__TEXT,__text) external _bkgdset
00000001a58f76e0 (__TEXT,__text) external _bkgrnd
00000001a58f76f4 (__TEXT,__text) external _bkgrndset
00000001d5a940f8 (__DATA_CONST,__const) external _boolcodes
00000001d5a95200 (__DATA_CONST,__const) external _boolfnames
00000001d5a95098 (__DATA_CONST,__const) external _boolnames
00000001a58f60bc (__TEXT,__text) external _border
00000001a58f7708 (__TEXT,__text) external _border_set
00000001a58f610c (__TEXT,__text) external _box
00000001a58f7758 (__TEXT,__text) external _box_set
                 (undefined) external _btowc (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
00000001a58e12b0 (__TEXT,__text) external _can_change_color
00000001a58e7b84 (__TEXT,__text) external _cbreak
                 (undefined) external _cfgetospeed (from libSystem)
                 (undefined) external _chdir (from libSystem)
00000001a58f6148 (__TEXT,__text) external _chgat
00000001a58f6168 (__TEXT,__text) external _clear
                 (undefined) external _clearerr (from libSystem)
00000001a58e07ec (__TEXT,__text) external _clearok
                 (undefined) external _close (from libSystem)
00000001a58f6178 (__TEXT,__text) external _clrtobot
00000001a58f6188 (__TEXT,__text) external _clrtoeol
00000001a58e1334 (__TEXT,__text) external _color_content
00000001a58f6198 (__TEXT,__text) external _color_set
00000001a58e6ee8 (__TEXT,__text) external _copywin
00000001d9a489a8 (__DATA,__common) external _cur_term
00000001a58e6c98 (__TEXT,__text) external _curs_set
00000001d9a489b8 (__DATA,__common) external _curscr
00000001a58f4484 (__TEXT,__text) external _curses_version
00000001a58ec100 (__TEXT,__text) external _def_prog_mode
00000001a58ec094 (__TEXT,__text) external _def_shell_mode
00000001a58dceec (__TEXT,__text) external _define_key
00000001a58e16c8 (__TEXT,__text) external _del_curterm
00000001a58eb770 (__TEXT,__text) external _delay_output
00000001a58f61b8 (__TEXT,__text) external _delch
00000001a58f61c8 (__TEXT,__text) external _deleteln
00000001a58e91c4 (__TEXT,__text) external _delscreen
00000001a58e1808 (__TEXT,__text) external _delwin
00000001a58e68d0 (__TEXT,__text) external _derwin
00000001a58f0844 (__TEXT,__text) external _doupdate
00000001a58ed854 (__TEXT,__text) external _dupwin
00000001a58e19e8 (__TEXT,__text) external _echo
00000001a58f7794 (__TEXT,__text) external _echo_wchar
00000001a58f61dc (__TEXT,__text) external _echochar
00000001a58e1a1c (__TEXT,__text) external _endwin
00000001a58f61f0 (__TEXT,__text) external _erase
00000001a58e3d9c (__TEXT,__text) external _erasechar
00000001a58e1b94 (__TEXT,__text) external _erasewchar
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001a58e6138 (__TEXT,__text) external _filter
00000001a58e1c04 (__TEXT,__text) external _flash
00000001a58e3de4 (__TEXT,__text) external _flushinp
                 (undefined) external _fmtcheck (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000001a58f77a8 (__TEXT,__text) external _get_wch
00000001a58f77bc (__TEXT,__text) external _get_wstr
00000001a58f752c (__TEXT,__text) external _getattrs
00000001a58f7560 (__TEXT,__text) external _getbegx
00000001a58f7574 (__TEXT,__text) external _getbegy
00000001a58f6200 (__TEXT,__text) external _getbkgd
00000001a58f77d4 (__TEXT,__text) external _getbkgrnd
00000001a58e0648 (__TEXT,__text) external _getcchar
00000001a58f6208 (__TEXT,__text) external _getch
00000001a58f7538 (__TEXT,__text) external _getcurx
00000001a58f754c (__TEXT,__text) external _getcury
                 (undefined) external _getcwd (from libSystem)
                 (undefined) external _getenv (from libSystem)
00000001a58f7588 (__TEXT,__text) external _getmaxx
00000001a58f75a0 (__TEXT,__text) external _getmaxy
00000001a58e3f3c (__TEXT,__text) external _getmouse
00000001a58f77f8 (__TEXT,__text) external _getn_wstr
00000001a58f6218 (__TEXT,__text) external _getnstr
00000001a58f75b8 (__TEXT,__text) external _getparx
00000001a58f75cc (__TEXT,__text) external _getpary
                 (undefined) external _getpgrp (from libSystem)
                 (undefined) external _getpid (from libSystem)
00000001a58f6230 (__TEXT,__text) external _getstr
                 (undefined) external _gettimeofday (from libSystem)
00000001a58e8940 (__TEXT,__text) external _getwin
00000001a58e6afc (__TEXT,__text) external _halfdelay
00000001a58e12d0 (__TEXT,__text) external _has_colors
00000001a58e2e44 (__TEXT,__text) external _has_ic
00000001a58e2ea0 (__TEXT,__text) external _has_il
00000001a58e6d5c (__TEXT,__text) external _has_key
00000001a58f6248 (__TEXT,__text) external _hline
00000001a58f7810 (__TEXT,__text) external _hline_set
00000001a58e6ab0 (__TEXT,__text) external _idcok
00000001a58e6a30 (__TEXT,__text) external _idlok
00000001a58e3170 (__TEXT,__text) external _immedok
00000001a58f7828 (__TEXT,__text) external _in_wch
00000001a58f783c (__TEXT,__text) external _in_wchnstr
00000001a58f7854 (__TEXT,__text) external _in_wchstr
00000001a58f6260 (__TEXT,__text) external _inch
00000001a58f6270 (__TEXT,__text) external _inchnstr
00000001a58f6288 (__TEXT,__text) external _inchstr
00000001a58e109c (__TEXT,__text) external _init_color
00000001a58e0d78 (__TEXT,__text) external _init_pair
00000001a58e32ec (__TEXT,__text) external _initscr
00000001a58f62a0 (__TEXT,__text) external _innstr
00000001a58f786c (__TEXT,__text) external _innwstr
00000001a58f7884 (__TEXT,__text) external _ins_nwstr
00000001a58f789c (__TEXT,__text) external _ins_wch
00000001a58f78b0 (__TEXT,__text) external _ins_wstr
00000001a58f62b8 (__TEXT,__text) external _insch
00000001a58f62cc (__TEXT,__text) external _insdelln
00000001a58f62e0 (__TEXT,__text) external _insertln
00000001a58f62f4 (__TEXT,__text) external _insnstr
00000001a58f630c (__TEXT,__text) external _insstr
00000001a58f6324 (__TEXT,__text) external _instr
00000001a58e7fec (__TEXT,__text) external _intrflush
00000001a58f78c8 (__TEXT,__text) external _inwstr
                 (undefined) external _ioctl (from libSystem)
00000001a58f75ec (__TEXT,__text) external _is_cleared
00000001a58f75f4 (__TEXT,__text) external _is_idcok
00000001a58f75fc (__TEXT,__text) external _is_idlok
00000001a58f7604 (__TEXT,__text) external _is_immedok
00000001a58f760c (__TEXT,__text) external _is_keypad
00000001a58f7614 (__TEXT,__text) external _is_leaveok
00000001a58eb504 (__TEXT,__text) external _is_linetouched
00000001a58f761c (__TEXT,__text) external _is_nodelay
00000001a58f762c (__TEXT,__text) external _is_notimeout
00000001a58f7634 (__TEXT,__text) external _is_scrollok
00000001a58f763c (__TEXT,__text) external _is_syncok
00000001a58efb9c (__TEXT,__text) external _is_term_resized
00000001a58eb540 (__TEXT,__text) external _is_wintouched
                 (undefined) external _isatty (from libSystem)
00000001a58e3d74 (__TEXT,__text) external _isendwin
00000001a58de064 (__TEXT,__text) external _key_defined
00000001a58e3e44 (__TEXT,__text) external _key_name
00000001a58de11c (__TEXT,__text) external _keybound
00000001a58f5f48 (__TEXT,__text) external _keyname
00000001a58de16c (__TEXT,__text) external _keyok
00000001a58e6b9c (__TEXT,__text) external _keypad
                 (undefined) external _kill (from libSystem)
00000001a58e3dc0 (__TEXT,__text) external _killchar
00000001a58e1bcc (__TEXT,__text) external _killwchar
00000001a58e3ec4 (__TEXT,__text) external _leaveok
                 (undefined) external _link (from libSystem)
00000001a58e3ee0 (__TEXT,__text) external _longname
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mblen (from libSystem)
                 (undefined) external _mbrtowc (from libSystem)
                 (undefined) external _mbtowc (from libSystem)
00000001a58e77b4 (__TEXT,__text) external _mcprint
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001a58e6c40 (__TEXT,__text) external _meta
                 (undefined) external _mkdir (from libSystem)
00000001a58f878c (__TEXT,__text) external _mouse_trafo
00000001a58e4308 (__TEXT,__text) external _mouseinterval
00000001a58e3ff4 (__TEXT,__text) external _mousemask
00000001a58f633c (__TEXT,__text) external _move
00000001a58f78dc (__TEXT,__text) external _mvadd_wch
00000001a58f7940 (__TEXT,__text) external _mvadd_wchnstr
00000001a58f79b8 (__TEXT,__text) external _mvadd_wchstr
00000001a58f6354 (__TEXT,__text) external _mvaddch
00000001a58f63b8 (__TEXT,__text) external _mvaddchnstr
00000001a58f6430 (__TEXT,__text) external _mvaddchstr
00000001a58f6498 (__TEXT,__text) external _mvaddnstr
00000001a58f7a20 (__TEXT,__text) external _mvaddnwstr
00000001a58f6510 (__TEXT,__text) external _mvaddstr
00000001a58f7a98 (__TEXT,__text) external _mvaddwstr
00000001a58f6578 (__TEXT,__text) external _mvchgat
00000001a58e52e0 (__TEXT,__text) external _mvcur
00000001a58f660c (__TEXT,__text) external _mvdelch
00000001a58ed638 (__TEXT,__text) external _mvderwin
00000001a58f7b00 (__TEXT,__text) external _mvget_wch
00000001a58f7b64 (__TEXT,__text) external _mvget_wstr
00000001a58f6668 (__TEXT,__text) external _mvgetch
00000001a58f7bcc (__TEXT,__text) external _mvgetn_wstr
00000001a58f66c4 (__TEXT,__text) external _mvgetnstr
00000001a58f673c (__TEXT,__text) external _mvgetstr
00000001a58f67a4 (__TEXT,__text) external _mvhline
00000001a58f7c44 (__TEXT,__text) external _mvhline_set
00000001a58f7cbc (__TEXT,__text) external _mvin_wch
00000001a58f7d20 (__TEXT,__text) external _mvin_wchnstr
00000001a58f7d98 (__TEXT,__text) external _mvin_wchstr
00000001a58f681c (__TEXT,__text) external _mvinch
00000001a58f6878 (__TEXT,__text) external _mvinchnstr
00000001a58f68f0 (__TEXT,__text) external _mvinchstr
00000001a58f6958 (__TEXT,__text) external _mvinnstr
00000001a58f7e00 (__TEXT,__text) external _mvinnwstr
00000001a58f7e78 (__TEXT,__text) external _mvins_nwstr
00000001a58f7ef0 (__TEXT,__text) external _mvins_wch
00000001a58f7f54 (__TEXT,__text) external _mvins_wstr
00000001a58f69d0 (__TEXT,__text) external _mvinsch
00000001a58f6a34 (__TEXT,__text) external _mvinsnstr
00000001a58f6aac (__TEXT,__text) external _mvinsstr
00000001a58f6b14 (__TEXT,__text) external _mvinstr
00000001a58f7fbc (__TEXT,__text) external _mvinwstr
00000001a58e79c8 (__TEXT,__text) external _mvprintw
00000001a58e8888 (__TEXT,__text) external _mvscanw
00000001a58f6b7c (__TEXT,__text) external _mvvline
00000001a58f8020 (__TEXT,__text) external _mvvline_set
00000001a58f8098 (__TEXT,__text) external _mvwadd_wch
00000001a58f80ec (__TEXT,__text) external _mvwadd_wchnstr
00000001a58f8154 (__TEXT,__text) external _mvwadd_wchstr
00000001a58f6bf4 (__TEXT,__text) external _mvwaddch
00000001a58f6c48 (__TEXT,__text) external _mvwaddchnstr
00000001a58f6cb0 (__TEXT,__text) external _mvwaddchstr
00000001a58f6d08 (__TEXT,__text) external _mvwaddnstr
00000001a58f81ac (__TEXT,__text) external _mvwaddnwstr
00000001a58f6d70 (__TEXT,__text) external _mvwaddstr
00000001a58f8214 (__TEXT,__text) external _mvwaddwstr
