00007ffa1fbd6ef1 (__TEXT,__text) external _CGLGetCurrentContext
00007ffa1fbd6ed4 (__TEXT,__text) external _CGLSetCurrentContext
00007ffa1fbccd7e (__TEXT,__text) external _glAccum
00007ffa1fbd30c8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa1fbd57da (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa1fbcfbcd (__TEXT,__text) external _glActiveTexture
00007ffa1fbd44dd (__TEXT,__text) external _glActiveTextureARB
00007ffa1fbccd97 (__TEXT,__text) external _glAlphaFunc
00007ffa1fbccdb0 (__TEXT,__text) external _glAreTexturesResident
00007ffa1fbccdcf (__TEXT,__text) external _glArrayElement
00007ffa1fbd5030 (__TEXT,__text) external _glAttachObjectARB
00007ffa1fbd0fc1 (__TEXT,__text) external _glAttachShader
00007ffa1fbccde8 (__TEXT,__text) external _glBegin
00007ffa1fbd1baa (__TEXT,__text) external _glBeginConditionalRender
00007ffa1fbd6de5 (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa1fbd078e (__TEXT,__text) external _glBeginQuery
00007ffa1fbd4d59 (__TEXT,__text) external _glBeginQueryARB
00007ffa1fbd2e9d (__TEXT,__text) external _glBeginQueryIndexed
00007ffa1fbd1abc (__TEXT,__text) external _glBeginTransformFeedback
00007ffa1fbd6020 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa1fbd148a (__TEXT,__text) external _glBindAttribLocation
00007ffa1fbd546c (__TEXT,__text) external _glBindAttribLocationARB
00007ffa1fbd082e (__TEXT,__text) external _glBindBuffer
00007ffa1fbd4df9 (__TEXT,__text) external _glBindBufferARB
00007ffa1fbd1b16 (__TEXT,__text) external _glBindBufferBase
00007ffa1fbd5fff (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa1fbd5fdb (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa1fbd1aef (__TEXT,__text) external _glBindBufferRange
00007ffa1fbd5fb4 (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa1fbd1ef4 (__TEXT,__text) external _glBindFragDataLocation
00007ffa1fbd6570 (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa1fbd25f7 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1fbd173a (__TEXT,__text) external _glBindFramebuffer
00007ffa1fbd5d4a (__TEXT,__text) external _glBindFramebufferEXT
00007ffa1fbd3b8b (__TEXT,__text) external _glBindProgramARB
00007ffa1fbd3108 (__TEXT,__text) external _glBindProgramPipeline
00007ffa1fbd167c (__TEXT,__text) external _glBindRenderbuffer
00007ffa1fbd5c8c (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa1fbd2694 (__TEXT,__text) external _glBindSampler
00007ffa1fbcce01 (__TEXT,__text) external _glBindTexture
00007ffa1fbd2db8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa1fbd1981 (__TEXT,__text) external _glBindVertexArray
00007ffa1fbd6a94 (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa1fbcce1c (__TEXT,__text) external _glBitmap
00007ffa1fbcf599 (__TEXT,__text) external _glBlendColor
00007ffa1fbd5c1c (__TEXT,__text) external _glBlendColorEXT
00007ffa1fbcf5b3 (__TEXT,__text) external _glBlendEquation
00007ffa1fbd5c36 (__TEXT,__text) external _glBlendEquationEXT
00007ffa1fbd156a (__TEXT,__text) external _glBlendEquationSeparate
00007ffa1fbd6d67 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa1fbd5c52 (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa1fbd2f38 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa1fbd55be (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa1fbd2f1a (__TEXT,__text) external _glBlendEquationi
00007ffa1fbd55a0 (__TEXT,__text) external _glBlendEquationiARB
00007ffa1fbcce3a (__TEXT,__text) external _glBlendFunc
00007ffa1fbd04f4 (__TEXT,__text) external _glBlendFuncSeparate
00007ffa1fbd5baa (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa1fbd2f7a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa1fbd5600 (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa1fbd2f59 (__TEXT,__text) external _glBlendFunci
00007ffa1fbd55df (__TEXT,__text) external _glBlendFunciARB
00007ffa1fbd1898 (__TEXT,__text) external _glBlitFramebuffer
00007ffa1fbd5ea8 (__TEXT,__text) external _glBlitFramebufferEXT
00007ffa1fbd08a6 (__TEXT,__text) external _glBufferData
00007ffa1fbd4e71 (__TEXT,__text) external _glBufferDataARB
00007ffa1fbd6c10 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffa1fbd08cc (__TEXT,__text) external _glBufferSubData
00007ffa1fbd4e97 (__TEXT,__text) external _glBufferSubDataARB
00007ffa1fbcce55 (__TEXT,__text) external _glCallList
00007ffa1fbcce6e (__TEXT,__text) external _glCallLists
00007ffa1fbd1796 (__TEXT,__text) external _glCheckFramebufferStatus
00007ffa1fbd5da6 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffa1fbd1b8c (__TEXT,__text) external _glClampColor
00007ffa1fbd54ff (__TEXT,__text) external _glClampColorARB
00007ffa1fbcce8c (__TEXT,__text) external _glClear
00007ffa1fbccea5 (__TEXT,__text) external _glClearAccum
00007ffa1fbd2135 (__TEXT,__text) external _glClearBufferfi
00007ffa1fbd2113 (__TEXT,__text) external _glClearBufferfv
00007ffa1fbd20cf (__TEXT,__text) external _glClearBufferiv
00007ffa1fbd20f1 (__TEXT,__text) external _glClearBufferuiv
00007ffa1fbccebc (__TEXT,__text) external _glClearColor
00007ffa1fbd65b1 (__TEXT,__text) external _glClearColorIiEXT
00007ffa1fbd65d5 (__TEXT,__text) external _glClearColorIuiEXT
00007ffa1fbcced3 (__TEXT,__text) external _glClearDepth
00007ffa1fbd301f (__TEXT,__text) external _glClearDepthf
00007ffa1fbcceea (__TEXT,__text) external _glClearIndex
00007ffa1fbccf01 (__TEXT,__text) external _glClearStencil
00007ffa1fbcfbb1 (__TEXT,__text) external _glClientActiveTexture
00007ffa1fbd44c1 (__TEXT,__text) external _glClientActiveTextureARB
00007ffa1fbd245a (__TEXT,__text) external _glClientWaitSync
00007ffa1fbccf1d (__TEXT,__text) external _glClipPlane
00007ffa1fbccf3c (__TEXT,__text) external _glColor3b
00007ffa1fbccf5c (__TEXT,__text) external _glColor3bv
00007ffa1fbccf79 (__TEXT,__text) external _glColor3d
00007ffa1fbccf93 (__TEXT,__text) external _glColor3dv
00007ffa1fbccfb0 (__TEXT,__text) external _glColor3f
00007ffa1fbccfca (__TEXT,__text) external _glColor3fv
00007ffa1fbccfe7 (__TEXT,__text) external _glColor3i
00007ffa1fbcd007 (__TEXT,__text) external _glColor3iv
00007ffa1fbcd024 (__TEXT,__text) external _glColor3s
00007ffa1fbcd044 (__TEXT,__text) external _glColor3sv
00007ffa1fbcd061 (__TEXT,__text) external _glColor3ub
00007ffa1fbcd081 (__TEXT,__text) external _glColor3ubv
00007ffa1fbcd09e (__TEXT,__text) external _glColor3ui
00007ffa1fbcd0be (__TEXT,__text) external _glColor3uiv
00007ffa1fbcd0db (__TEXT,__text) external _glColor3us
00007ffa1fbcd0fb (__TEXT,__text) external _glColor3usv
00007ffa1fbcd118 (__TEXT,__text) external _glColor4b
00007ffa1fbcd13b (__TEXT,__text) external _glColor4bv
00007ffa1fbcd158 (__TEXT,__text) external _glColor4d
00007ffa1fbcd172 (__TEXT,__text) external _glColor4dv
00007ffa1fbcd18f (__TEXT,__text) external _glColor4f
00007ffa1fbcd1a9 (__TEXT,__text) external _glColor4fv
00007ffa1fbcd1c6 (__TEXT,__text) external _glColor4i
00007ffa1fbcd1e9 (__TEXT,__text) external _glColor4iv
00007ffa1fbcd206 (__TEXT,__text) external _glColor4s
00007ffa1fbcd229 (__TEXT,__text) external _glColor4sv
00007ffa1fbcd246 (__TEXT,__text) external _glColor4ub
00007ffa1fbcd269 (__TEXT,__text) external _glColor4ubv
00007ffa1fbcd286 (__TEXT,__text) external _glColor4ui
00007ffa1fbcd2a9 (__TEXT,__text) external _glColor4uiv
00007ffa1fbcd2c6 (__TEXT,__text) external _glColor4us
00007ffa1fbcd2e9 (__TEXT,__text) external _glColor4usv
00007ffa1fbcd306 (__TEXT,__text) external _glColorMask
00007ffa1fbd6681 (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffa1fbd19f7 (__TEXT,__text) external _glColorMaski
00007ffa1fbcd329 (__TEXT,__text) external _glColorMaterial
00007ffa1fbcd347 (__TEXT,__text) external _glColorPointer
00007ffa1fbcf7e8 (__TEXT,__text) external _glColorSubTable
00007ffa1fbd5844 (__TEXT,__text) external _glColorSubTableEXT
00007ffa1fbcf6e1 (__TEXT,__text) external _glColorTable
00007ffa1fbd5810 (__TEXT,__text) external _glColorTableEXT
00007ffa1fbcf715 (__TEXT,__text) external _glColorTableParameterfv
00007ffa1fbcf737 (__TEXT,__text) external _glColorTableParameteriv
00007ffa1fbd6e86 (__TEXT,__text) external _glCombinerInputNV
00007ffa1fbd6e8c (__TEXT,__text) external _glCombinerOutputNV
00007ffa1fbd6e74 (__TEXT,__text) external _glCombinerParameterfNV
00007ffa1fbd6e6e (__TEXT,__text) external _glCombinerParameterfvNV
00007ffa1fbd6e80 (__TEXT,__text) external _glCombinerParameteriNV
00007ffa1fbd6e7a (__TEXT,__text) external _glCombinerParameterivNV
