
/System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd (for architecture x86_64):
00000001002ed0f4 (__TEXT,__text) external _ADAMOSIdentifierCreate
0000000100408fa6 (__TEXT,__text) external _ADAceCommandResponseForCompanionError
00000001005d82e8 (__DATA_CONST,__const) external _ADActiveAccountCreated
00000001005dcf58 (__DATA_CONST,__const) external _ADActiveAccountIdentifierDidChangeNotification
00000001005d82e0 (__DATA_CONST,__const) external _ADActiveAccountRemoved
0000000100280a0d (__TEXT,__text) external _ADAlarmStoreGetSystemAlarmStore
00000001001eb9d7 (__TEXT,__text) external _ADAnalyticsContextCreateWithConnectionMetrics
00000001001ea7a5 (__TEXT,__text) external _ADAnalyticsMetricsCreate
00000001001eb334 (__TEXT,__text) external _ADAnalyticsSendInstrumentationForGenericInstrumentationCreate
00000001001eb4f8 (__TEXT,__text) external _ADAnalyticsSendInstrumentationForUEICreate
000000010028060a (__TEXT,__text) external _ADAnnouncementRequestCompletionReasonGetName
00000001002f1b23 (__TEXT,__text) external _ADAppAnalyticsAllowed
0000000100311f15 (__TEXT,__text) external _ADAreAssetsAvailableFromUodStatus
00000001005dcf60 (__DATA_CONST,__const) external _ADAudioAppSignalsDidChangeNotification
00000001002ef7bd (__TEXT,__text) external _ADAudioFileTrim
000000010022e4c1 (__TEXT,__text) external _ADAudioSessionCoordinationMessageTypeGetFromName
000000010022e4a2 (__TEXT,__text) external _ADAudioSessionCoordinationMessageTypeGetName
00000001005d9d40 (__DATA_CONST,__const) external _ADBuddyStateDidChangeNotification
00000001005de7a8 (__DATA_CONST,__const) external _ADCalendarErrorDomain
00000001005dcf50 (__DATA_CONST,__const) external _ADCallStateDidChangeNotification
00000001002edf57 (__TEXT,__text) external _ADCanEverAllowSync
00000001002ef15c (__TEXT,__text) external _ADCarPlayHasBeenActiveInLast24Hours
00000001003a357b (__TEXT,__text) external _ADClearSessionDidFinishTimestamp
