0000000209d39a0c (__TEXT,__text) non-external _Done_iODBC
0000000209d58a90 (__TEXT,__const) non-external _FunctionNumbers
0000000209d578f8 (__TEXT,__text) non-external _GetPrivateProfileString
0000000209d39888 (__TEXT,__text) non-external _Init_iODBC
0000000217af90a4 (__DATA,__common) non-external _ODBCSharedTraceFlag
0000000209d37fc8 (__TEXT,__text) external _SQLAllocConnect
0000000209d37ed8 (__TEXT,__text) non-external _SQLAllocConnect_Internal
0000000209d397f8 (__TEXT,__text) external _SQLAllocEnv
0000000209d39654 (__TEXT,__text) non-external _SQLAllocEnv_Internal
0000000209d43844 (__TEXT,__text) external _SQLAllocHandle
0000000209d4395c (__TEXT,__text) non-external _SQLAllocHandleStd
0000000209d435a0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
0000000209d3c4a0 (__TEXT,__text) external _SQLAllocStmt
0000000209d3bfe4 (__TEXT,__text) non-external _SQLAllocStmt_Internal
0000000209d414ec (__TEXT,__text) external _SQLBindCol
0000000209d49528 (__TEXT,__text) external _SQLBindParam
0000000209d40958 (__TEXT,__text) external _SQLBindParameter
0000000209d34e34 (__TEXT,__text) external _SQLBrowseConnect
0000000209d34f7c (__TEXT,__text) external _SQLBrowseConnectA
0000000209d350c4 (__TEXT,__text) external _SQLBrowseConnectW
0000000209d348f0 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
0000000209d49034 (__TEXT,__text) external _SQLBulkOperations
0000000209d3d3d4 (__TEXT,__text) external _SQLCancel
0000000209d4956c (__TEXT,__text) external _SQLCloseCursor
0000000209d48a78 (__TEXT,__text) external _SQLColAttribute
0000000209d48c20 (__TEXT,__text) external _SQLColAttributeA
0000000209d48dc8 (__TEXT,__text) external _SQLColAttributeW
0000000209d483b0 (__TEXT,__text) non-external _SQLColAttribute_Internal
0000000209d430a8 (__TEXT,__text) external _SQLColAttributes
0000000209d43250 (__TEXT,__text) external _SQLColAttributesA
0000000209d433f8 (__TEXT,__text) external _SQLColAttributesW
0000000209d42c04 (__TEXT,__text) non-external _SQLColAttributes_Internal
0000000209d2dbb8 (__TEXT,__text) external _SQLColumnPrivileges
0000000209d2dd9c (__TEXT,__text) external _SQLColumnPrivilegesA
0000000209d2df80 (__TEXT,__text) external _SQLColumnPrivilegesW
0000000209d2d924 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
0000000209d2e3f8 (__TEXT,__text) external _SQLColumns
0000000209d2e5dc (__TEXT,__text) external _SQLColumnsA
0000000209d2e7c0 (__TEXT,__text) external _SQLColumnsW
0000000209d2e164 (__TEXT,__text) non-external _SQLColumns_Internal
0000000209d320b8 (__TEXT,__text) external _SQLConnect
0000000209d32848 (__TEXT,__text) external _SQLConnectA
0000000209d329a8 (__TEXT,__text) external _SQLConnectW
0000000209d32218 (__TEXT,__text) non-external _SQLConnect_Internal
0000000209d5851c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
0000000209d48234 (__TEXT,__text) external _SQLCopyDesc
0000000209d3def8 (__TEXT,__text) external _SQLDataSources
0000000209d3e040 (__TEXT,__text) external _SQLDataSourcesA
0000000209d3e188 (__TEXT,__text) external _SQLDataSourcesW
0000000209d3da9c (__TEXT,__text) non-external _SQLDataSources_Internal
0000000217af9028 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
0000000217af9048 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
0000000217af9050 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
0000000209d42628 (__TEXT,__text) external _SQLDescribeCol
0000000209d4281c (__TEXT,__text) external _SQLDescribeColA
0000000209d42a10 (__TEXT,__text) external _SQLDescribeColW
0000000209d4236c (__TEXT,__text) non-external _SQLDescribeCol_Internal
0000000209d36d7c (__TEXT,__text) external _SQLDescribeParam
0000000209d3520c (__TEXT,__text) external _SQLDisconnect
0000000209d3447c (__TEXT,__text) external _SQLDriverConnect
0000000209d345f8 (__TEXT,__text) external _SQLDriverConnectA
0000000209d34774 (__TEXT,__text) external _SQLDriverConnectW
0000000209d32b08 (__TEXT,__text) non-external _SQLDriverConnect_Internal
0000000209d58548 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
0000000209d58574 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
0000000209d3e788 (__TEXT,__text) external _SQLDrivers
0000000209d3e8d0 (__TEXT,__text) external _SQLDriversA
0000000209d3ea18 (__TEXT,__text) external _SQLDriversW
0000000209d3e3ac (__TEXT,__text) non-external _SQLDrivers_Internal
0000000217af902c (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
0000000217af9058 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
0000000217af9060 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
0000000209d48f70 (__TEXT,__text) external _SQLEndTran
0000000209d3a18c (__TEXT,__text) external _SQLError
0000000209d3a2b4 (__TEXT,__text) external _SQLErrorA
0000000209d3a3dc (__TEXT,__text) external _SQLErrorW
0000000209d36284 (__TEXT,__text) external _SQLExecDirect
0000000209d363d4 (__TEXT,__text) external _SQLExecDirectA
0000000209d36524 (__TEXT,__text) external _SQLExecDirectW
0000000209d36028 (__TEXT,__text) non-external _SQLExecDirect_Internal
0000000209d35d60 (__TEXT,__text) external _SQLExecute
0000000209d37474 (__TEXT,__text) external _SQLExtendedFetch
0000000209d371b8 (__TEXT,__text) external _SQLFetch
0000000209d49224 (__TEXT,__text) external _SQLFetchScroll
0000000209d36ffc (__TEXT,__text) non-external _SQLFetch_Internal
0000000209d2ecf8 (__TEXT,__text) external _SQLForeignKeys
0000000209d2efb4 (__TEXT,__text) external _SQLForeignKeysA
0000000209d2f270 (__TEXT,__text) external _SQLForeignKeysW
0000000209d2e9a4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
0000000209d3813c (__TEXT,__text) external _SQLFreeConnect
0000000209d3808c (__TEXT,__text) non-external _SQLFreeConnect_Internal
0000000209d39960 (__TEXT,__text) external _SQLFreeEnv
0000000209d398d4 (__TEXT,__text) non-external _SQLFreeEnv_Internal
0000000209d43a74 (__TEXT,__text) external _SQLFreeHandle
0000000209d3c8f4 (__TEXT,__text) external _SQLFreeStmt
0000000209d3c6e8 (__TEXT,__text) non-external _SQLFreeStmt_Internal
0000000209d55108 (__TEXT,__text) non-external _SQLGetConfigMode
0000000209d4637c (__TEXT,__text) external _SQLGetConnectAttr
0000000209d46838 (__TEXT,__text) external _SQLGetConnectAttrA
0000000209d4698c (__TEXT,__text) external _SQLGetConnectAttrW
0000000209d464d0 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
0000000209d38f0c (__TEXT,__text) external _SQLGetConnectOption
0000000209d39038 (__TEXT,__text) external _SQLGetConnectOptionA
0000000209d39164 (__TEXT,__text) external _SQLGetConnectOptionW
0000000209d41a3c (__TEXT,__text) external _SQLGetCursorName
0000000209d41ba4 (__TEXT,__text) external _SQLGetCursorNameA
0000000209d41d0c (__TEXT,__text) external _SQLGetCursorNameW
0000000209d41840 (__TEXT,__text) non-external _SQLGetCursorName_Internal
0000000209d375fc (__TEXT,__text) external _SQLGetData
0000000209d46d50 (__TEXT,__text) external _SQLGetDescField
0000000209d46ec4 (__TEXT,__text) external _SQLGetDescFieldA
0000000209d47038 (__TEXT,__text) external _SQLGetDescFieldW
0000000209d46ae0 (__TEXT,__text) non-external _SQLGetDescField_Internal
0000000209d47958 (__TEXT,__text) external _SQLGetDescRec
0000000209d47b8c (__TEXT,__text) external _SQLGetDescRecA
0000000209d47dc0 (__TEXT,__text) external _SQLGetDescRecW
0000000209d4775c (__TEXT,__text) non-external _SQLGetDescRec_Internal
0000000209d3bcc0 (__TEXT,__text) external _SQLGetDiagField
0000000209d3bdcc (__TEXT,__text) external _SQLGetDiagFieldA
0000000209d3bed8 (__TEXT,__text) external _SQLGetDiagFieldW
0000000209d3ae50 (__TEXT,__text) non-external _SQLGetDiagField_Internal
0000000209d3aaf0 (__TEXT,__text) external _SQLGetDiagRec
0000000209d3ac10 (__TEXT,__text) external _SQLGetDiagRecA
0000000209d3ad30 (__TEXT,__text) external _SQLGetDiagRecW
0000000209d3a504 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
0000000209d44174 (__TEXT,__text) external _SQLGetEnvAttr
0000000209d3f650 (__TEXT,__text) external _SQLGetFunctions
0000000209d3f254 (__TEXT,__text) external _SQLGetInfo
0000000209d3f3a8 (__TEXT,__text) external _SQLGetInfoA
0000000209d3f4fc (__TEXT,__text) external _SQLGetInfoW
0000000209d3ec3c (__TEXT,__text) non-external _SQLGetInfo_Internal
0000000209d57f90 (__TEXT,__text) non-external _SQLGetKeywordValue
0000000209d57fdc (__TEXT,__text) non-external _SQLGetKeywordValueW
0000000209d57ad4 (__TEXT,__text) non-external _SQLGetPrivateProfileString
0000000209d57cd4 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
0000000209d449ec (__TEXT,__text) external _SQLGetStmtAttr
0000000209d44b64 (__TEXT,__text) external _SQLGetStmtAttrA
0000000209d44cdc (__TEXT,__text) external _SQLGetStmtAttrW
0000000209d44358 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
0000000209d3d13c (__TEXT,__text) external _SQLGetStmtOption
0000000209d3d288 (__TEXT,__text) external _SQLGetStmtOptionA
0000000209d3cf60 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
0000000209d2bbb8 (__TEXT,__text) external _SQLGetTypeInfo
0000000209d2bcf8 (__TEXT,__text) external _SQLGetTypeInfoA
0000000209d2be38 (__TEXT,__text) external _SQLGetTypeInfoW
0000000209d2b9f8 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
0000000209d37974 (__TEXT,__text) external _SQLMoreResults
0000000209d3560c (__TEXT,__text) external _SQLNativeSql
0000000209d35778 (__TEXT,__text) external _SQLNativeSqlA
0000000209d358e4 (__TEXT,__text) external _SQLNativeSqlW
0000000209d35394 (__TEXT,__text) non-external _SQLNativeSql_Internal
0000000209d36b74 (__TEXT,__text) external _SQLNumParams
0000000209d42158 (__TEXT,__text) external _SQLNumResultCols
0000000209d368ec (__TEXT,__text) external _SQLParamData
0000000209d40d58 (__TEXT,__text) external _SQLParamOptions
0000000209d3ffc0 (__TEXT,__text) external _SQLPrepare
0000000209d40110 (__TEXT,__text) external _SQLPrepareA
0000000209d40260 (__TEXT,__text) external _SQLPrepareW
0000000209d3fdac (__TEXT,__text) non-external _SQLPrepare_Internal
0000000209d2f75c (__TEXT,__text) external _SQLPrimaryKeys
