
/System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd (for architecture x86_64):
                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreateFromExternalForm (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _IOConnectCallMethod (from IOKit)
                 (undefined) external _IOConnectCallScalarMethod (from IOKit)
                 (undefined) external _IOConnectCallStructMethod (from IOKit)
                 (undefined) external _IOHIDEventGetIntegerValue (from IOKit)
                 (undefined) external _IOHIDEventSystemClientActivate (from IOKit)
                 (undefined) external _IOHIDEventSystemClientCancel (from IOKit)
                 (undefined) external _IOHIDEventSystemClientCreateWithType (from IOKit)
                 (undefined) external _IOHIDEventSystemClientRegisterEventCallback (from IOKit)
                 (undefined) external _IOHIDEventSystemClientSetDispatchQueue (from IOKit)
                 (undefined) external _IOHIDEventSystemClientSetProperty (from IOKit)
                 (undefined) external _IOHIDEventSystemClientUnregisterDeviceMatchingBlock (from IOKit)
                 (undefined) external _IOHIDEventSystemClientUnregisterEventCallback (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryFromPath (from IOKit)
                 (undefined) external _IOServiceClose (from IOKit)
                 (undefined) external _IOServiceGetMatchingService (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
                 (undefined) external _IOServiceOpen (from IOKit)
                 (undefined) external _LAAssertionsProxyFactory (from SharedUtils)
                 (undefined) external _LACAuditTokenUsageNone (from LocalAuthenticationCore)
                 (undefined) external _LACCredentialPasscode (from LocalAuthenticationCore)
                 (undefined) external _LACDarwinNotificationEnvironmentStateDidChange (from LocalAuthenticationCore)
                 (undefined) external _LACErrorCodeRequestFailed (from LocalAuthenticationCore)
                 (undefined) external _LACLogDTO (from LocalAuthenticationCore)
                 (undefined) external _LACLogDTOStorage (from LocalAuthenticationCore)
                 (undefined) external _LACLogEnvironment (from LocalAuthenticationCore)
                 (undefined) external _LACLogSubsystem (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyLocationBasedDeviceOwnerAuthenticationWithBiometricRatchet (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionAuthenticationCallbackReason (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionAuthenticationCallbackURL (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionAuthenticationIdentifier (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionAuthenticationReason (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionBeginSecurityDelayImmediately (from LocalAuthenticationCore)
                 (undefined) external _LACPolicyOptionCallerAuditTokenUsage (from LocalAuthenticationCore)
                 (undefined) external _LAEnabledBiometryUsers (from LocalAuthentication)
                 (undefined) external _LALogCategoryForOptions (from SharedUtils)
                 (undefined) external _LALogForCategory (from SharedUtils)
                 (undefined) external _LALogSetProcessCategory (from SharedUtils)
                 (undefined) external _MKBGetDeviceLockState (from MobileKeyBag)
                 (undefined) external _NSDebugDescriptionErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSStringFromProtocol (from Foundation)
                 (undefined) external _OBJC_CLASS_$_AgentProxy (from ModuleBase)
                 (undefined) external _OBJC_CLASS_$_AuthenticationManager (from ModuleBase)
                 (undefined) external _OBJC_CLASS_$_BiometryHelper (from DaemonUtils)
                 (undefined) external _OBJC_CLASS_$_Caller (from DaemonUtils)
                 (undefined) external _OBJC_CLASS_$_DaemonUtils (from DaemonUtils)
                 (undefined) external _OBJC_CLASS_$_DomainStateRequest (from DaemonUtils)
                 (undefined) external _OBJC_CLASS_$_EvaluationRequest (from DaemonUtils)
                 (undefined) external _OBJC_CLASS_$_LAACMHelper (from SharedUtils)
                 (undefined) external _OBJC_CLASS_$_LABaseServiceManager (from SharedUtils)
                 (undefined) external _OBJC_CLASS_$_LACADMUser (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACAnalyticsData (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACAnalyticsProcessor (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACAnalyticsSession (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACBiometryHelper (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACClientInfoProvider (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACConcurrentEvaluationController (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACConcurrentEvaluationManager (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACDTODarwinNotificationsController (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACDTOEnvironmentProviderFactory (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACDTOEventBus (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACDTOFailureProcessor (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACDTOFeatureController (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACDTOFeatureRequirementsDataSource (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACDTOKVStoreMigrationController (from LocalAuthenticationCore)
                 (undefined) external _OBJC_CLASS_$_LACDTOKVStoreValue (from LocalAuthenticationCore)
