00000001c0f27394 (__TEXT,__text) external _AppC3DCalibrationCreate
00000001c0f27808 (__TEXT,__text) external _AppC3DCalibrationRelease
00000001c0f27558 (__TEXT,__text) external _AppC3DCalibrationSetCameraParameters
00000001c0f26524 (__TEXT,__text) external _AppC3DConfigCreate
00000001c0f26d78 (__TEXT,__text) external _AppC3DConfigGetANEFallbackDevice
00000001c0f271b4 (__TEXT,__text) external _AppC3DConfigGetMaxNumberCodesToTrack
00000001c0f268e8 (__TEXT,__text) external _AppC3DConfigGetTrackingConfig
00000001c0f26b2c (__TEXT,__text) external _AppC3DConfigGetTrackingMode
00000001c0f27388 (__TEXT,__text) external _AppC3DConfigRelease
00000001c0f26c54 (__TEXT,__text) external _AppC3DConfigSetANEFallbackDevice
00000001c0f27098 (__TEXT,__text) external _AppC3DConfigSetMaxNumberCodesToTrack
00000001c0f267cc (__TEXT,__text) external _AppC3DConfigSetTrackingConfig
00000001c0f26a18 (__TEXT,__text) external _AppC3DConfigSetTrackingMode
00000001c0f27864 (__TEXT,__text) external _AppC3DCreate
00000001c0f2a994 (__TEXT,__text) external _AppC3DFlush
00000001c0f2ee48 (__TEXT,__text) external _AppC3DGetVersionInfo
00000001c0f2a130 (__TEXT,__text) external _AppC3DProcess
00000001c0f2a624 (__TEXT,__text) external _AppC3DProcessCameraFrameData
00000001c0f2a3c0 (__TEXT,__text) external _AppC3DProcessSLAMData
00000001c0f2ab30 (__TEXT,__text) external _AppC3DRelease
00000001c0f29de8 (__TEXT,__text) external _AppC3DSetPerformanceMode
00000001c0f29f2c (__TEXT,__text) external _AppC3DSetUpdateCallback
00000001c0f2d92c (__TEXT,__text) external _AppC3DTrackingResultCopyTransform
00000001c0f2ebc4 (__TEXT,__text) external _AppC3DTrackingResultCreateCorners
00000001c0f2e770 (__TEXT,__text) external _AppC3DTrackingResultCreateData
00000001c0f2e1d4 (__TEXT,__text) external _AppC3DTrackingResultCreateDecodedId
00000001c0f2dd00 (__TEXT,__text) external _AppC3DTrackingResultGetConfidence
00000001c0f2ebb8 (__TEXT,__text) external _AppC3DTrackingResultGetDataVersion
00000001c0f2ebb4 (__TEXT,__text) external _AppC3DTrackingResultGetDecodingVersion
00000001c0f2d720 (__TEXT,__text) external _AppC3DTrackingResultGetId
00000001c0f2e9a0 (__TEXT,__text) external _AppC3DTrackingResultGetMetadata
00000001c0f2d5dc (__TEXT,__text) external _AppC3DTrackingResultGetNumberOfTrackingData
00000001c0f2db24 (__TEXT,__text) external _AppC3DTrackingResultGetSize
00000001c0f2df0c (__TEXT,__text) external _AppC3DTrackingResultIsScaleReliable
00000001c0f2ee08 (__TEXT,__text) external _AppC3DTrackingResultRelease
00000001c0f2edf4 (__TEXT,__text) external _AppC3DTrackingResultRetain
00000001c0f2a85c (__TEXT,__text) external _AppC3DWait
                 (undefined) external _CFAllocatorGetDefault (from CoreFoundation)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFCopyDescription (from CoreFoundation)
                 (undefined) external _CFCopyTypeIDDescription (from CoreFoundation)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetCount (from CoreFoundation)
                 (undefined) external _CFDictionaryGetKeysAndValues (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValueIfPresent (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFErrorCreate (from CoreFoundation)
                 (undefined) external _CFErrorGetCode (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFNumberGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithBytes (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _CGPointCreateDictionaryRepresentation (from CoreGraphics)
                 (undefined) external _CGRectCreateDictionaryRepresentation (from CoreGraphics)
                 (undefined) external _CMGetAttachment (from CoreMedia)
                 (undefined) external _CVPixelBufferCreate (from CoreVideo)
                 (undefined) external _CVPixelBufferGetBaseAddress (from CoreVideo)
                 (undefined) external _CVPixelBufferGetBaseAddressOfPlane (from CoreVideo)
                 (undefined) external _CVPixelBufferGetBytesPerRow (from CoreVideo)
                 (undefined) external _CVPixelBufferGetBytesPerRowOfPlane (from CoreVideo)
                 (undefined) external _CVPixelBufferGetHeight (from CoreVideo)
                 (undefined) external _CVPixelBufferGetHeightOfPlane (from CoreVideo)
                 (undefined) external _CVPixelBufferGetIOSurface (from CoreVideo)
                 (undefined) external _CVPixelBufferGetPixelFormatType (from CoreVideo)
                 (undefined) external _CVPixelBufferGetPlaneCount (from CoreVideo)
                 (undefined) external _CVPixelBufferGetWidth (from CoreVideo)
                 (undefined) external _CVPixelBufferGetWidthOfPlane (from CoreVideo)
                 (undefined) external _CVPixelBufferIsPlanar (from CoreVideo)
                 (undefined) external _CVPixelBufferLockBaseAddress (from CoreVideo)
                 (undefined) external _CVPixelBufferPoolCreate (from CoreVideo)
                 (undefined) external _CVPixelBufferPoolCreatePixelBuffer (from CoreVideo)
                 (undefined) external _CVPixelBufferPoolRelease (from CoreVideo)
                 (undefined) external _CVPixelBufferRelease (from CoreVideo)
                 (undefined) external _CVPixelBufferRetain (from CoreVideo)
                 (undefined) external _CVPixelBufferUnlockBaseAddress (from CoreVideo)
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$__ANEDeviceInfo (from AppleNeuralEngine)
                 (undefined) external _VTPixelTransferSessionCreate (from VideoToolbox)
                 (undefined) external _VTPixelTransferSessionInvalidate (from VideoToolbox)
                 (undefined) external _VTPixelTransferSessionTransferImage (from VideoToolbox)
                 (undefined) external _VTSessionSetProperty (from VideoToolbox)
                 (undefined) external __Unwind_Resume (from libSystem)
00000001c0f2d55c (__TEXT,__text) external __ZN20AppC3DTrackingResultD0Ev
00000001c0f2d4ec (__TEXT,__text) external __ZN20AppC3DTrackingResultD1Ev
00000001c0f2d47c (__TEXT,__text) external __ZN20AppC3DTrackingResultD2Ev
                 (undefined) external __ZNKSt11logic_error4whatEv (from libc++)
                 (undefined) external __ZNKSt13runtime_error4whatEv (from libc++)
                 (undefined) external __ZNKSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE4findEcm (from libc++)
                 (undefined) external __ZNKSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE5rfindEcm (from libc++)
                 (undefined) external __ZNKSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEE7compareEmmPKcm (from libc++)
                 (undefined) external __ZNKSt3__114error_category10equivalentERKNS_10error_codeEi (from libc++)
                 (undefined) external __ZNKSt3__114error_category10equivalentEiRKNS_15error_conditionE (from libc++)
                 (undefined) external __ZNKSt3__114error_category23default_error_conditionEi (from libc++)
                 (undefined) external __ZNKSt3__115basic_stringbufIcNS_11char_traitsIcEENS_9allocatorIcEEE3strEv (from libc++)
                 (undefined) external __ZNKSt3__115error_condition7messageEv (from libc++)
                 (undefined) external __ZNKSt3__119__shared_weak_count13__get_deleterERKSt9type_info (from libc++)
                 (undefined) external __ZNKSt3__120__vector_base_commonILb1EE20__throw_length_errorEv (from libc++)
                 (undefined) external __ZNKSt3__120__vector_base_commonILb1EE20__throw_out_of_rangeEv (from libc++)
                 (undefined) external __ZNKSt3__121__basic_string_commonILb1EE20__throw_length_errorEv (from libc++)
                 (undefined) external __ZNKSt3__16locale9use_facetERNS0_2idE (from libc++)
                 (undefined) external __ZNKSt3__18ios_base6getlocEv (from libc++)
