                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffc12b00ec4 (__TEXT,__text) external __crypt_blowfish_rn
00007ffc12b03186 (__TEXT,__text) external __crypt_gensalt_blowfish_rn
00007ffc12b00e9a (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
00007ffc12b05956 (__TEXT,__text) external _apr_base64_decode
00007ffc12b05971 (__TEXT,__text) external _apr_base64_decode_binary
00007ffc12b05927 (__TEXT,__text) external _apr_base64_decode_len
00007ffc12b05ab2 (__TEXT,__text) external _apr_base64_encode
00007ffc12b05abc (__TEXT,__text) external _apr_base64_encode_binary
00007ffc12b05a8b (__TEXT,__text) external _apr_base64_encode_len
00007ffc12affde8 (__TEXT,__text) external _apr_bcrypt_encode
00007ffc12afbfac (__TEXT,__text) external _apr_brigade_cleanup
00007ffc12afc032 (__TEXT,__text) external _apr_brigade_create
00007ffc12afbff9 (__TEXT,__text) external _apr_brigade_destroy
00007ffc12afc2b5 (__TEXT,__text) external _apr_brigade_flatten
00007ffc12afcda9 (__TEXT,__text) external _apr_brigade_insert_file
00007ffc12afc223 (__TEXT,__text) external _apr_brigade_length
00007ffc12afc15a (__TEXT,__text) external _apr_brigade_partition
00007ffc12afc358 (__TEXT,__text) external _apr_brigade_pflatten
00007ffc12afcc14 (__TEXT,__text) external _apr_brigade_printf
00007ffc12afcb21 (__TEXT,__text) external _apr_brigade_putc
00007ffc12afcb43 (__TEXT,__text) external _apr_brigade_puts
00007ffc12afcb7e (__TEXT,__text) external _apr_brigade_putstrs
00007ffc12afc14e (__TEXT,__text) external _apr_brigade_split
00007ffc12afc089 (__TEXT,__text) external _apr_brigade_split_ex
00007ffc12afc3c5 (__TEXT,__text) external _apr_brigade_split_line
00007ffc12afc686 (__TEXT,__text) external _apr_brigade_to_iovec
00007ffc12afcca6 (__TEXT,__text) external _apr_brigade_vprintf
00007ffc12afc71d (__TEXT,__text) external _apr_brigade_vputstrs
00007ffc12afc52c (__TEXT,__text) external _apr_brigade_write
00007ffc12afc81d (__TEXT,__text) external _apr_brigade_writev
00007ffc12afcf21 (__TEXT,__text) external _apr_bucket_alloc
00007ffc12afce1a (__TEXT,__text) external _apr_bucket_alloc_create
00007ffc12afce93 (__TEXT,__text) external _apr_bucket_alloc_create_ex
00007ffc12afceee (__TEXT,__text) external _apr_bucket_alloc_destroy
00007ffc12afce09 (__TEXT,__text) external _apr_bucket_copy_notimpl
00007ffc12afce14 (__TEXT,__text) external _apr_bucket_destroy_noop
00007ffc12afd02f (__TEXT,__text) external _apr_bucket_eos_create
00007ffc12afd00c (__TEXT,__text) external _apr_bucket_eos_make
00007ffc12afd0f1 (__TEXT,__text) external _apr_bucket_file_create
00007ffc12afd17d (__TEXT,__text) external _apr_bucket_file_enable_mmap
00007ffc12afd08c (__TEXT,__text) external _apr_bucket_file_make
00007ffc12afd4ce (__TEXT,__text) external _apr_bucket_flush_create
00007ffc12afd4ab (__TEXT,__text) external _apr_bucket_flush_make
00007ffc12afcfd7 (__TEXT,__text) external _apr_bucket_free
00007ffc12afd5d1 (__TEXT,__text) external _apr_bucket_heap_create
00007ffc12afd52b (__TEXT,__text) external _apr_bucket_heap_make
00007ffc12afdd30 (__TEXT,__text) external _apr_bucket_immortal_create
00007ffc12afdd0c (__TEXT,__text) external _apr_bucket_immortal_make
00007ffc12afd6f3 (__TEXT,__text) external _apr_bucket_mmap_create
00007ffc12afd670 (__TEXT,__text) external _apr_bucket_mmap_make
00007ffc12afd87d (__TEXT,__text) external _apr_bucket_pipe_create
00007ffc12afd85c (__TEXT,__text) external _apr_bucket_pipe_make
00007ffc12afdb19 (__TEXT,__text) external _apr_bucket_pool_create
00007ffc12afda42 (__TEXT,__text) external _apr_bucket_pool_make
00007ffc12afcdeb (__TEXT,__text) external _apr_bucket_setaside_noop
00007ffc12afcdf3 (__TEXT,__text) external _apr_bucket_setaside_notimpl
00007ffc12afdc18 (__TEXT,__text) external _apr_bucket_shared_copy
00007ffc12afdc32 (__TEXT,__text) external _apr_bucket_shared_destroy
00007ffc12afdc3f (__TEXT,__text) external _apr_bucket_shared_make
00007ffc12afdbfc (__TEXT,__text) external _apr_bucket_shared_split
00007ffc12afdc5a (__TEXT,__text) external _apr_bucket_simple_copy
00007ffc12afdca1 (__TEXT,__text) external _apr_bucket_simple_split
00007ffc12afde74 (__TEXT,__text) external _apr_bucket_socket_create
00007ffc12afde53 (__TEXT,__text) external _apr_bucket_socket_make
00007ffc12afcdfe (__TEXT,__text) external _apr_bucket_split_notimpl
00007ffc12afddb0 (__TEXT,__text) external _apr_bucket_transient_create
00007ffc12afdd8c (__TEXT,__text) external _apr_bucket_transient_make
00007ffc4027b530 (__DATA_CONST,__const) external _apr_bucket_type_eos
00007ffc4027b568 (__DATA_CONST,__const) external _apr_bucket_type_file
00007ffc4027b5a0 (__DATA_CONST,__const) external _apr_bucket_type_flush
00007ffc4027b5d8 (__DATA_CONST,__const) external _apr_bucket_type_heap
00007ffc4027b6b8 (__DATA_CONST,__const) external _apr_bucket_type_immortal
00007ffc4027b610 (__DATA_CONST,__const) external _apr_bucket_type_mmap
00007ffc4027b648 (__DATA_CONST,__const) external _apr_bucket_type_pipe
00007ffc4027b680 (__DATA_CONST,__const) external _apr_bucket_type_pool
00007ffc4027b728 (__DATA_CONST,__const) external _apr_bucket_type_socket
00007ffc4027b6f0 (__DATA_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
00007ffc4175dc70 (__DATA,__common) external _apr_current_hooking_module
00007ffc12b08f1c (__TEXT,__text) external _apr_date_checkmask
