00007ffa1f051ef1 (__TEXT,__text) external _CGLGetCurrentContext
00007ffa1f051ed4 (__TEXT,__text) external _CGLSetCurrentContext
00007ffa1f047d7e (__TEXT,__text) external _glAccum
00007ffa1f04e0c8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa1f0507da (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa1f04abcd (__TEXT,__text) external _glActiveTexture
00007ffa1f04f4dd (__TEXT,__text) external _glActiveTextureARB
00007ffa1f047d97 (__TEXT,__text) external _glAlphaFunc
00007ffa1f047db0 (__TEXT,__text) external _glAreTexturesResident
00007ffa1f047dcf (__TEXT,__text) external _glArrayElement
00007ffa1f050030 (__TEXT,__text) external _glAttachObjectARB
00007ffa1f04bfc1 (__TEXT,__text) external _glAttachShader
00007ffa1f047de8 (__TEXT,__text) external _glBegin
00007ffa1f04cbaa (__TEXT,__text) external _glBeginConditionalRender
00007ffa1f051de5 (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa1f04b78e (__TEXT,__text) external _glBeginQuery
00007ffa1f04fd59 (__TEXT,__text) external _glBeginQueryARB
00007ffa1f04de9d (__TEXT,__text) external _glBeginQueryIndexed
00007ffa1f04cabc (__TEXT,__text) external _glBeginTransformFeedback
00007ffa1f051020 (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa1f04c48a (__TEXT,__text) external _glBindAttribLocation
00007ffa1f05046c (__TEXT,__text) external _glBindAttribLocationARB
00007ffa1f04b82e (__TEXT,__text) external _glBindBuffer
00007ffa1f04fdf9 (__TEXT,__text) external _glBindBufferARB
00007ffa1f04cb16 (__TEXT,__text) external _glBindBufferBase
00007ffa1f050fff (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa1f050fdb (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa1f04caef (__TEXT,__text) external _glBindBufferRange
00007ffa1f050fb4 (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa1f04cef4 (__TEXT,__text) external _glBindFragDataLocation
00007ffa1f051570 (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa1f04d5f7 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1f04c73a (__TEXT,__text) external _glBindFramebuffer
00007ffa1f050d4a (__TEXT,__text) external _glBindFramebufferEXT
00007ffa1f04eb8b (__TEXT,__text) external _glBindProgramARB
00007ffa1f04e108 (__TEXT,__text) external _glBindProgramPipeline
00007ffa1f04c67c (__TEXT,__text) external _glBindRenderbuffer
00007ffa1f050c8c (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa1f04d694 (__TEXT,__text) external _glBindSampler
00007ffa1f047e01 (__TEXT,__text) external _glBindTexture
00007ffa1f04ddb8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa1f04c981 (__TEXT,__text) external _glBindVertexArray
00007ffa1f051a94 (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa1f047e1c (__TEXT,__text) external _glBitmap
00007ffa1f04a599 (__TEXT,__text) external _glBlendColor
00007ffa1f050c1c (__TEXT,__text) external _glBlendColorEXT
00007ffa1f04a5b3 (__TEXT,__text) external _glBlendEquation
00007ffa1f050c36 (__TEXT,__text) external _glBlendEquationEXT
00007ffa1f04c56a (__TEXT,__text) external _glBlendEquationSeparate
00007ffa1f051d67 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa1f050c52 (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa1f04df38 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa1f0505be (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa1f04df1a (__TEXT,__text) external _glBlendEquationi
00007ffa1f0505a0 (__TEXT,__text) external _glBlendEquationiARB
00007ffa1f047e3a (__TEXT,__text) external _glBlendFunc
00007ffa1f04b4f4 (__TEXT,__text) external _glBlendFuncSeparate
00007ffa1f050baa (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa1f04df7a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa1f050600 (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa1f04df59 (__TEXT,__text) external _glBlendFunci
00007ffa1f0505df (__TEXT,__text) external _glBlendFunciARB
00007ffa1f04c898 (__TEXT,__text) external _glBlitFramebuffer
00007ffa1f050ea8 (__TEXT,__text) external _glBlitFramebufferEXT
00007ffa1f04b8a6 (__TEXT,__text) external _glBufferData
00007ffa1f04fe71 (__TEXT,__text) external _glBufferDataARB
00007ffa1f051c10 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffa1f04b8cc (__TEXT,__text) external _glBufferSubData
00007ffa1f04fe97 (__TEXT,__text) external _glBufferSubDataARB
00007ffa1f047e55 (__TEXT,__text) external _glCallList
00007ffa1f047e6e (__TEXT,__text) external _glCallLists
00007ffa1f04c796 (__TEXT,__text) external _glCheckFramebufferStatus
00007ffa1f050da6 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffa1f04cb8c (__TEXT,__text) external _glClampColor
00007ffa1f0504ff (__TEXT,__text) external _glClampColorARB
00007ffa1f047e8c (__TEXT,__text) external _glClear
00007ffa1f047ea5 (__TEXT,__text) external _glClearAccum
00007ffa1f04d135 (__TEXT,__text) external _glClearBufferfi
00007ffa1f04d113 (__TEXT,__text) external _glClearBufferfv
00007ffa1f04d0cf (__TEXT,__text) external _glClearBufferiv
00007ffa1f04d0f1 (__TEXT,__text) external _glClearBufferuiv
00007ffa1f047ebc (__TEXT,__text) external _glClearColor
00007ffa1f0515b1 (__TEXT,__text) external _glClearColorIiEXT
00007ffa1f0515d5 (__TEXT,__text) external _glClearColorIuiEXT
00007ffa1f047ed3 (__TEXT,__text) external _glClearDepth
00007ffa1f04e01f (__TEXT,__text) external _glClearDepthf
00007ffa1f047eea (__TEXT,__text) external _glClearIndex
00007ffa1f047f01 (__TEXT,__text) external _glClearStencil
00007ffa1f04abb1 (__TEXT,__text) external _glClientActiveTexture
00007ffa1f04f4c1 (__TEXT,__text) external _glClientActiveTextureARB
00007ffa1f04d45a (__TEXT,__text) external _glClientWaitSync
00007ffa1f047f1d (__TEXT,__text) external _glClipPlane
00007ffa1f047f3c (__TEXT,__text) external _glColor3b
00007ffa1f047f5c (__TEXT,__text) external _glColor3bv
00007ffa1f047f79 (__TEXT,__text) external _glColor3d
00007ffa1f047f93 (__TEXT,__text) external _glColor3dv
00007ffa1f047fb0 (__TEXT,__text) external _glColor3f
00007ffa1f047fca (__TEXT,__text) external _glColor3fv
00007ffa1f047fe7 (__TEXT,__text) external _glColor3i
00007ffa1f048007 (__TEXT,__text) external _glColor3iv
00007ffa1f048024 (__TEXT,__text) external _glColor3s
00007ffa1f048044 (__TEXT,__text) external _glColor3sv
00007ffa1f048061 (__TEXT,__text) external _glColor3ub
00007ffa1f048081 (__TEXT,__text) external _glColor3ubv
00007ffa1f04809e (__TEXT,__text) external _glColor3ui
00007ffa1f0480be (__TEXT,__text) external _glColor3uiv
00007ffa1f0480db (__TEXT,__text) external _glColor3us
00007ffa1f0480fb (__TEXT,__text) external _glColor3usv
00007ffa1f048118 (__TEXT,__text) external _glColor4b
00007ffa1f04813b (__TEXT,__text) external _glColor4bv
00007ffa1f048158 (__TEXT,__text) external _glColor4d
00007ffa1f048172 (__TEXT,__text) external _glColor4dv
00007ffa1f04818f (__TEXT,__text) external _glColor4f
00007ffa1f0481a9 (__TEXT,__text) external _glColor4fv
00007ffa1f0481c6 (__TEXT,__text) external _glColor4i
00007ffa1f0481e9 (__TEXT,__text) external _glColor4iv
00007ffa1f048206 (__TEXT,__text) external _glColor4s
00007ffa1f048229 (__TEXT,__text) external _glColor4sv
00007ffa1f048246 (__TEXT,__text) external _glColor4ub
00007ffa1f048269 (__TEXT,__text) external _glColor4ubv
00007ffa1f048286 (__TEXT,__text) external _glColor4ui
00007ffa1f0482a9 (__TEXT,__text) external _glColor4uiv
00007ffa1f0482c6 (__TEXT,__text) external _glColor4us
00007ffa1f0482e9 (__TEXT,__text) external _glColor4usv
00007ffa1f048306 (__TEXT,__text) external _glColorMask
00007ffa1f051681 (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffa1f04c9f7 (__TEXT,__text) external _glColorMaski
00007ffa1f048329 (__TEXT,__text) external _glColorMaterial
00007ffa1f048347 (__TEXT,__text) external _glColorPointer
00007ffa1f04a7e8 (__TEXT,__text) external _glColorSubTable
00007ffa1f050844 (__TEXT,__text) external _glColorSubTableEXT
00007ffa1f04a6e1 (__TEXT,__text) external _glColorTable
00007ffa1f050810 (__TEXT,__text) external _glColorTableEXT
00007ffa1f04a715 (__TEXT,__text) external _glColorTableParameterfv
00007ffa1f04a737 (__TEXT,__text) external _glColorTableParameteriv
00007ffa1f051e86 (__TEXT,__text) external _glCombinerInputNV
00007ffa1f051e8c (__TEXT,__text) external _glCombinerOutputNV
00007ffa1f051e74 (__TEXT,__text) external _glCombinerParameterfNV
00007ffa1f051e6e (__TEXT,__text) external _glCombinerParameterfvNV
00007ffa1f051e80 (__TEXT,__text) external _glCombinerParameteriNV
00007ffa1f051e7a (__TEXT,__text) external _glCombinerParameterivNV
00007ffa1f051ebc (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffa1f04bf8b (__TEXT,__text) external _glCompileShader
00007ffa1f04fffc (__TEXT,__text) external _glCompileShaderARB
00007ffa1f05066e (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffa1f04b0b9 (__TEXT,__text) external _glCompressedTexImage1D
00007ffa1f04f9c9 (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffa1f04b07f (__TEXT,__text) external _glCompressedTexImage2D
00007ffa1f04f98f (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffa1f04b041 (__TEXT,__text) external _glCompressedTexImage3D
00007ffa1f04f951 (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffa1f04b178 (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffa1f04fa88 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffa1f04b13a (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffa1f04fa4a (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffa1f04b0e9 (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffa1f04f9f9 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffa1f04a843 (__TEXT,__text) external _glConvolutionFilter1D
00007ffa1f04a877 (__TEXT,__text) external _glConvolutionFilter2D
00007ffa1f04a8a7 (__TEXT,__text) external _glConvolutionParameterf
00007ffa1f04a8c5 (__TEXT,__text) external _glConvolutionParameterfv
00007ffa1f04a8e7 (__TEXT,__text) external _glConvolutionParameteri
00007ffa1f04a908 (__TEXT,__text) external _glConvolutionParameteriv
00007ffa1f04d174 (__TEXT,__text) external _glCopyBufferSubData
00007ffa1f04a81c (__TEXT,__text) external _glCopyColorSubTable
00007ffa1f04a759 (__TEXT,__text) external _glCopyColorTable
00007ffa1f04a92a (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffa1f04a951 (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffa1f04836a (__TEXT,__text) external _glCopyPixels
00007ffa1f048390 (__TEXT,__text) external _glCopyTexImage1D
00007ffa1f0483c3 (__TEXT,__text) external _glCopyTexImage2D
00007ffa1f048402 (__TEXT,__text) external _glCopyTexSubImage1D
00007ffa1f048436 (__TEXT,__text) external _glCopyTexSubImage2D
00007ffa1f04a69e (__TEXT,__text) external _glCopyTexSubImage3D
00007ffa1f04bfaa (__TEXT,__text) external _glCreateProgram
00007ffa1f050019 (__TEXT,__text) external _glCreateProgramObjectARB
00007ffa1f04bf47 (__TEXT,__text) external _glCreateShader
00007ffa1f04ffba (__TEXT,__text) external _glCreateShaderObjectARB
00007ffa1f04e0e6 (__TEXT,__text) external _glCreateShaderProgramv
