                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00000001d7d1fd28 (__AUTH,__data) external _CMFSSEAM_DEFAULT
000000018a51ca38 (__TEXT,__const) external _CONTAINER_CURRENT_MOBILE_UID
000000018a51ca40 (__TEXT,__const) external _CONTAINER_INSTALLATION_UID
00000001d4489e70 (__DATA_CONST,__const) external _CONTAINER_NOTIFY_USER_INVALIDATED
00000001d4489e80 (__DATA_CONST,__const) external _CONTAINER_PERSONA_CURRENT
000000018a51ca2e (__TEXT,__const) non-external _CONTAINER_PERSONA_DEFAULT
00000001d4489e78 (__DATA_CONST,__const) external _CONTAINER_PERSONA_PRIMARY
000000018a51ca3c (__TEXT,__const) external _CONTAINER_SYSTEM_UID
00000001d66f2e60 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.cache
00000001d66f2e68 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.lock
00000001d66f2e70 (__DATA,__bss) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.once_token
000000018a51ca44 (__TEXT,__const) non-external _MAX_APP_GROUP_CACHE_ENTRIES_PER_PERSONA_block_invoke.persona_name_default
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libsystem_sandbox)
                 (undefined) external _SANDBOX_EXTENSION_DEFAULT (from libsystem_sandbox)
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001d4489d48 (__DATA_CONST,__const) non-external __CONTAINER_NAMES
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
000000018a50dea4 (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke
000000018a50dfbc (__TEXT,__text) non-external _____initialize_container_sandbox_extensions_block_invoke_2
000000018a50e358 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke
000000018a50e3ec (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.13
000000018a50e384 (__TEXT,__text) non-external _____locked_clear_dead_personas_block_invoke.8
000000018a50e42c (__TEXT,__text) non-external _____locked_clear_per_persona_data_block_invoke
000000018a50de7c (__TEXT,__text) non-external _____locked_revoke_block_invoke
000000018a5169e8 (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke
000000018a516974 (__TEXT,__text) non-external ____container_async_reclaim_disk_space_block_invoke_2
000000018a51578c (__TEXT,__text) non-external ____container_legacy_lookup_multiple_block_invoke
000000018a50916c (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke
000000018a509198 (__TEXT,__text) non-external ____container_log_replication_enable_to_uid_relative_path_block_invoke_2
