00007ff8400abe48 (__DATA,__bss) non-external _GlobalMajor
00007ff8400abe4c (__DATA,__bss) non-external _GlobalMinor
00007ff8400abe50 (__DATA,__bss) non-external _GlobalSubminor
00007ff8400abe40 (__DATA,__bss) non-external _OSOnceCounter
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff800b360ee (__TEXT,__text) external ___absvdi2
00007ff800b36117 (__TEXT,__text) external ___absvsi2
00007ff800b3613c (__TEXT,__text) external ___absvti2
00007ff800b3617c (__TEXT,__text) external ___addvdi3
00007ff800b361c2 (__TEXT,__text) external ___addvsi3
00007ff800b36204 (__TEXT,__text) external ___addvti3
00007ff800b36261 (__TEXT,__text) external ___ashldi3
00007ff800b3628d (__TEXT,__text) external ___ashlti3
00007ff800b362b5 (__TEXT,__text) external ___ashrdi3
00007ff800b362e6 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff800b3657c (__TEXT,__text) external ___atomic_compare_exchange
00007ff800b36abc (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff800b36b08 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff800b36b54 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff800b36ba0 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff800b367bc (__TEXT,__text) external ___atomic_exchange
00007ff800b369ee (__TEXT,__text) external ___atomic_exchange_1
00007ff800b36a24 (__TEXT,__text) external ___atomic_exchange_2
00007ff800b36a58 (__TEXT,__text) external ___atomic_exchange_4
00007ff800b36a88 (__TEXT,__text) external ___atomic_exchange_8
00007ff800b36bec (__TEXT,__text) external ___atomic_fetch_add_1
00007ff800b36c24 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff800b36c58 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff800b36c8c (__TEXT,__text) external ___atomic_fetch_add_8
00007ff800b36d9c (__TEXT,__text) external ___atomic_fetch_and_1
00007ff800b36e14 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff800b36e94 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff800b36f04 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff800b36f88 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff800b37000 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff800b37080 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff800b370f0 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff800b36cc0 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff800b36cf8 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff800b36d30 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff800b36d64 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff800b37174 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff800b371ec (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff800b3726c (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff800b372dc (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff800b36314 (__TEXT,__text) external ___atomic_is_lock_free
00007ff800b36368 (__TEXT,__text) external ___atomic_load
00007ff800b36968 (__TEXT,__text) external ___atomic_load_1
00007ff800b36979 (__TEXT,__text) external ___atomic_load_2
00007ff800b3698b (__TEXT,__text) external ___atomic_load_4
00007ff800b36999 (__TEXT,__text) external ___atomic_load_8
