00000001acba5258 (__TEXT,__text) non-external +[Caller current]
00000001acba57f8 (__TEXT,__text) non-external +[Caller pathFromPid:]
00000001acba7b80 (__TEXT,__text) non-external +[DaemonUtils _enumAllSubrequirements:processingBlock:]
00000001acba7c68 (__TEXT,__text) non-external +[DaemonUtils _isNonUiExtensionPointIdentifier:]
00000001acba7758 (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus]
00000001acbc744c (__TEXT,__text) non-external +[DaemonUtils _updateDFRStatus].cold.1
00000001acba7840 (__TEXT,__text) non-external +[DaemonUtils _updateWithDFRStatus:source:]
00000001acba6cf8 (__TEXT,__text) non-external +[DaemonUtils callerDisplayNameWithPid:auditToken:bundleId:]
00000001acba6f6c (__TEXT,__text) non-external +[DaemonUtils callerIdWithPid:auditToken:]
00000001acba8530 (__TEXT,__text) non-external +[DaemonUtils canCallToDependencies]
00000001acba7694 (__TEXT,__text) non-external +[DaemonUtils deviceHasAtLeastSimulatedDFR]
00000001acba75d0 (__TEXT,__text) non-external +[DaemonUtils deviceHasDFR]
00000001acba7e1c (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl]
00000001acbc7520 (__TEXT,__text) non-external +[DaemonUtils deviceHasPearl].cold.1
00000001acba7cdc (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP]
00000001acbc74d8 (__TEXT,__text) non-external +[DaemonUtils deviceHasSEP].cold.1
00000001acba797c (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDFR]
00000001acba8148 (__TEXT,__text) non-external +[DaemonUtils deviceHasSecureDoublePressHW]
00000001acba81f4 (__TEXT,__text) non-external +[DaemonUtils deviceHasSpecialTouchID]
00000001acba8278 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchIDAndSecureDoublePress]
00000001acba7f5c (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID]
00000001acbc7568 (__TEXT,__text) non-external +[DaemonUtils deviceHasTouchID].cold.1
00000001acba822c (__TEXT,__text) non-external +[DaemonUtils deviceIsPoseidon]
00000001acba809c (__TEXT,__text) non-external +[DaemonUtils deviceSupportsSecureDoubleClick]
00000001acba7960 (__TEXT,__text) non-external +[DaemonUtils dfrHardwarePresent]
00000001acba794c (__TEXT,__text) non-external +[DaemonUtils dfrPresent]
00000001acba7970 (__TEXT,__text) non-external +[DaemonUtils dfrStatus]
00000001acba849c (__TEXT,__text) non-external +[DaemonUtils dispatchOnServer:]
00000001acba82c4 (__TEXT,__text) non-external +[DaemonUtils dispatchReallyAfter:tolerance:queue:block:]
00000001acba8428 (__TEXT,__text) non-external +[DaemonUtils dispatchSyncOnMain:]
00000001acba7360 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:]
00000001acbc72d4 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.1
00000001acbc7340 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.2
00000001acbc73ac (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.3
00000001acbc73e0 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.4
00000001acba7260 (__TEXT,__text) non-external +[DaemonUtils isClosedLidPreventingUseOfTouchID]
00000001acba702c (__TEXT,__text) non-external +[DaemonUtils isLidClosed]
00000001acbc7224 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.1
00000001acbc7258 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.2
00000001acbc728c (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.3
00000001acba6c98 (__TEXT,__text) non-external +[DaemonUtils queue]
00000001acba6bfc (__TEXT,__text) non-external +[DaemonUtils sharedInstance]
00000001acbc71fc (__TEXT,__text) non-external +[DaemonUtils sharedInstance].cold.1
00000001acba3d20 (__TEXT,__text) non-external +[EvaluationRequest current]
00000001acba48e8 (__TEXT,__text) non-external +[EvaluationRequest isApplePayPolicy:]
00000001acba27c0 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance]
00000001acbc6f98 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance].cold.1
00000001acb9c720 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage]
00000001acbc68b4 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage].cold.1
00000001acb9bf64 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod activePersistentInstances]
00000001acbc002c (__TEXT,__text) non-external +[LASIORemoteCall call]
00000001acbc3068 (__TEXT,__text) non-external +[LASecureIO secureIO]
00000001acbb1878 (__TEXT,__text) non-external +[LASecureIOArchive createArchiveFromPath:]
00000001acbb1334 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:]
00000001acbb1c38 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.1
00000001acbb1d0c (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.2
00000001acbb1de0 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.3
00000001acbb1eb4 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.4
00000001acbb1f88 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.5
00000001acbafc08 (__TEXT,__text) non-external +[LASecureIOAsset asset]
00000001acbaf9a0 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetButtonAction:]
00000001acbb0310 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetButtonAction:].cold.1
00000001acbafad4 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetFormat:]
00000001acbb0324 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetFormat:].cold.1
