00007ffc13441473 (__TEXT,__text) non-external _Done_iODBC
00007ffc1345f120 (__TEXT,__const) non-external _FunctionNumbers
00007ffc1345e175 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffc13441355 (__TEXT,__text) non-external _Init_iODBC
00007ffc417f4aac (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffc1343fa24 (__TEXT,__text) external _SQLAllocConnect
00007ffc1343f914 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffc134412dc (__TEXT,__text) external _SQLAllocEnv
00007ffc1344112e (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffc1344b98c (__TEXT,__text) external _SQLAllocHandle
00007ffc1344ba87 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffc1344b700 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffc134444d5 (__TEXT,__text) external _SQLAllocStmt
00007ffc13443f54 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffc13449579 (__TEXT,__text) external _SQLBindCol
00007ffc1345193c (__TEXT,__text) external _SQLBindParam
00007ffc134488a9 (__TEXT,__text) external _SQLBindParameter
00007ffc1343c69a (__TEXT,__text) external _SQLBrowseConnect
00007ffc1343c80b (__TEXT,__text) external _SQLBrowseConnectA
00007ffc1343c97c (__TEXT,__text) external _SQLBrowseConnectW
00007ffc1343c04d (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffc13451418 (__TEXT,__text) external _SQLBulkOperations
00007ffc134453be (__TEXT,__text) external _SQLCancel
00007ffc13451968 (__TEXT,__text) external _SQLCloseCursor
00007ffc13450e58 (__TEXT,__text) external _SQLColAttribute
00007ffc13451004 (__TEXT,__text) external _SQLColAttributeA
00007ffc134511b0 (__TEXT,__text) external _SQLColAttributeW
00007ffc13450709 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffc1344b1f9 (__TEXT,__text) external _SQLColAttributes
00007ffc1344b3a5 (__TEXT,__text) external _SQLColAttributesA
00007ffc1344b551 (__TEXT,__text) external _SQLColAttributesW
