00007ffb077302b0 (__TEXT,__text) external _ARMCompilationCallback
00007ffb077302c0 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffb07e2c530 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffb07e2c610 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffb07e2c440 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffb07e2c7a0 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffb07e2cad0 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffb07e2ced0 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffb07e2cce0 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffb07e2ccd0 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffb434923e8 (__DATA,__common) external _EnableARMEHABI
00007ffb43492128 (__DATA,__common) external _EnableARMLongCalls
00007ffb43491eb0 (__DATA,__common) external _ForceStackAlign
00007ffb07c3e340 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffb07c3e2f0 (__TEXT,__text) external _LLVMABISizeOfType
00007ffb07a97350 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffb07c714f0 (__TEXT,__text) external _LLVMAddAlias
00007ffb0744fd10 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffb07c41900 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffb0744fc20 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffb07c71b90 (__TEXT,__text) external _LLVMAddAttribute
00007ffb07479d10 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffb07a97940 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffb07a97380 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffb07c73030 (__TEXT,__text) external _LLVMAddCase
00007ffb07c73050 (__TEXT,__text) external _LLVMAddClause
00007ffb0744fc50 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffb07a97820 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffb07a978b0 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffb0744fc80 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffb07a973b0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffb07a97850 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffb07c73040 (__TEXT,__text) external _LLVMAddDestination
00007ffb07a978e0 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffb07c71560 (__TEXT,__text) external _LLVMAddFunction
00007ffb07c71720 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffb0744fcb0 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffb0744fce0 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffb07a97410 (__TEXT,__text) external _LLVMAddGVNPass
00007ffb07c711f0 (__TEXT,__text) external _LLVMAddGlobal
00007ffb0744fd40 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffb07c71270 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffb074fd890 (__TEXT,__text) external _LLVMAddGlobalMapping
00007ffb0744fd70 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffb0744fda0 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffb0744fe00 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffb07c724f0 (__TEXT,__text) external _LLVMAddIncoming
00007ffb07a97440 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffb07c72270 (__TEXT,__text) external _LLVMAddInstrAttribute
00007ffb07a97470 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffb0744fe30 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffb07a974a0 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffb07a974d0 (__TEXT,__text) external _LLVMAddLICMPass
00007ffb07a97500 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffb07a97530 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffb07a97590 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffb07a97560 (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffb07a975c0 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffb07a97600 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffb07479d50 (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffb07a97970 (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffb07a97630 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffb074fd7c0 (__TEXT,__text) external _LLVMAddModule
00007ffb074fd7d0 (__TEXT,__text) external _LLVMAddModuleProvider
00007ffb07c70690 (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffb07a97660 (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffb07a97690 (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffb0744fdd0 (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffb07a976c0 (__TEXT,__text) external _LLVMAddReassociatePass
00007ffb07a976f0 (__TEXT,__text) external _LLVMAddSCCPPass
00007ffb07479d80 (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffb07a97720 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffb07a97760 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffb07a977a0 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffb07a973e0 (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffb07a977e0 (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffb0744feb0 (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffb0744fee0 (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffb07a977f0 (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffb07c3df90 (__TEXT,__text) external _LLVMAddTargetData
00007ffb07c717d0 (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffb07c3dfe0 (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007ffb07a97910 (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007ffb07a97880 (__TEXT,__text) external _LLVMAddVerifierPass
00007ffb07c709c0 (__TEXT,__text) external _LLVMAlignOf
00007ffb07c71f30 (__TEXT,__text) external _LLVMAppendBasicBlock
00007ffb07c71ec0 (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007ffb07c6f450 (__TEXT,__text) external _LLVMArrayType
00007ffb07c71d70 (__TEXT,__text) external _LLVMBasicBlockAsValue
00007ffb07c70eb0 (__TEXT,__text) external _LLVMBlockAddress
00007ffb07c73dc0 (__TEXT,__text) external _LLVMBuildAShr
00007ffb07c73080 (__TEXT,__text) external _LLVMBuildAdd
00007ffb07c74c80 (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007ffb07c72a50 (__TEXT,__text) external _LLVMBuildAggregateRet
00007ffb07c74420 (__TEXT,__text) external _LLVMBuildAlloca
00007ffb07c73df0 (__TEXT,__text) external _LLVMBuildAnd
00007ffb07c744e0 (__TEXT,__text) external _LLVMBuildArrayAlloca
00007ffb07c74330 (__TEXT,__text) external _LLVMBuildArrayMalloc
00007ffb07c756f0 (__TEXT,__text) external _LLVMBuildAtomicRMW
00007ffb07c73e80 (__TEXT,__text) external _LLVMBuildBinOp
00007ffb07c74c40 (__TEXT,__text) external _LLVMBuildBitCast
00007ffb07c72b70 (__TEXT,__text) external _LLVMBuildBr
00007ffb07c751e0 (__TEXT,__text) external _LLVMBuildCall
00007ffb07c74f90 (__TEXT,__text) external _LLVMBuildCast
00007ffb07c72c10 (__TEXT,__text) external _LLVMBuildCondBr
00007ffb07c73ab0 (__TEXT,__text) external _LLVMBuildExactSDiv
00007ffb07c753c0 (__TEXT,__text) external _LLVMBuildExtractElement
00007ffb07c75450 (__TEXT,__text) external _LLVMBuildExtractValue
00007ffb07c73340 (__TEXT,__text) external _LLVMBuildFAdd
00007ffb07c75180 (__TEXT,__text) external _LLVMBuildFCmp
00007ffb07c73af0 (__TEXT,__text) external _LLVMBuildFDiv
00007ffb07c73a20 (__TEXT,__text) external _LLVMBuildFMul
00007ffb07c74050 (__TEXT,__text) external _LLVMBuildFNeg
00007ffb07c75060 (__TEXT,__text) external _LLVMBuildFPCast
00007ffb07c74b80 (__TEXT,__text) external _LLVMBuildFPExt
00007ffb07c74a80 (__TEXT,__text) external _LLVMBuildFPToSI
00007ffb07c74a40 (__TEXT,__text) external _LLVMBuildFPToUI
00007ffb07c74b40 (__TEXT,__text) external _LLVMBuildFPTrunc
00007ffb07c73b80 (__TEXT,__text) external _LLVMBuildFRem
00007ffb07c73630 (__TEXT,__text) external _LLVMBuildFSub
00007ffb07c746e0 (__TEXT,__text) external _LLVMBuildFence
00007ffb07c745a0 (__TEXT,__text) external _LLVMBuildFree
00007ffb07c747a0 (__TEXT,__text) external _LLVMBuildGEP
00007ffb07c74840 (__TEXT,__text) external _LLVMBuildGlobalString
00007ffb07c748a0 (__TEXT,__text) external _LLVMBuildGlobalStringPtr
00007ffb07c75150 (__TEXT,__text) external _LLVMBuildICmp
00007ffb07c747d0 (__TEXT,__text) external _LLVMBuildInBoundsGEP
00007ffb07c72d70 (__TEXT,__text) external _LLVMBuildIndirectBr
00007ffb07c753f0 (__TEXT,__text) external _LLVMBuildInsertElement
00007ffb07c75490 (__TEXT,__text) external _LLVMBuildInsertValue
00007ffb07c75020 (__TEXT,__text) external _LLVMBuildIntCast
00007ffb07c74c00 (__TEXT,__text) external _LLVMBuildIntToPtr
00007ffb07c72e10 (__TEXT,__text) external _LLVMBuildInvoke
