00000001988d20ec (__TEXT,__text) non-external +[CalAlarm alarm]
00000001988d6db0 (__TEXT,__text) non-external +[CalCalendar calendar]
00000001988dae3c (__TEXT,__text) non-external +[CalCalendarItem sortedAlarms:]
00000001988d69a0 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00000001988d6b7c (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00000001988d67a8 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00000001988d655c (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00000001988d15a8 (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00000001988d1088 (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00000001988d0f80 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00000001988d5e24 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00000001988d13a4 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00000001988d3bec (__TEXT,__text) non-external +[CalCalendarStore requestAccessForEntityType:eventStore:]
00000001988d3ac8 (__TEXT,__text) non-external +[CalCalendarStore setDefaultCalendarStore:]
00000001988d609c (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00000001988d61bc (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00000001988d62f8 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00000001988d6420 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
00000001988d5cd4 (__TEXT,__text) non-external +[CalCalendarStore toEKCalendarsFromCalCalendars:]
00000001988d7d0c (__TEXT,__text) non-external +[CalEvent event]
00000001988d83a4 (__TEXT,__text) non-external +[CalEvent sortedAttendees:]
