00000001dd941f98 (__TEXT,__text) non-external _DiToMD5
00000001dd9422c8 (__TEXT,__text) non-external _DiToSHA1
00000001dd925f14 (__TEXT,__text) external _DriverExecutableMain
00000001ed5b6d98 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
00000001dd9257b0 (__TEXT,__text) external _IOCallOnce
00000001ed5b7058 (__AUTH_CONST,__const) external _IOCommandPool_Class
00000001ed5b6f60 (__AUTH_CONST,__const) external _IOCommand_Class
00000001ed5b7150 (__AUTH_CONST,__const) external _IODMACommand_Class
00000001ed5b7300 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001dd9220fc (__TEXT,__text) external _IODelay
00000001ed5b74b0 (__AUTH_CONST,__const) external _IODispatchQueue_Class
00000001ed5b7660 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001dd926578 (__TEXT,__text) external _IODriverKitTest
00000001dd954740 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001dd954774 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001dd9547a0 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001dd9547d4 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001dd954800 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001dd95482c (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001dd954858 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001dd954884 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00000001ed5b7810 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001ed5b79c0 (__AUTH_CONST,__const) external _IOExtensiblePaniclog_Class
00000001dd9220d0 (__TEXT,__text) external _IOFree
00000001dd9220ec (__TEXT,__text) external _IOFreeData
00000001dd926548 (__TEXT,__text) external _IOGetExecutableSDKVersion
00000001ed5b8290 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
00000001ed5b7ba0 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001dd922108 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001dd9253e0 (__TEXT,__text) external _IOLockAlloc
00000001dd925430 (__TEXT,__text) external _IOLockAssert
00000001dd954020 (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001dd925414 (__TEXT,__text) external _IOLockFree
00000001dd925424 (__TEXT,__text) external _IOLockLock
00000001dd925428 (__TEXT,__text) external _IOLockTryLock
00000001dd92542c (__TEXT,__text) external _IOLockUnlock
00000001dd921f34 (__TEXT,__text) external _IOLog
00000001dd921e00 (__TEXT,__text) external _IOLogBuffer
00000001dd921f60 (__TEXT,__text) external _IOLogv
00000001dd92208c (__TEXT,__text) external _IOMalloc
00000001dd9220d4 (__TEXT,__text) external _IOMallocData
00000001dd9220a8 (__TEXT,__text) external _IOMallocTyped
00000001dd9220ac (__TEXT,__text) external _IOMallocZero
00000001dd9220dc (__TEXT,__text) external _IOMallocZeroData
00000001dd9220c0 (__TEXT,__text) external _IOMallocZeroTyped
00000001ed5b7d50 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
00000001ed5b7f00 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001dd9221a8 (__TEXT,__text) external _IOParseBootArgNumber
00000001dd922664 (__TEXT,__text) external _IOParseBootArgString
00000001dd9243e0 (__TEXT,__text) external _IORPCMessageFromMach
00000001dd953d20 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001dd953d60 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001dd9256b8 (__TEXT,__text) external _IORWLockAlloc
00000001dd954180 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001dd92570c (__TEXT,__text) external _IORWLockFree
00000001dd925750 (__TEXT,__text) external _IORWLockRead
00000001dd9541ac (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001dd925790 (__TEXT,__text) external _IORWLockUnlock
00000001dd954204 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001dd925770 (__TEXT,__text) external _IORWLockWrite
00000001dd9541d8 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001dd9254c8 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001dd925514 (__TEXT,__text) external _IORecursiveConditionLockFree
00000001dd9255fc (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001dd9540fc (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001dd925524 (__TEXT,__text) external _IORecursiveConditionLockLock
00000001dd95404c (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001dd954078 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001dd925640 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001dd954128 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001dd954154 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001dd92558c (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001dd9540a4 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001dd9540d0 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001dd925470 (__TEXT,__text) external _IORecursiveLockAlloc
00000001dd9254a4 (__TEXT,__text) external _IORecursiveLockFree
00000001dd9254c0 (__TEXT,__text) external _IORecursiveLockHaveLock
00000001dd9254b4 (__TEXT,__text) external _IORecursiveLockLock
00000001dd9254c4 (__TEXT,__text) external _IORecursiveLockTryLock
00000001dd9254bc (__TEXT,__text) external _IORecursiveLockUnlock
00000001ed5b8330 (__AUTH_CONST,__const) external _IOReportLegend_Class
00000001ed5b80b0 (__AUTH_CONST,__const) external _IOReporter_Class
00000001ed5b8960 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00000001ed5b8b10 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00000001ed5b87b0 (__AUTH_CONST,__const) external _IOService_Class
00000001ed5b8150 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001dd9220f0 (__TEXT,__text) external _IOSleep
00000001ed5b81f0 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001dd925870 (__TEXT,__text) external _IOThreadLocalStorageGet
00000001dd9257c4 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001dd925814 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001dd92583c (__TEXT,__text) external _IOThreadLocalStorageSet
00000001ed5ba910 (__AUTH_CONST,__const) external _IOThread_Class
00000001ed5b8cc0 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
00000001ed5b8e70 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001dd925f68 (__TEXT,__text) external _IOUserServerMain
00000001dd95455c (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001dd9546e8 (__TEXT,__text) non-external _IOUserServerMain.cold.10
