00007ff801eda83c (__TEXT,__text) external _NSAddImage
00007ff801eda806 (__TEXT,__text) external _NSAddLibrary
00007ff801eda821 (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff801eda573 (__TEXT,__text) external _NSAddressOfSymbol
00007ff801eda5f5 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff801eda4f0 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff801eda613 (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff801eda531 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff801eda7f2 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff801eda67e (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff801eda6ef (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff801eda728 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff801eda70a (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff801eda6b7 (__TEXT,__text) external _NSLibraryNameForModule
00007ff801eda7ce (__TEXT,__text) external _NSLinkEditError
00007ff801eda511 (__TEXT,__text) external _NSLinkModule
00007ff801eda746 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff801eda761 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff801eda77f (__TEXT,__text) external _NSLookupSymbolInImage
00007ff801eda555 (__TEXT,__text) external _NSLookupSymbolInModule
00007ff801eda7b3 (__TEXT,__text) external _NSModuleForSymbol
00007ff801eda69c (__TEXT,__text) external _NSNameOfModule
00007ff801eda79f (__TEXT,__text) external _NSNameOfSymbol
00007ff801eda62e (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff801eda642 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff801eda656 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff801eda66a (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff801eda6d2 (__TEXT,__text) external _NSUnLinkModule
00007ff801ed9f46 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff801ed9fc8 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff8438d9bb0 (__DATA_DIRTY,__common) external _NXArgc
00007ff8438d9bb8 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff801ed9d7e (__TEXT,__text) external __NSGetExecutablePath
00007ff801edbe49 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
