00007ffa17530670 (__TEXT,__text) external _ARMCompilationCallback
00007ffa17530680 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffa17c3f830 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa17c3f910 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa17c3f740 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa17c3fab0 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa17c3fe00 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa17c40220 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa17c40040 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffa17c40030 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa42ae3258 (__DATA,__common) external _EnableARMEHABI
00007ffa42ae2f98 (__DATA,__common) external _EnableARMLongCalls
00007ffa42ae2d20 (__DATA,__common) external _ForceStackAlign
00007ffa17a4ab10 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa17a4aac0 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa178a4390 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa17a7dcf0 (__TEXT,__text) external _LLVMAddAlias
00007ffa1724fa50 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa17a4e090 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa1724f960 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa17a7e390 (__TEXT,__text) external _LLVMAddAttribute
00007ffa17279460 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa178a4980 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa178a43c0 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa17a7f7f0 (__TEXT,__text) external _LLVMAddCase
00007ffa17a7f810 (__TEXT,__text) external _LLVMAddClause
00007ffa1724f990 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa178a4860 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa178a48f0 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffa1724f9c0 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffa178a43f0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffa178a4890 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffa17a7f800 (__TEXT,__text) external _LLVMAddDestination
00007ffa178a4920 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffa17a7dd60 (__TEXT,__text) external _LLVMAddFunction
00007ffa17a7df20 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffa1724f9f0 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffa1724fa20 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffa178a4450 (__TEXT,__text) external _LLVMAddGVNPass
00007ffa17a7d9e0 (__TEXT,__text) external _LLVMAddGlobal
00007ffa1724fa80 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffa17a7da60 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffa172f4c90 (__TEXT,__text) external _LLVMAddGlobalMapping
00007ffa1724fab0 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffa1724fae0 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffa1724fb40 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffa17a7ecb0 (__TEXT,__text) external _LLVMAddIncoming
00007ffa178a4480 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffa17a7ea30 (__TEXT,__text) external _LLVMAddInstrAttribute
00007ffa178a44b0 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffa1724fb70 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffa178a44e0 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffa178a4510 (__TEXT,__text) external _LLVMAddLICMPass
00007ffa178a4540 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffa178a4570 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffa178a45d0 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffa178a45a0 (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffa178a4600 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffa178a4640 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffa172794a0 (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffa178a49b0 (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffa178a4670 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffa172f4bc0 (__TEXT,__text) external _LLVMAddModule
00007ffa172f4bd0 (__TEXT,__text) external _LLVMAddModuleProvider
00007ffa17a7ced0 (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffa178a46a0 (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffa178a46d0 (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
