                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000019147ba60 (__TEXT,__text) non-external _alone_decode
000000019147bd04 (__TEXT,__text) non-external _alone_decoder_end
000000019147bd44 (__TEXT,__text) non-external _alone_decoder_memconfig
000000019147a48c (__TEXT,__text) non-external _alone_encode
000000019147a5a4 (__TEXT,__text) non-external _alone_encoder_end
000000019147a310 (__TEXT,__text) non-external _alone_encoder_init
00000001914857f0 (__TEXT,__text) non-external _arm64_code
000000019148844c (__TEXT,__text) non-external _arm_code
0000000191488538 (__TEXT,__text) non-external _armthumb_code
000000019147bf70 (__TEXT,__text) non-external _auto_decode
000000019147c0ec (__TEXT,__text) non-external _auto_decoder_end
000000019147c12c (__TEXT,__text) non-external _auto_decoder_get_check
000000019147be68 (__TEXT,__text) non-external _auto_decoder_init
000000019147c144 (__TEXT,__text) non-external _auto_decoder_memconfig
000000019148ded8 (__TEXT,__const) non-external _bcj_optmap
000000019147a68c (__TEXT,__text) non-external _block_buffer_encode
000000019147c494 (__TEXT,__text) non-external _block_decode
000000019147c708 (__TEXT,__text) non-external _block_decoder_end
0000000191474ca8 (__TEXT,__text) non-external _block_encode
000000019147a930 (__TEXT,__text) non-external _block_encode_normal
000000019147aa98 (__TEXT,__text) non-external _block_encode_uncompressed
000000019147918c (__TEXT,__text) non-external _block_encoder_end
0000000191472de0 (__TEXT,__text) non-external _block_encoder_init
000000019147ac40 (__TEXT,__text) non-external _block_encoder_update
000000019147806c (__TEXT,__text) non-external _bt_find_func
0000000191475e64 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
0000000191487db4 (__TEXT,__text) non-external _copy_or_code
00000001914811d8 (__TEXT,__text) non-external _decode_buffer
000000019147cbbc (__TEXT,__text) non-external _decoder_find
00000001ef38ca78 (__AUTH_CONST,__const) non-external _decoders
000000019148764c (__TEXT,__text) non-external _delta_coder_end
0000000191487870 (__TEXT,__text) non-external _delta_decode
00000001914876dc (__TEXT,__text) non-external _delta_encode
000000019148780c (__TEXT,__text) non-external _delta_encoder_update
000000019148def0 (__TEXT,__const) non-external _delta_optmap
0000000191473374 (__TEXT,__text) non-external _encoder_find
00000001ef38c810 (__AUTH_CONST,__const) non-external _encoders
0000000191489ca0 (__TEXT,__const) non-external _features
0000000191481ec8 (__TEXT,__text) non-external _file_info_decode
0000000191482494 (__TEXT,__text) non-external _file_info_decoder_end
00000001914824f0 (__TEXT,__text) non-external _file_info_decoder_memconfig
00000001ef38cbd8 (__AUTH_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00000001914781b8 (__TEXT,__text) non-external _get_literal_price
0000000191488a3c (__TEXT,__text) non-external _get_options
0000000191489228 (__TEXT,__text) non-external _get_progress
0000000191487158 (__TEXT,__text) non-external _get_thread
000000019147d564 (__TEXT,__text) non-external _hash_append
