                 (undefined) external _AFIsInternalInstall (from AssistantServices)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _DEHasFeature (from DialogEngine)
                 (undefined) external _DEVersion (from DialogEngine)
                 (undefined) external _INIntentSlotValueTransformToContactHandle (from Intents)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSURLIsRegularFileKey (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_AFPreferences (from AssistantServices)
                 (undefined) external _OBJC_CLASS_$_CAT (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_CATPattern (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DEEvaluator (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DEExecutor (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DEMorphun (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DEValidationEntry (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DEValidator (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DialogElement (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_DialogExecutionResult (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
                 (undefined) external _OBJC_CLASS_$_PatternExecutionDialog (from DialogEngine)
                 (undefined) external _OBJC_CLASS_$_PatternExecutionResult (from DialogEngine)
000000023285bf28 (__AUTH,__objc_data) external _OBJC_CLASS_$__TtC16SiriDialogEngine10CATGlobals
000000023285c108 (__AUTH,__objc_data) external _OBJC_CLASS_$__TtC16SiriDialogEngine17CATCallbackParams
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000232859f28 (__AUTH,__data) external _OBJC_METACLASS_$__TtC16SiriDialogEngine10CATGlobals
000000023285bb20 (__AUTH,__data) external _OBJC_METACLASS_$__TtC16SiriDialogEngine17CATCallbackParams
000000023285bd08 (__AUTH,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC16SiriDialogEngineP33_0765C0C49696B08FD742D29DC8B43ED916CATParamsWrapper
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000020de05c40 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de0f548 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de119e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de120c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de1856c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de1a91c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de1ca1c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de1efa0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de2413c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de25ea0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de27068 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de29154 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de2983c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de2db7c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de2f928 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de302cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de319bc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de32a98 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de3471c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de38dd4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de3ae6c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de3b4e4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de3bb00 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de3d1cc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de3e40c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de3efd0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de410a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de43258 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de43f20 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de4453c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000020de4f678 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
