000000020d199b4c (__TEXT,__text) non-external _Done_iODBC
000000020d1b89f0 (__TEXT,__const) non-external _FunctionNumbers
000000020d1b7858 (__TEXT,__text) non-external _GetPrivateProfileString
000000020d1999c8 (__TEXT,__text) non-external _Init_iODBC
000000021bac01ac (__DATA,__common) non-external _ODBCSharedTraceFlag
000000020d1980c8 (__TEXT,__text) external _SQLAllocConnect
000000020d197fd8 (__TEXT,__text) non-external _SQLAllocConnect_Internal
000000020d199938 (__TEXT,__text) external _SQLAllocEnv
000000020d199794 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000020d1a38e4 (__TEXT,__text) external _SQLAllocHandle
000000020d1a39fc (__TEXT,__text) non-external _SQLAllocHandleStd
000000020d1a3644 (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000020d19c5b8 (__TEXT,__text) external _SQLAllocStmt
000000020d19c104 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000020d1a15ac (__TEXT,__text) external _SQLBindCol
000000020d1a95c8 (__TEXT,__text) external _SQLBindParam
000000020d1a0a54 (__TEXT,__text) external _SQLBindParameter
000000020d194d90 (__TEXT,__text) external _SQLBrowseConnect
000000020d194ed8 (__TEXT,__text) external _SQLBrowseConnectA
000000020d195020 (__TEXT,__text) external _SQLBrowseConnectW
000000020d19486c (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000020d1a90dc (__TEXT,__text) external _SQLBulkOperations
000000020d19d4e8 (__TEXT,__text) external _SQLCancel
000000020d1a960c (__TEXT,__text) external _SQLCloseCursor
000000020d1a8b20 (__TEXT,__text) external _SQLColAttribute
000000020d1a8cc8 (__TEXT,__text) external _SQLColAttributeA
000000020d1a8e70 (__TEXT,__text) external _SQLColAttributeW
000000020d1a8458 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000020d1a314c (__TEXT,__text) external _SQLColAttributes
000000020d1a32f4 (__TEXT,__text) external _SQLColAttributesA
000000020d1a349c (__TEXT,__text) external _SQLColAttributesW
000000020d1a2cb0 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000020d18dce8 (__TEXT,__text) external _SQLColumnPrivileges
000000020d18decc (__TEXT,__text) external _SQLColumnPrivilegesA
000000020d18e0b0 (__TEXT,__text) external _SQLColumnPrivilegesW
000000020d18da54 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000020d18e528 (__TEXT,__text) external _SQLColumns
000000020d18e70c (__TEXT,__text) external _SQLColumnsA
000000020d18e8f0 (__TEXT,__text) external _SQLColumnsW
000000020d18e294 (__TEXT,__text) non-external _SQLColumns_Internal
000000020d1921bc (__TEXT,__text) external _SQLConnect
000000020d192948 (__TEXT,__text) external _SQLConnectA
000000020d192aa8 (__TEXT,__text) external _SQLConnectW
000000020d19231c (__TEXT,__text) non-external _SQLConnect_Internal
000000020d1b847c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
000000020d1a82dc (__TEXT,__text) external _SQLCopyDesc
000000020d19e008 (__TEXT,__text) external _SQLDataSources
000000020d19e150 (__TEXT,__text) external _SQLDataSourcesA
000000020d19e298 (__TEXT,__text) external _SQLDataSourcesW
000000020d19dbac (__TEXT,__text) non-external _SQLDataSources_Internal
000000021bac0130 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000021bac0150 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000021bac0158 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000020d1a26d4 (__TEXT,__text) external _SQLDescribeCol
000000020d1a28c8 (__TEXT,__text) external _SQLDescribeColA
000000020d1a2abc (__TEXT,__text) external _SQLDescribeColW
000000020d1a2420 (__TEXT,__text) non-external _SQLDescribeCol_Internal
000000020d196e88 (__TEXT,__text) external _SQLDescribeParam
000000020d195168 (__TEXT,__text) external _SQLDisconnect
000000020d1943f8 (__TEXT,__text) external _SQLDriverConnect
000000020d194574 (__TEXT,__text) external _SQLDriverConnectA
000000020d1946f0 (__TEXT,__text) external _SQLDriverConnectW
000000020d192c08 (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000020d1b84a8 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
000000020d1b84d4 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000020d19e89c (__TEXT,__text) external _SQLDrivers
000000020d19e9e4 (__TEXT,__text) external _SQLDriversA
000000020d19eb2c (__TEXT,__text) external _SQLDriversW
000000020d19e4b8 (__TEXT,__text) non-external _SQLDrivers_Internal
000000021bac0134 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000021bac0160 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000021bac0168 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
000000020d1a9018 (__TEXT,__text) external _SQLEndTran
000000020d19a2cc (__TEXT,__text) external _SQLError
