000000022bccb774 (__TEXT,__text) external _LLVMExtraCreateBinary
000000022bccb8dc (__TEXT,__text) external _LLVMExtraDisposeBinary
000000022bccb6e0 (__TEXT,__text) external _LLVMExtraDisposeSharedModule
000000022bccba58 (__TEXT,__text) external _LLVMExtraGetSymbolImplAddress
000000022bccbc48 (__TEXT,__text) external _LLVMExtraGetSymbolImplName
000000022bccbb50 (__TEXT,__text) external _LLVMExtraGetSymbolImplSize
000000022bccb908 (__TEXT,__text) external _LLVMExtraMachOUniversalBinaryCopyIRForArch
000000022bccb660 (__TEXT,__text) external _LLVMExtraMakeSharedModule
000000022bcca2c8 (__TEXT,__text) external _MTLArchiveAddMember
000000022bcca1cc (__TEXT,__text) external _MTLArchiveCreate
000000022bcca25c (__TEXT,__text) external _MTLArchiveDestroy
000000022bcd0420 (__TEXT,__text) external _MTLArchiveGetAsObject
000000022bcca3d4 (__TEXT,__text) external _MTLArchiveGetMemberNo
000000022bcca370 (__TEXT,__text) external _MTLArchiveGetMembersCount
000000022bcd060c (__TEXT,__text) external _MTLCreateScript
000000022bcd07a8 (__TEXT,__text) external _MTLDestroyScript
000000022bccdf3c (__TEXT,__text) external _MTLDisposeSharedMetalModule
000000022bcc2238 (__TEXT,__text) external _MTLDowngradeAIRModule
000000022bcc21ec (__TEXT,__text) external _MTLEnablePrettyStackTrace
000000022bcc69b8 (__TEXT,__text) external _MTLFunctionGroupCreate
000000022bcc6ba8 (__TEXT,__text) external _MTLFunctionGroupDestroy
000000022bcc6cd0 (__TEXT,__text) external _MTLFunctionGroupGetFunctionAtIndex
000000022bcc6c80 (__TEXT,__text) external _MTLFunctionGroupGetFunctionsCount
000000022bcc6c28 (__TEXT,__text) external _MTLFunctionGroupGetName
000000022bcc0e08 (__TEXT,__text) external _MTLGPUArchiverAddDescriptor
000000022bcc0a58 (__TEXT,__text) external _MTLGPUArchiverAddLinkedModules
000000022bcc0b8c (__TEXT,__text) external _MTLGPUArchiverAddLinkedModulesWithReferences
000000022bcc0cc0 (__TEXT,__text) external _MTLGPUArchiverAddPipeline
000000022bcc1774 (__TEXT,__text) external _MTLGPUArchiverAddTool
000000022bcc07c0 (__TEXT,__text) external _MTLGPUArchiverAddUnit
000000022bcc090c (__TEXT,__text) external _MTLGPUArchiverAddUnitWithReference
