                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00000001f9896a40 (__TEXT,__text) external _PFCheckNATRule
00000001f98941b4 (__TEXT,__text) external _PFCheckRule
00000001f9892fe8 (__TEXT,__text) external _PFFindStatesByDescriptor
00000001f9893464 (__TEXT,__text) external _PFGetDescriptorStateDetails
00000001f9893ec8 (__TEXT,__text) external _PFManagerAddUser
00000001f9893f84 (__TEXT,__text) external _PFManagerCheckUserExists
00000001f9893da8 (__TEXT,__text) external _PFManagerCreate
00000001f9893bdc (__TEXT,__text) external _PFManagerDebugLog
00000001f98939cc (__TEXT,__text) external _PFManagerErrorLog
00000001f98938f8 (__TEXT,__text) external _PFManagerGetExternalAuthorizationObject
00000001f9893c20 (__TEXT,__text) external _PFManagerGetQueue
00000001f9893b98 (__TEXT,__text) external _PFManagerInfoLog
00000001f9893a78 (__TEXT,__text) external _PFManagerLogOpen
00000001f9893b54 (__TEXT,__text) external _PFManagerNoticeLog
00000001f98940f0 (__TEXT,__text) external _PFManagerRelease
00000001f9893ffc (__TEXT,__text) external _PFManagerReleaseUser
00000001f98940b0 (__TEXT,__text) external _PFManagerSendMessage
00000001f9893328 (__TEXT,__text) external _PFStateQueryAppendTrafficDescriptor
00000001f9890c90 (__TEXT,__text) external _PFUserAddRule
00000001f98909c0 (__TEXT,__text) external _PFUserBeginRules
00000001f98913cc (__TEXT,__text) external _PFUserClearRules
00000001f9892774 (__TEXT,__text) external _PFUserClearStates
00000001f9890f68 (__TEXT,__text) external _PFUserCommitRules
00000001f9892574 (__TEXT,__text) external _PFUserCopyRules_S
00000001f9890460 (__TEXT,__text) external _PFUserCreate
00000001f9891fc0 (__TEXT,__text) external _PFUserDeleteRule
00000001f9891574 (__TEXT,__text) external _PFUserDeleteRules
00000001f98922a8 (__TEXT,__text) external _PFUserGetRules
00000001f98919dc (__TEXT,__text) external _PFUserInsertRule
00000001f9891d3c (__TEXT,__text) external _PFUserInsertRule_S
00000001f9892a54 (__TEXT,__text) external _PFUserNATLook
00000001f9892d84 (__TEXT,__text) external _PFUserNATLook_S
00000001f9891854 (__TEXT,__text) external _PFUserRelease
00000001f9897408 (__TEXT,__text) external _PFXPCCleanup
00000001f98970e0 (__TEXT,__text) external _PFXPCGetResponse
00000001f98970ec (__TEXT,__text) external _PFXPCSetupAndSend
00000001f9897cb0 (__TEXT,__const) external _PacketFilterVersionNumber
00000001f9897c78 (__TEXT,__const) external _PacketFilterVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFRuntimeCreateInstance (from CoreFoundation)
                 (undefined) external __CFRuntimeRegisterClass (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001f9894b74 (__TEXT,__text) non-external ___PFAddressCheck
00000001f9895ec4 (__TEXT,__text) non-external ___PFAllowOptsCheck
00000001f9894944 (__TEXT,__text) non-external ___PFDirCheck
00000001f9896214 (__TEXT,__text) non-external ___PFDummyNetCheck
00000001f98968ec (__TEXT,__text) non-external ___PFDummyNetConsistencyCheck
00000001f9895f4c (__TEXT,__text) non-external ___PFExtFilterCheck
00000001f9895fe0 (__TEXT,__text) non-external ___PFExtMapCheck
00000001f9894ab4 (__TEXT,__text) non-external ___PFFamilyCheck
00000001f9896360 (__TEXT,__text) non-external ___PFFilterConsistencyCheck
00000001f98930f0 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke
00000001f989319c (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_2
00000001f9893238 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_3
00000001f989517c (__TEXT,__text) non-external ___PFFlagsCheck
00000001f989554c (__TEXT,__text) non-external ___PFGroupCheck
00000001f9895960 (__TEXT,__text) non-external ___PFICMPCheck
00000001f9896c10 (__TEXT,__text) non-external ___PFIPAddressCheck
00000001f9896b6c (__TEXT,__text) non-external ___PFInterfaceExists
00000001f98957d0 (__TEXT,__text) non-external ___PFLogCheck
000000021e805320 (__AUTH_CONST,__const) non-external ___PFManagerClass
00000001f9893a10 (__TEXT,__text) non-external ___PFManagerCreateAuthorization
00000001f9893af8 (__TEXT,__text) non-external ___PFManagerLogCreate
00000001f9897674 (__TEXT,__text) non-external ___PFManagerLogCreate.cold.1
00000001f9893ca4 (__TEXT,__text) non-external ___PFManagerQueueCreate
00000001f9894114 (__TEXT,__text) non-external ___PFManagerRegister
00000001f989413c (__TEXT,__text) non-external ___PFManagerRelease
00000001f98976bc (__TEXT,__text) non-external ___PFManagerRelease.cold.1
00000001f9896198 (__TEXT,__text) non-external ___PFMaxStatesCheck
00000001f9896110 (__TEXT,__text) non-external ___PFNatPassCheck
00000001f9896e6c (__TEXT,__text) non-external ___PFNegatedCheck
00000001f9896d8c (__TEXT,__text) non-external ___PFOperatorCheck
00000001f9896eec (__TEXT,__text) non-external ___PFParseFlags
00000001f9896c98 (__TEXT,__text) non-external ___PFPortCheck
00000001f98949d4 (__TEXT,__text) non-external ___PFProtocolCheck
00000001f9896728 (__TEXT,__text) non-external ___PFRDRConsistencyCheck
00000001f9896074 (__TEXT,__text) non-external ___PFRTableCheck
00000001f9896f6c (__TEXT,__text) non-external ___PFRuleStrToNum
00000001f9895c6c (__TEXT,__text) non-external ___PFScrubOptionsCheck
00000001f9895e34 (__TEXT,__text) non-external ___PFStateCheck
00000001f9895aa4 (__TEXT,__text) non-external ___PFTagCheck
00000001f9890e24 (__TEXT,__text) non-external ___PFUserAddRule_block_invoke
00000001f9890af4 (__TEXT,__text) non-external ___PFUserBeginRules_block_invoke
00000001f98952c8 (__TEXT,__text) non-external ___PFUserCheck
000000021e805170 (__AUTH_CONST,__const) non-external ___PFUserClass
00000001f98914bc (__TEXT,__text) non-external ___PFUserClearRules_block_invoke
