00007ffa166d2f0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa166d2eed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa166c8daa (__TEXT,__text) external _glAccum
00007ffa166cf0e8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa166d17f7 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa166cbbf2 (__TEXT,__text) external _glActiveTexture
00007ffa166d04fa (__TEXT,__text) external _glActiveTextureARB
00007ffa166c8dc3 (__TEXT,__text) external _glAlphaFunc
00007ffa166c8ddc (__TEXT,__text) external _glAreTexturesResident
00007ffa166c8dfb (__TEXT,__text) external _glArrayElement
00007ffa166d104e (__TEXT,__text) external _glAttachObjectARB
00007ffa166ccfe6 (__TEXT,__text) external _glAttachShader
00007ffa166c8e14 (__TEXT,__text) external _glBegin
00007ffa166cdbcf (__TEXT,__text) external _glBeginConditionalRender
00007ffa166d2dfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa166cc7b4 (__TEXT,__text) external _glBeginQuery
00007ffa166d0d77 (__TEXT,__text) external _glBeginQueryARB
00007ffa166ceebd (__TEXT,__text) external _glBeginQueryIndexed
00007ffa166cdae1 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa166d203a (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa166cd4af (__TEXT,__text) external _glBindAttribLocation
00007ffa166d148a (__TEXT,__text) external _glBindAttribLocationARB
00007ffa166cc854 (__TEXT,__text) external _glBindBuffer
00007ffa166d0e17 (__TEXT,__text) external _glBindBufferARB
00007ffa166cdb3b (__TEXT,__text) external _glBindBufferBase
00007ffa166d2019 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa166d1ff5 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa166cdb14 (__TEXT,__text) external _glBindBufferRange
00007ffa166d1fce (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa166cdf19 (__TEXT,__text) external _glBindFragDataLocation
00007ffa166d258a (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa166ce619 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa166cd75f (__TEXT,__text) external _glBindFramebuffer
00007ffa166d1d64 (__TEXT,__text) external _glBindFramebufferEXT
00007ffa166cfba9 (__TEXT,__text) external _glBindProgramARB
00007ffa166cf128 (__TEXT,__text) external _glBindProgramPipeline
00007ffa166cd6a1 (__TEXT,__text) external _glBindRenderbuffer
00007ffa166d1ca6 (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa166ce6b6 (__TEXT,__text) external _glBindSampler
00007ffa166c8e2d (__TEXT,__text) external _glBindTexture
00007ffa166cedd8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa166cd9a6 (__TEXT,__text) external _glBindVertexArray
00007ffa166d2aae (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa166c8e48 (__TEXT,__text) external _glBitmap
00007ffa166cb5c2 (__TEXT,__text) external _glBlendColor
00007ffa166d1c36 (__TEXT,__text) external _glBlendColorEXT
00007ffa166cb5dc (__TEXT,__text) external _glBlendEquation
00007ffa166d1c50 (__TEXT,__text) external _glBlendEquationEXT
00007ffa166cd58f (__TEXT,__text) external _glBlendEquationSeparate
00007ffa166d2d80 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa166d1c6c (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa166cef58 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa166d15dc (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa166cef3a (__TEXT,__text) external _glBlendEquationi
00007ffa166d15be (__TEXT,__text) external _glBlendEquationiARB
00007ffa166c8e66 (__TEXT,__text) external _glBlendFunc
00007ffa166cc51a (__TEXT,__text) external _glBlendFuncSeparate
00007ffa166d1bc4 (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa166cef9a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa166d161e (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa166cef79 (__TEXT,__text) external _glBlendFunci
00007ffa166d15fd (__TEXT,__text) external _glBlendFunciARB
00007ffa166cd8bc (__TEXT,__text) external _glBlitFramebuffer
00007ffa166d1ec1 (__TEXT,__text) external _glBlitFramebufferEXT
00007ffa166cc8cc (__TEXT,__text) external _glBufferData
00007ffa166d0e8f (__TEXT,__text) external _glBufferDataARB
00007ffa166d2c29 (__TEXT,__text) external _glBufferParameteriAPPLE
