00007ff840059490 (__DATA,__data) external _NDR_record
00007ff8003d2bd5 (__TEXT,__text) non-external __Xexception_raise
00007ff8003d2c7d (__TEXT,__text) non-external __Xexception_raise_state
00007ff8003d2d6c (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff8003c08b0 (__TEXT,__text) external _____sigwait_nocancel
00007ff8003e8628 (__TEXT,__const) external ____kernelVersionNumber
00007ff8003e85f0 (__TEXT,__const) external ____kernelVersionString
00007ff8003c08c8 (__TEXT,__text) external ___abort_with_payload
00007ff8003c08e0 (__TEXT,__text) external ___accept
00007ff8003c08f8 (__TEXT,__text) external ___accept_nocancel
00007ff8003c0910 (__TEXT,__text) external ___access_extended
00007ff8003c0928 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8003c0940 (__TEXT,__text) external ___bind
00007ff8003c0958 (__TEXT,__text) external ___bsdthread_create
00007ff8003c0970 (__TEXT,__text) external ___bsdthread_ctl
00007ff8003c0988 (__TEXT,__text) external ___bsdthread_register
00007ff8003c09a0 (__TEXT,__text) external ___bsdthread_terminate
00007ff8003d1f1c (__TEXT,__text) external ___carbon_delete
00007ff8003c09b8 (__TEXT,__text) external ___channel_get_info
00007ff8003c09d0 (__TEXT,__text) external ___channel_get_opt
00007ff8003c09e8 (__TEXT,__text) external ___channel_open
00007ff8003c0a00 (__TEXT,__text) external ___channel_set_opt
00007ff8003c0a18 (__TEXT,__text) external ___channel_sync
00007ff8003c0a30 (__TEXT,__text) external ___chmod
00007ff8003c0a48 (__TEXT,__text) external ___chmod_extended
00007ff8003c0a60 (__TEXT,__text) external ___close_nocancel
00007ff8003c0a78 (__TEXT,__text) external ___coalition
00007ff8003c0a90 (__TEXT,__text) external ___coalition_info
00007ff8003c0aa8 (__TEXT,__text) external ___coalition_ledger
00007ff8003c60cd (__TEXT,__text) external ___commpage_gettimeofday
00007ff8003c60d4 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff8003c0ac0 (__TEXT,__text) external ___connect
00007ff8003c0ad8 (__TEXT,__text) external ___connect_nocancel
00007ff8003c0af0 (__TEXT,__text) external ___copyfile
00007ff8003c0b08 (__TEXT,__text) external ___crossarch_trap
00007ff8003c0b20 (__TEXT,__text) external ___csrctl
00007ff8003ca958 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff8003c0b38 (__TEXT,__text) external ___debug_syscall_reject
00007ff8003c0b50 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff8003c0b68 (__TEXT,__text) external ___delete
00007ff8003c0b80 (__TEXT,__text) external ___disable_threadsignal
00007ff8003c67ee (__TEXT,__text) external ___error
00007ff8003c0b98 (__TEXT,__text) external ___execve
00007ff8003c0bb0 (__TEXT,__text) external ___exit
00007ff8003c0bc8 (__TEXT,__text) external ___fchmod
00007ff8003c0be0 (__TEXT,__text) external ___fchmod_extended
00007ff8003c0bf8 (__TEXT,__text) external ___fcntl
00007ff8003c0c10 (__TEXT,__text) external ___fcntl_nocancel
00007ff8003c0c28 (__TEXT,__text) external ___fork
00007ff8003c0c60 (__TEXT,__text) external ___fs_snapshot
00007ff8003c0c78 (__TEXT,__text) external ___fstat64_extended
00007ff8003c0c90 (__TEXT,__text) external ___fstat_extended
00007ff8003c0ca8 (__TEXT,__text) external ___fsync_nocancel
00007ff8003cfbf5 (__TEXT,__text) external ___get_remove_counter
00007ff8003c0cc0 (__TEXT,__text) external ___getattrlist
00007ff8003c0cd8 (__TEXT,__text) external ___getdirentries64
00007ff8003c0cf0 (__TEXT,__text) external ___gethostuuid
00007ff8003c0d08 (__TEXT,__text) external ___getlogin
00007ff8003c0d20 (__TEXT,__text) external ___getpeername
00007ff8003c0d38 (__TEXT,__text) external ___getpid
00007ff8003c0d6c (__TEXT,__text) external ___getrlimit
00007ff8003c0d84 (__TEXT,__text) external ___getsgroups
00007ff8003c0d9c (__TEXT,__text) external ___getsockname
00007ff8003c0db4 (__TEXT,__text) external ___gettid
00007ff8003c0de1 (__TEXT,__text) external ___gettimeofday
00007ff8003c0dcc (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff8003c0e0c (__TEXT,__text) external ___getwgroups
00007ff8003c0e24 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff8003c0e3c (__TEXT,__text) external ___guarded_open_np
00007ff8003c0e54 (__TEXT,__text) external ___identitysvc
00007ff8003cfc00 (__TEXT,__text) external ___inc_remove_counter
00007ff8003c0e6c (__TEXT,__text) external ___initgroups
00007ff8003c0e84 (__TEXT,__text) external ___ioctl
00007ff8003c0e9c (__TEXT,__text) external ___iopolicysys
00007ff8003c0eb4 (__TEXT,__text) external ___kdebug_trace
00007ff8003c0ecc (__TEXT,__text) external ___kdebug_trace64
00007ff8003c0ee4 (__TEXT,__text) external ___kdebug_trace_string
00007ff8003c0efc (__TEXT,__text) external ___kdebug_typefilter
00007ff8003e8698 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff8003e8660 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff8003c0f14 (__TEXT,__text) external ___kill
00007ff8003c0f2c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff8003c0f44 (__TEXT,__text) external ___lchown
00007ff8003c34ae (__TEXT,__text) external ___libkernel_init
00007ff8003c34e1 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff8003c34e0 (__TEXT,__text) external ___libkernel_init_late
00007ff8003c333a (__TEXT,__text) external ___libkernel_platform_init
00007ff8003c3361 (__TEXT,__text) external ___libkernel_voucher_init
00007ff8003c0f5c (__TEXT,__text) external ___listen
00007ff8003c0f74 (__TEXT,__text) external ___log_data
00007ff8003c0f8c (__TEXT,__text) external ___lseek
00007ff8003c0fa4 (__TEXT,__text) external ___lstat64_extended
00007ff8003c0fbc (__TEXT,__text) external ___lstat_extended
00007ff8003c0fd4 (__TEXT,__text) external ___mac_execve
00007ff8003c0fec (__TEXT,__text) external ___mac_get_fd
00007ff8003c1004 (__TEXT,__text) external ___mac_get_file
00007ff8003c101c (__TEXT,__text) external ___mac_get_link
00007ff8003c1034 (__TEXT,__text) external ___mac_get_mount
00007ff8003c104c (__TEXT,__text) external ___mac_get_pid
00007ff8003c1064 (__TEXT,__text) external ___mac_get_proc
00007ff8003c107c (__TEXT,__text) external ___mac_getfsstat
00007ff8003c1094 (__TEXT,__text) external ___mac_mount
00007ff8003c10ac (__TEXT,__text) external ___mac_set_fd
00007ff8003c10c4 (__TEXT,__text) external ___mac_set_file
00007ff8003c10dc (__TEXT,__text) external ___mac_set_link
00007ff8003c10f4 (__TEXT,__text) external ___mac_set_proc
00007ff8003c110c (__TEXT,__text) external ___mac_syscall
00007ff8003c1124 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff8003c113c (__TEXT,__text) external ___mach_eventlink_signal
00007ff8003c1154 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff8003c116c (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff8003c1184 (__TEXT,__text) external ___map_with_linking_np
00007ff8003c119c (__TEXT,__text) external ___memorystatus_available_memory
00007ff8003c11b4 (__TEXT,__text) external ___microstackshot
00007ff8003c11cc (__TEXT,__text) external ___mkdir_extended
00007ff8003c11e4 (__TEXT,__text) external ___mkfifo_extended
00007ff8003c11fc (__TEXT,__text) external ___mmap
00007ff8003c1214 (__TEXT,__text) external ___mprotect
00007ff8003c122c (__TEXT,__text) external ___msgctl
00007ff8003c1244 (__TEXT,__text) external ___msgrcv_nocancel
00007ff8003c125c (__TEXT,__text) external ___msgsnd_nocancel
00007ff8003c1274 (__TEXT,__text) external ___msgsys
00007ff8003c128c (__TEXT,__text) external ___msync
00007ff8003c12a4 (__TEXT,__text) external ___msync_nocancel
00007ff8003c12bc (__TEXT,__text) external ___munmap
00007ff8003c12d4 (__TEXT,__text) external ___nexus_create
00007ff8003c12ec (__TEXT,__text) external ___nexus_deregister
00007ff8003c1304 (__TEXT,__text) external ___nexus_destroy
00007ff8003c131c (__TEXT,__text) external ___nexus_get_opt
00007ff8003c1334 (__TEXT,__text) external ___nexus_open
00007ff8003c134c (__TEXT,__text) external ___nexus_register
00007ff8003c1364 (__TEXT,__text) external ___nexus_set_opt
00007ff8003c137c (__TEXT,__text) external ___open
00007ff8003c1394 (__TEXT,__text) external ___open_dprotected_np
00007ff8003c13ac (__TEXT,__text) external ___open_extended
00007ff8003c13c4 (__TEXT,__text) external ___open_nocancel
00007ff8003c13dc (__TEXT,__text) external ___openat
00007ff8003c13f4 (__TEXT,__text) external ___openat_dprotected_np
00007ff8003c140c (__TEXT,__text) external ___openat_nocancel
00007ff840059bc0 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff8003cf33a (__TEXT,__text) external ___os_nexus_flow_add
00007ff8003cf3ac (__TEXT,__text) external ___os_nexus_flow_del
00007ff8003cf41e (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff8003cf16a (__TEXT,__text) external ___os_nexus_ifattach
00007ff8003cf276 (__TEXT,__text) external ___os_nexus_ifdetach
00007ff8003c1424 (__TEXT,__text) external ___persona
00007ff8003c143c (__TEXT,__text) external ___pipe
00007ff8003c1458 (__TEXT,__text) external ___poll_nocancel
00007ff8003c1470 (__TEXT,__text) external ___posix_spawn
00007ff8003c1488 (__TEXT,__text) external ___pread_nocancel
00007ff8003c14a0 (__TEXT,__text) external ___preadv_nocancel
00007ff8003c14b8 (__TEXT,__text) external ___proc_info
00007ff8003c14d0 (__TEXT,__text) external ___proc_info_extended_id
00007ff8003c14e8 (__TEXT,__text) external ___process_policy
00007ff8003c1500 (__TEXT,__text) external ___pselect
00007ff8003c1518 (__TEXT,__text) external ___pselect_nocancel
00007ff8003c1530 (__TEXT,__text) external ___psynch_cvbroad
00007ff8003c1548 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff8003c1560 (__TEXT,__text) external ___psynch_cvsignal
00007ff8003c1578 (__TEXT,__text) external ___psynch_cvwait
00007ff8003c1590 (__TEXT,__text) external ___psynch_mutexdrop
00007ff8003c15a8 (__TEXT,__text) external ___psynch_mutexwait
00007ff8003c15c0 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff8003c15d8 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff8003c15f0 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff8003c1608 (__TEXT,__text) external ___psynch_rw_unlock
00007ff8003c1620 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff8003c1638 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff8003c1650 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff8003c1668 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff8003c1680 (__TEXT,__text) external ___pthread_canceled
00007ff8003c1698 (__TEXT,__text) external ___pthread_chdir
00007ff8003c16b0 (__TEXT,__text) external ___pthread_fchdir
00007ff8003c16c8 (__TEXT,__text) external ___pthread_kill
00007ff8003c16e0 (__TEXT,__text) external ___pthread_markcancel
00007ff8003c16f8 (__TEXT,__text) external ___pthread_sigmask
00007ff8003c1710 (__TEXT,__text) external ___ptrace
00007ff8003c1734 (__TEXT,__text) external ___pwrite_nocancel
00007ff8003c174c (__TEXT,__text) external ___pwritev_nocancel
00007ff8003c1764 (__TEXT,__text) external ___read_nocancel
00007ff8003c177c (__TEXT,__text) external ___readv_nocancel
00007ff8003c1794 (__TEXT,__text) external ___reboot
00007ff8003c17ac (__TEXT,__text) external ___record_system_event
00007ff8003c17c4 (__TEXT,__text) external ___recvfrom
00007ff8003c17dc (__TEXT,__text) external ___recvfrom_nocancel
00007ff8003c17f4 (__TEXT,__text) external ___recvmsg
