00007ff80a740c5c (__TEXT,__text) non-external _CCGCMSymmInit
00007ff80a74155b (__TEXT,__text) non-external _CCSymmAEADDecrypt
00007ff80a741222 (__TEXT,__text) non-external _CCSymmAEADEncrypt
00007ff80a7410df (__TEXT,__text) non-external _CCSymmAEADGetIV
00007ff80a741128 (__TEXT,__text) non-external _CCSymmAEADSetIV
00007ff80a7411cf (__TEXT,__text) non-external _CCSymmAddADD
00007ff80a74a593 (__TEXT,__text) non-external _CCSymmEncryptDecrypt
00007ff80a74a420 (__TEXT,__text) non-external _CCSymmFinish
00007ff80a74a7af (__TEXT,__text) non-external _CCSymmFinish
00007ff80a74a465 (__TEXT,__text) non-external _CCSymmInit
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringAppendFormat (from CoreFoundation)
                 (undefined) external _CFStringCreateMutable (from CoreFoundation)
00007ff80a74ac78 (__TEXT,__const) external _CipherSuiteCount
00007ff80a740f99 (__TEXT,__text) non-external (was a private external) _CloneHashState
00007ff80a73be01 (__TEXT,__text) non-external (was a private external) _CloseHash
00007ff80a745da7 (__TEXT,__text) non-external _CoreAnalyticsLibrary
00007ff8422a3cd0 (__DATA,__bss) non-external _CoreAnalyticsLibraryCore.frameworkLibrary
00007ff80a74ac84 (__TEXT,__const) external _CurvesCount
00007ff80a74738d (__TEXT,__text) non-external (was a private external) _DTLSRetransmit
00007ff80a7403d7 (__TEXT,__text) non-external _HMAC_Alloc
00007ff80a740721 (__TEXT,__text) non-external _HMAC_Final
00007ff80a740882 (__TEXT,__text) non-external _HMAC_Free
00007ff80a74068d (__TEXT,__text) non-external _HMAC_Hmac
00007ff80a740816 (__TEXT,__text) non-external _HMAC_Init
00007ff80a74084f (__TEXT,__text) non-external _HMAC_Update
00007ff80a74a665 (__TEXT,__text) non-external _HashMD5Clone
00007ff80a74261f (__TEXT,__text) non-external _HashMD5Close
00007ff80a74a62c (__TEXT,__text) non-external _HashMD5Final
00007ff80a73be86 (__TEXT,__text) non-external _HashMD5Init
00007ff80a73bff4 (__TEXT,__text) non-external _HashMD5Update
00007ff80a74a6d4 (__TEXT,__text) non-external _HashSHA1Clone
00007ff80a742612 (__TEXT,__text) non-external _HashSHA1Close
00007ff80a74a69b (__TEXT,__text) non-external _HashSHA1Final
00007ff80a73be63 (__TEXT,__text) non-external _HashSHA1Init
00007ff80a73c020 (__TEXT,__text) non-external _HashSHA1Update
00007ff80a740652 (__TEXT,__text) non-external _HashSHA256Clone
00007ff80a740710 (__TEXT,__text) non-external _HashSHA256Close
00007ff80a73f548 (__TEXT,__text) non-external _HashSHA256Final
00007ff80a73bea9 (__TEXT,__text) non-external _HashSHA256Init
00007ff80a73c04c (__TEXT,__text) non-external _HashSHA256Update
00007ff80a74a743 (__TEXT,__text) non-external _HashSHA384Clone
00007ff80a74262c (__TEXT,__text) non-external _HashSHA384Close
00007ff80a74a70a (__TEXT,__text) non-external _HashSHA384Final
00007ff80a73becc (__TEXT,__text) non-external _HashSHA384Init
00007ff80a73c078 (__TEXT,__text) non-external _HashSHA384Update
00007ff80a74a779 (__TEXT,__text) non-external _HashSHA512Clone
00007ff80a742639 (__TEXT,__text) non-external _HashSHA512Close
00007ff80a73f50f (__TEXT,__text) non-external _HashSHA512Final
00007ff80a73beef (__TEXT,__text) non-external _HashSHA512Init
00007ff80a73c0a4 (__TEXT,__text) non-external _HashSHA512Update
00007ff80a73c97f (__TEXT,__text) non-external (was a private external) _IncrementUInt64
00007ff80a737f53 (__TEXT,__text) non-external (was a private external) _InitCipherSpecParams
00007ff80a74ac40 (__TEXT,__const) external _KnownCipherSuites
00007ff80a74ac7c (__TEXT,__const) external _KnownCurves
00007ff80a74ac90 (__TEXT,__const) external _KnownSigAlgs
00007ff80a73c964 (__TEXT,__text) non-external _NullCrypt
00007ff80a741553 (__TEXT,__text) non-external _NullFinish
00007ff80a74a418 (__TEXT,__text) non-external _NullInit
00007ff80a73be35 (__TEXT,__text) non-external (was a private external) _ReadyHash
00007ff80a741c5b (__TEXT,__text) non-external (was a private external) _SSLAddSessionData
00007ff80a739834 (__TEXT,__text) non-external (was a private external) _SSLAdvanceHandshake
00007ff80a73bae6 (__TEXT,__text) non-external (was a private external) _SSLAllocBuffer
00007ff8422a38b8 (__DATA,__const) non-external (was a private external) _SSLCipher3DES_CBC
00007ff80a74acd4 (__TEXT,__const) non-external (was a private external) _SSLCipher3DES_CBCParams
00007ff8422a3908 (__DATA,__const) non-external (was a private external) _SSLCipherAES_128_CBC
00007ff80a74ace0 (__TEXT,__const) non-external (was a private external) _SSLCipherAES_128_CBCParams
00007ff8422a3be0 (__DATA,__const) non-external (was a private external) _SSLCipherAES_128_GCM
00007ff80a74acf8 (__TEXT,__const) non-external (was a private external) _SSLCipherAES_128_GCMParams
00007ff8422a3958 (__DATA,__const) non-external (was a private external) _SSLCipherAES_256_CBC
00007ff80a74acec (__TEXT,__const) non-external (was a private external) _SSLCipherAES_256_CBCParams
00007ff8422a3c30 (__DATA,__const) non-external (was a private external) _SSLCipherAES_256_GCM
00007ff80a74ad04 (__TEXT,__const) non-external (was a private external) _SSLCipherAES_256_GCMParams
00007ff8422a3868 (__DATA,__const) non-external (was a private external) _SSLCipherNull
00007ff80a74ad10 (__TEXT,__const) non-external (was a private external) _SSLCipherNullParams
00007ff80a74217a (__TEXT,__text) non-external (was a private external) _SSLClientValidateSessionDataAfter
00007ff80a74203d (__TEXT,__text) non-external (was a private external) _SSLClientValidateSessionDataBefore
00007ff80a749a33 (__TEXT,__text) non-external (was a private external) _SSLComputeMac
00007ff80a7397c4 (__TEXT,__text) non-external (was a private external) _SSLCopyBuffer
00007ff80a74369e (__TEXT,__text) non-external (was a private external) _SSLCopyBufferFromData
00007ff80a7395d2 (__TEXT,__text) non-external (was a private external) _SSLCopyBufferTerm
00007ff80a73e7d9 (__TEXT,__text) non-external (was a private external) _SSLDecodeBufferList
00007ff80a7470f3 (__TEXT,__text) non-external _SSLDecodeDHKeyParams
00007ff80a73f426 (__TEXT,__text) non-external _SSLDecodeECDHKeyParams
00007ff80a73ca4a (__TEXT,__text) non-external (was a private external) _SSLDecodeInt
00007ff80a73d8df (__TEXT,__text) non-external (was a private external) _SSLDecodeSize
00007ff80a74a3bd (__TEXT,__text) non-external (was a private external) _SSLDecodeUInt64
