00000001f880a648 (__TEXT,__text) non-external +[MGDaemon daemon]
00000001f880e61c (__TEXT,__text) non-external -[MGDaemon .cxx_destruct]
00000001f880d74c (__TEXT,__text) non-external -[MGDaemon HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:]
00000001f880af04 (__TEXT,__text) non-external -[MGDaemon _ingestHomeKitHome:]
00000001f880bfd8 (__TEXT,__text) non-external -[MGDaemon addHomeKitAccessory:fromHome:]
00000001f880b6bc (__TEXT,__text) non-external -[MGDaemon addHomeKitHome:]
00000001f880bef8 (__TEXT,__text) non-external -[MGDaemon addHomeKitMediaSystem:]
00000001f880bce8 (__TEXT,__text) non-external -[MGDaemon addHomeKitMediaSystem:fromHome:]
00000001f880bad8 (__TEXT,__text) non-external -[MGDaemon addHomeKitRoom:fromHome:]
00000001f880b8c8 (__TEXT,__text) non-external -[MGDaemon addHomeKitZone:fromHome:]
00000001f880ddf4 (__TEXT,__text) non-external -[MGDaemon addMember:group:completion:]
00000001f880e5f4 (__TEXT,__text) non-external -[MGDaemon clients]
00000001f880ca40 (__TEXT,__text) non-external -[MGDaemon createGroupWithType:name:members:completion:]
00000001f880d274 (__TEXT,__text) non-external -[MGDaemon deleteGroup:completion:]
00000001f880e5ec (__TEXT,__text) non-external -[MGDaemon dispatchQueue]
00000001f880e5fc (__TEXT,__text) non-external -[MGDaemon groupsMediator]
00000001f880a670 (__TEXT,__text) non-external -[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]
00000001f8809ba0 (__TEXT,__text) non-external -[MGDaemon initWithServiceListenerProvider:]
00000001f880a5e8 (__TEXT,__text) non-external -[MGDaemon init]
00000001f880c570 (__TEXT,__text) non-external -[MGDaemon listener:shouldAcceptNewConnection:]
00000001f880e5dc (__TEXT,__text) non-external -[MGDaemon listenerProvider]
00000001f880e5e4 (__TEXT,__text) non-external -[MGDaemon listener]
00000001f880e614 (__TEXT,__text) non-external -[MGDaemon queryAgent]
00000001f880c3d4 (__TEXT,__text) non-external -[MGDaemon removeHomeKitAccessory:fromHome:]
00000001f880b758 (__TEXT,__text) non-external -[MGDaemon removeHomeKitHome:]
00000001f880bf68 (__TEXT,__text) non-external -[MGDaemon removeHomeKitMediaSystem:]
00000001f880bd84 (__TEXT,__text) non-external -[MGDaemon removeHomeKitMediaSystem:fromHome:]
00000001f880bb74 (__TEXT,__text) non-external -[MGDaemon removeHomeKitRoom:fromHome:]
00000001f880b964 (__TEXT,__text) non-external -[MGDaemon removeHomeKitZone:fromHome:]
00000001f880df10 (__TEXT,__text) non-external -[MGDaemon removeMember:group:completion:]
00000001f880dcd8 (__TEXT,__text) non-external -[MGDaemon setName:group:completion:]
00000001f880e60c (__TEXT,__text) non-external -[MGDaemon setTopologyRequestHandler:]
00000001f880e02c (__TEXT,__text) non-external -[MGDaemon startQueryWithPredicate:completion:]
00000001f880e41c (__TEXT,__text) non-external -[MGDaemon stopQuery:completion:]
00000001f880e604 (__TEXT,__text) non-external -[MGDaemon topologyRequestHandler]
00000001f8804d90 (__TEXT,__text) non-external -[MGGroupsActivity .cxx_destruct]
00000001f8804b58 (__TEXT,__text) non-external -[MGGroupsActivity dealloc]
00000001f8804cb4 (__TEXT,__text) non-external -[MGGroupsActivity description]
00000001f8804a24 (__TEXT,__text) non-external -[MGGroupsActivity initWithName:]
00000001f8804d80 (__TEXT,__text) non-external -[MGGroupsActivity name]
00000001f8804d88 (__TEXT,__text) non-external -[MGGroupsActivity when]
00000001f88049d8 (__TEXT,__text) non-external -[MGGroupsMediator .cxx_destruct]
00000001f8802d14 (__TEXT,__text) non-external -[MGGroupsMediator _withLock:]
00000001f88049b8 (__TEXT,__text) non-external -[MGGroupsMediator activities]
00000001f8803768 (__TEXT,__text) non-external -[MGGroupsMediator addGroup:]
00000001f88030b8 (__TEXT,__text) non-external -[MGGroupsMediator currentGroups]
00000001f8802d74 (__TEXT,__text) non-external -[MGGroupsMediator description]
00000001f88034c0 (__TEXT,__text) non-external -[MGGroupsMediator endActivity:]
00000001f8803f9c (__TEXT,__text) non-external -[MGGroupsMediator group:addMember:]
00000001f88043d0 (__TEXT,__text) non-external -[MGGroupsMediator group:removeMember:]
00000001f8803b08 (__TEXT,__text) non-external -[MGGroupsMediator group:renameTo:]
00000001f8802c7c (__TEXT,__text) non-external -[MGGroupsMediator groupsForUpdate_unsafe]
00000001f8802a94 (__TEXT,__text) non-external -[MGGroupsMediator groups_unsafe]
00000001f88049c8 (__TEXT,__text) non-external -[MGGroupsMediator hasPendingChanges]
00000001f88029e8 (__TEXT,__text) non-external -[MGGroupsMediator initWithGroupsQueryAgent:]
00000001f880498c (__TEXT,__text) non-external -[MGGroupsMediator queryAgent]
00000001f8803938 (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:]
00000001f8802b8c (__TEXT,__text) non-external -[MGGroupsMediator removeGroup:ifExists_unsafe:]
00000001f8804800 (__TEXT,__text) non-external -[MGGroupsMediator removeGroupWithIdentifier:]
00000001f88049c0 (__TEXT,__text) non-external -[MGGroupsMediator setActivities:]
00000001f88049d0 (__TEXT,__text) non-external -[MGGroupsMediator setPendingChanges:]
00000001f88032e4 (__TEXT,__text) non-external -[MGGroupsMediator startActivityWithName:]
00000001f8802ad0 (__TEXT,__text) non-external -[MGGroupsMediator upsertGroup_unsafe:]
00000001f8807f0c (__TEXT,__text) non-external -[MGGroupsQueryAgent .cxx_destruct]
00000001f88056a0 (__TEXT,__text) non-external -[MGGroupsQueryAgent _performQueryExchangeUsingGroups:currentIdentifier:]
00000001f88058d4 (__TEXT,__text) non-external -[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]
