00007ffb0054a2f2 (__TEXT,__text) non-external _DiToMD5
00007ffb0054a572 (__TEXT,__text) non-external _DiToSHA1
00007ffb0053377e (__TEXT,__text) external _DriverExecutableMain
00007ffb40022a40 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb40022d00 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb40022c08 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb40022df8 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb40022f58 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb005301b8 (__TEXT,__text) external _IODelay
00007ffb40023108 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb400232b8 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb00533c6b (__TEXT,__text) external _IODriverKitTest
00007ffb0055b2c8 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb0055b2f3 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb0055b316 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb0055b341 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb0055b364 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb0055b387 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb0055b3aa (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb0055b3cd (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb40023468 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb400235c8 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb00530167 (__TEXT,__text) external _IOFree
00007ffb0053019e (__TEXT,__text) external _IOFreeData
00007ffb00533c50 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb40023e48 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb40023758 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb005301cb (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb00532e32 (__TEXT,__text) external _IOLockAlloc
00007ffb00532e81 (__TEXT,__text) external _IOLockAssert
00007ffb0055ad3f (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffb00532e4d (__TEXT,__text) external _IOLockFree
00007ffb00532e63 (__TEXT,__text) external _IOLockLock
00007ffb00532e6d (__TEXT,__text) external _IOLockTryLock
00007ffb00532e77 (__TEXT,__text) external _IOLockUnlock
00007ffb0052ff66 (__TEXT,__text) external _IOLog
00007ffb0052fe26 (__TEXT,__text) external _IOLogBuffer
00007ffb00530004 (__TEXT,__text) external _IOLogv
00007ffb0053010d (__TEXT,__text) external _IOMalloc
00007ffb00530171 (__TEXT,__text) external _IOMallocData
00007ffb00530128 (__TEXT,__text) external _IOMallocTyped
00007ffb00530143 (__TEXT,__text) external _IOMallocZero
00007ffb0053018c (__TEXT,__text) external _IOMallocZeroData
00007ffb00530155 (__TEXT,__text) external _IOMallocZeroTyped
00007ffb40023908 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffb40023ab8 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffb0053024b (__TEXT,__text) external _IOParseBootArgNumber
00007ffb005306b5 (__TEXT,__text) external _IOParseBootArgString
00007ffb0053204d (__TEXT,__text) external _IORPCMessageFromMach
00007ffb0055aada (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffb0055ab0f (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
