                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff8121bc942 (__TEXT,__text) non-external _alone_decode
00007ff8121bcbfc (__TEXT,__text) non-external _alone_decoder_end
00007ff8121bcc1d (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff8121bb4e0 (__TEXT,__text) non-external _alone_encode
00007ff8121bb5a4 (__TEXT,__text) non-external _alone_encoder_end
00007ff8121bb365 (__TEXT,__text) non-external _alone_encoder_init
00007ff8121c6d94 (__TEXT,__text) non-external _arm64_code
00007ff8121c9ddc (__TEXT,__text) non-external _arm_code
00007ff8121c9eaf (__TEXT,__text) non-external _armthumb_code
00007ff8121bcde3 (__TEXT,__text) non-external _auto_decode
00007ff8121bcf20 (__TEXT,__text) non-external _auto_decoder_end
00007ff8121bcf41 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff8121bcd07 (__TEXT,__text) non-external _auto_decoder_init
00007ff8121bcf58 (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff8121cf990 (__TEXT,__const) non-external _bcj_optmap
00007ff8121bb661 (__TEXT,__text) non-external _block_buffer_encode
00007ff8121bd27e (__TEXT,__text) non-external _block_decode
00007ff8121bd513 (__TEXT,__text) non-external _block_decoder_end
00007ff8121b5a4d (__TEXT,__text) non-external _block_encode
00007ff8121bb921 (__TEXT,__text) non-external _block_encode_normal
00007ff8121bba83 (__TEXT,__text) non-external _block_encode_uncompressed
00007ff8121ba486 (__TEXT,__text) non-external _block_encoder_end
00007ff8121b3c5e (__TEXT,__text) non-external _block_encoder_init
00007ff8121bbc04 (__TEXT,__text) non-external _block_encoder_update
00007ff8121b930f (__TEXT,__text) non-external _bt_find_func
00007ff8121b6cec (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _clock_gettime (from libSystem)
00007ff8121c9746 (__TEXT,__text) non-external _copy_or_code
00007ff8121c1e02 (__TEXT,__text) non-external _decode_buffer
00007ff8121bd941 (__TEXT,__text) non-external _decoder_find
00007ff84154f840 (__DATA_CONST,__const) non-external _decoders
00007ff8121c8fdf (__TEXT,__text) non-external _delta_coder_end
00007ff8121c91be (__TEXT,__text) non-external _delta_decode
00007ff8121c9050 (__TEXT,__text) non-external _delta_encode
00007ff8121c916d (__TEXT,__text) non-external _delta_encoder_update
00007ff8121cf9b0 (__TEXT,__const) non-external _delta_optmap
00007ff8121b41ce (__TEXT,__text) non-external _encoder_find
00007ff84154f5d0 (__DATA_CONST,__const) non-external _encoders
00007ff8121cb770 (__TEXT,__const) non-external _features
00007ff8121c29ad (__TEXT,__text) non-external _file_info_decode
00007ff8121c3070 (__TEXT,__text) non-external _file_info_decoder_end
00007ff8121c30b0 (__TEXT,__text) non-external _file_info_decoder_memconfig
00007ff84154f9a0 (__DATA_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00007ff8121b9480 (__TEXT,__text) non-external _get_literal_price
00007ff8121ca3d3 (__TEXT,__text) non-external _get_options
00007ff8121cad7a (__TEXT,__text) non-external _get_progress
00007ff8121c89a9 (__TEXT,__text) non-external _get_thread
00007ff8121be1f9 (__TEXT,__text) non-external _hash_append
00007ff8121bff6a (__TEXT,__text) non-external _hc_find_func
00007ff8121c9bad (__TEXT,__text) non-external _ia64_code
00007ff8121d1b50 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff8121baee8 (__TEXT,__text) non-external _index_cat_helper
00007ff8121bdbd9 (__TEXT,__text) non-external _index_decode
00007ff8121bdec4 (__TEXT,__text) non-external _index_decoder_end
00007ff8121bdee9 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff8121b9c99 (__TEXT,__text) non-external _index_encode
00007ff8121ba534 (__TEXT,__text) non-external _index_encoder_end
00007ff8121ba58e (__TEXT,__text) non-external _index_stream_end
00007ff8121b390f (__TEXT,__text) non-external _index_tree_append
00007ff8121ba53e (__TEXT,__text) non-external _index_tree_node_end
00007ff8121b4951 (__TEXT,__text) non-external _is_options_valid
00007ff8121ba0db (__TEXT,__text) non-external _iter_set_info
00007ff8121b4998 (__TEXT,__text) non-external _length_encoder_reset
00007ff8121b4a6a (__TEXT,__text) non-external _length_update_prices
00007ff8121c1c0e (__TEXT,__text) non-external _lz_decode
00007ff8121c1dac (__TEXT,__text) non-external _lz_decoder_end
00007ff8121b5c4f (__TEXT,__text) non-external _lz_encode
00007ff8121ba4a7 (__TEXT,__text) non-external _lz_encoder_end
00007ff8121b4c3a (__TEXT,__text) non-external _lz_encoder_prepare
00007ff8121bfdc4 (__TEXT,__text) non-external _lz_encoder_set_out_limit
00007ff8121bfd69 (__TEXT,__text) non-external _lz_encoder_update
00007ff8121bf80a (__TEXT,__text) non-external _lzip_decode
00007ff8121bfc40 (__TEXT,__text) non-external _lzip_decoder_end
00007ff8121bfc68 (__TEXT,__text) non-external _lzip_decoder_get_check
00007ff8121bfc73 (__TEXT,__text) non-external _lzip_decoder_memconfig
00007ff8121cf930 (__TEXT,__const) non-external _lzma12_mf_map
00007ff8121cf900 (__TEXT,__const) non-external _lzma12_mode_map
00007ff84154fb80 (__DATA_CONST,__const) non-external _lzma12_optmap
00007ff8121c6fb8 (__TEXT,__text) non-external _lzma2_decode
00007ff8121c72c4 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff8121c6e91 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff8121b5e5c (__TEXT,__text) non-external _lzma2_encode
00007ff8121ba50c (__TEXT,__text) non-external _lzma2_encoder_end
00007ff8121b44b1 (__TEXT,__text) non-external _lzma2_encoder_init
00007ff8121c6cd9 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff8121cb758 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff8121cb730 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff8121b37f0 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff8121ba6aa (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
00007ff8121bcc49 (__TEXT,__text) external _lzma_alone_decoder
00007ff8121bc858 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff8121bb30b (__TEXT,__text) external _lzma_alone_encoder
00007ff8121bcca8 (__TEXT,__text) external _lzma_auto_decoder
00007ff8121bb609 (__TEXT,__text) external _lzma_block_buffer_bound
00007ff8121bb5c5 (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
00007ff8121bcfac (__TEXT,__text) external _lzma_block_buffer_decode
00007ff8121bb64d (__TEXT,__text) external _lzma_block_buffer_encode
00007ff8121ba850 (__TEXT,__text) external _lzma_block_compressed_size
00007ff8121bd538 (__TEXT,__text) external _lzma_block_decoder
00007ff8121bd0f1 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff8121bbc1e (__TEXT,__text) external _lzma_block_encoder
00007ff8121b3e57 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff8121bd592 (__TEXT,__text) external _lzma_block_header_decode
00007ff8121b567d (__TEXT,__text) external _lzma_block_header_encode
00007ff8121b3cae (__TEXT,__text) external _lzma_block_header_size
00007ff8121ba8ad (__TEXT,__text) external _lzma_block_total_size
00007ff8121bb8fe (__TEXT,__text) external _lzma_block_uncomp_encode
00007ff8121b579f (__TEXT,__text) external _lzma_block_unpadded_size
00007ff8121b561c (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff8121bf5cf (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff8121b3fc2 (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff8121b3fa4 (__TEXT,__text) external _lzma_check_is_supported
00007ff8121cb8d0 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff8121b9906 (__TEXT,__text) external _lzma_check_size
00007ff8121cb8e0 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff8121b6b50 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff8121b506c (__TEXT,__text) external _lzma_code
00007ff8121bc27a (__TEXT,__text) external _lzma_cputhreads
00007ff8121b39f4 (__TEXT,__text) external _lzma_crc32
00007ff8121cb8f0 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff8121bf5fc (__TEXT,__text) external _lzma_crc64
00007ff8121cd8f0 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff8121c329e (__TEXT,__text) non-external _lzma_decode
00007ff8121d1a40 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff8121c6a92 (__TEXT,__text) non-external _lzma_decoder_init
00007ff8121c67d8 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff8121c6a6e (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff8121c8eae (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff8121c9000 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff8121c91a9 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff8121c9030 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff8121c9233 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff8121c917b (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff8121bbc7a (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff8121bd768 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff8121b3528 (__TEXT,__text) external _lzma_easy_encoder
00007ff8121bbced (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff8121b356f (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff8121cb65a (__TEXT,__text) non-external _lzma_encode
00007ff8121c1f26 (__TEXT,__text) non-external _lzma_encoder_init
00007ff8121ba3dc (__TEXT,__text) external _lzma_end
00007ff8121cfa40 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff8121c27c4 (__TEXT,__text) external _lzma_file_info_decoder
00007ff8121c2836 (__TEXT,__text) non-external _lzma_file_info_decoder_init
00007ff8121bd912 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff8121bc07b (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff8121bda51 (__TEXT,__text) external _lzma_filter_flags_decode
00007ff8121b5825 (__TEXT,__text) external _lzma_filter_flags_encode
00007ff8121b3d98 (__TEXT,__text) external _lzma_filter_flags_size
00007ff8121b4e8c (__TEXT,__text) external _lzma_filters_copy
00007ff8121ba8c8 (__TEXT,__text) external _lzma_filters_free
00007ff8121bc0aa (__TEXT,__text) external _lzma_filters_update
00007ff8121cb896 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff8121b4e64 (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff8121ba764 (__TEXT,__text) external _lzma_get_check
00007ff8121ba73d (__TEXT,__text) external _lzma_get_progress
00007ff8121cb890 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff8121b9923 (__TEXT,__text) external _lzma_index_append
00007ff8121b9f1c (__TEXT,__text) external _lzma_index_block_count
00007ff8121bdf98 (__TEXT,__text) external _lzma_index_buffer_decode
00007ff8121bc2e0 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff8121bace5 (__TEXT,__text) external _lzma_index_cat
00007ff8121bac07 (__TEXT,__text) external _lzma_index_checks
00007ff8121bdf39 (__TEXT,__text) external _lzma_index_decoder
00007ff8121bdae4 (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
00007ff8121baf4d (__TEXT,__text) external _lzma_index_dup
00007ff8121bc286 (__TEXT,__text) external _lzma_index_encoder
00007ff8121b9bd0 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff8121b3826 (__TEXT,__text) external _lzma_index_end
00007ff8121bab85 (__TEXT,__text) external _lzma_index_file_size
00007ff8121be15e (__TEXT,__text) external _lzma_index_hash_append
00007ff8121be2b8 (__TEXT,__text) external _lzma_index_hash_decode
00007ff8121be12a (__TEXT,__text) external _lzma_index_hash_end
00007ff8121be0b0 (__TEXT,__text) external _lzma_index_hash_init
00007ff8121be134 (__TEXT,__text) external _lzma_index_hash_size
00007ff8121b385f (__TEXT,__text) external _lzma_index_init
00007ff8121b9c79 (__TEXT,__text) external _lzma_index_iter_init
00007ff8121bb1c2 (__TEXT,__text) external _lzma_index_iter_locate
00007ff8121b9f26 (__TEXT,__text) external _lzma_index_iter_next
00007ff8121bb1ab (__TEXT,__text) external _lzma_index_iter_rewind
00007ff8121baa79 (__TEXT,__text) external _lzma_index_memusage
00007ff8121baadd (__TEXT,__text) external _lzma_index_memused
00007ff8121ba302 (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff8121baa5e (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff8121ba32c (__TEXT,__text) external _lzma_index_size
00007ff8121bab3e (__TEXT,__text) external _lzma_index_stream_count
00007ff8121bac20 (__TEXT,__text) external _lzma_index_stream_flags
00007ff8121bac7e (__TEXT,__text) external _lzma_index_stream_padding
00007ff8121bab51 (__TEXT,__text) external _lzma_index_stream_size
00007ff8121bab47 (__TEXT,__text) external _lzma_index_total_size
00007ff8121babfd (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff8121c1a5c (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff8121c1df5 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff8121b426d (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff8121bfcfe (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff8121bfc9f (__TEXT,__text) external _lzma_lzip_decoder
00007ff8121bf6e8 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
00007ff8121c6cbd (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
00007ff8121c6e80 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff8121c6f3c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff8121b425c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff8121c6ca1 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff8121c6f4d (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff8121b59b7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff8121c3228 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff8121c6a81 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff8121c6baa (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff8121c6b97 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff8121b6214 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff8121b45dc (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff8121c1f15 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff8121c1f46 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff8121b474c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff8121c6b4c (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff8121b98c1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff8121c2433 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff8121b7064 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff8121b35a6 (__TEXT,__text) external _lzma_lzma_preset
00007ff8121cfa1a (__TEXT,__const) non-external _lzma_lzma_preset.depths
00007ff8121cfa10 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
00007ff8121c6bec (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff8121c1fca (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff8121c202f (__TEXT,__text) non-external _lzma_lzma_set_out_limit
00007ff8121ba7c6 (__TEXT,__text) external _lzma_memlimit_get
00007ff8121ba80d (__TEXT,__text) external _lzma_memlimit_set
00007ff8121ba77f (__TEXT,__text) external _lzma_memusage
00007ff8121c039b (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff8121c042f (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff8121c04b1 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff8121c0629 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff8121b90f6 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff8121b6c0c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff8121b9059 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff8121bfe06 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff8121c0055 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff8121c00e8 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff8121c02e9 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff8121bfde8 (__TEXT,__text) external _lzma_mf_is_supported
00007ff8121be7dd (__TEXT,__text) external _lzma_microlzma_decoder
00007ff8121bbd26 (__TEXT,__text) external _lzma_microlzma_encoder
00007ff8121c201f (__TEXT,__text) external _lzma_mode_is_supported
00007ff8121bc1e3 (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
00007ff8121b377f (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff8121b41fd (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff8121ba70c (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff8121c2088 (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
00007ff8121c20cf (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
00007ff8121c23ff (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
00007ff8121c223a (__TEXT,__text) non-external (was a private external) _lzma_outq_end
00007ff8121c22ec (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
00007ff8121c215a (__TEXT,__text) non-external (was a private external) _lzma_outq_init
00007ff8121c2346 (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
00007ff8121c2057 (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
00007ff8121c226d (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
00007ff8121c2366 (__TEXT,__text) non-external (was a private external) _lzma_outq_read
00007ff8121baa54 (__TEXT,__text) external _lzma_physmem
00007ff8121bd9fc (__TEXT,__text) external _lzma_properties_decode
00007ff8121b5976 (__TEXT,__text) external _lzma_properties_encode
00007ff8121b3deb (__TEXT,__text) external _lzma_properties_size
00007ff8121bd7a1 (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff8121bbf7a (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff8121b4009 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff8121ba9cc (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff8121bd981 (__TEXT,__text) external _lzma_raw_decoder
00007ff8121bd96d (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff8121bd9e8 (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff8121bc17a (__TEXT,__text) external _lzma_raw_encoder
00007ff8121b3ff2 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff8121bc166 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff8121d1a80 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff8121c6d71 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
00007ff8121c6d4e (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
00007ff8121c9db9 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff8121c9d96 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff8121c9e8c (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff8121c9e69 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff8121c927a (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff8121c9b8a (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff8121c9b67 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff8121c9a87 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff8121c9a64 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff8121c97ff (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff8121c97ea (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff8121c97d0 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff8121cb551 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff8121cb52e (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff8121c98ba (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
