00007ff80ce2d6f0 (__TEXT,__const) non-external _A1_Table
00007ff80c604de0 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff80c604ce0 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff80c2e02e0 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff80c2e9720 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff840d21710 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff840d21790 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff80c606680 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff80c606620 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff80c6066e0 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff80c5f0040 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff80c5f0020 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff80c5f0000 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff80c5effe0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff80c5f0090 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff80c5f0060 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff80c2cecb0 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff80ce2d790 (__TEXT,__const) non-external _Ainv
00007ff80c5f7880 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff80ce306c4 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff80ce306bc (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff840d24a80 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff80c2d17d0 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff80c2d18a0 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff80ce2d740 (__TEXT,__const) non-external _B
00007ff80c348de0 (__TEXT,__text) non-external _BoxConvolve16F_GCDWork
00007ff80c3f0680 (__TEXT,__text) non-external _BoxConvolve8888_GCDWork
00007ff80c3ef830 (__TEXT,__text) non-external _BoxConvolve8_GCDWork
00007ff80c3f0330 (__TEXT,__text) non-external (was a private external) _BoxConvolve_ARGB8888
00007ff843b4faf0 (__DATA,__bss) non-external _BoxConvolve_ARGB8888.vBoxARGB8888_Int32Acc
00007ff80c3ef4e0 (__TEXT,__text) non-external (was a private external) _BoxConvolve_Planar8
00007ff843b4fae8 (__DATA,__bss) non-external _BoxConvolve_Planar8.vBoxPlanar8_Int32Acc
00007ff80c2cece0 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff8436e2d30 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff8436e2d28 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff8436e2d20 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
00007ff8436e2d18 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyFromCVPixelBuffer
00007ff8436e2d10 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyToCVPixelBuffer
00007ff8436e2d08 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCGImage
00007ff8436e2d00 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCVPixelBuffer
00007ff840d24ac0 (__DATA_CONST,__const) non-external _ByteOrderName.ByteOrderNameTable
00007ff80c2cdbc0 (__TEXT,__text) non-external _CGBitmapInfoIsValid
00007ff8436e2cf8 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_GetComponentCount
00007ff8436e2cf0 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_IsEqual
00007ff8436e2e80 (__DATA_DIRTY,__common) non-external (was a private external) _CGInterfaces_loaded
00007ff80c54ab00 (__TEXT,__text) non-external (was a private external) _CVConvertPass_Print
00007ff8436e2ce8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Copy
00007ff8436e2ce0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyChannelDescription
00007ff8436e2cd8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyConversionMatrix
00007ff8436e2cd0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Create
00007ff8436e2cc8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CreateWithCVPixelBuffer
00007ff8436e2cc0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetAlphaHint
00007ff8436e2cb8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelCount
00007ff8436e2cb0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelDescription
00007ff8436e2ca8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChannelNames
00007ff8436e2ca0 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetChromaSiting
00007ff8436e2c98 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetColorSpace
00007ff8436e2c90 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetConversionMatrix
00007ff8436e2c88 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetFormatCode
00007ff8436e2c80 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_GetUserData
00007ff8436e2c78 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_InitvImageCGImageFormat
00007ff8436e2c70 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Print
00007ff8436e2c68 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Release
00007ff8436e2c60 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Retain
00007ff8436e2c58 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetAlphaHint
00007ff8436e2c50 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetChromaSiting
00007ff8436e2c48 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetColorSpace
00007ff8436e2c40 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_SetUserData
00007ff80c2f1a70 (__TEXT,__text) non-external (was a private external) _CacheTable_Destroy
00007ff843b4f430 (__DATA,__bss) non-external _CacheTable_GetCache.gCacheTable
00007ff843b4f438 (__DATA,__bss) non-external _CacheTable_GetCache.predicate
00007ff80c2de2a0 (__TEXT,__text) non-external (was a private external) _CacheTable_Init
00007ff80ce6e3c0 (__TEXT,__const) non-external _CacheTable_Init.elementSize
00007ff80c2de590 (__TEXT,__text) non-external _CacheTable_key_hash
00007ff80c2e0060 (__TEXT,__text) non-external _CacheTable_key_is_equal
00007ff80cda1450 (__TEXT,__text) non-external _CacheTable_key_release
00007ff80c2e0010 (__TEXT,__text) non-external _CacheTable_key_retain
00007ff80c2de4f0 (__TEXT,__text) non-external _CacheTable_setup
00007ff80c30d590 (__TEXT,__text) non-external _CacheTable_value_make_nonpurgeable
00007ff80c304f80 (__TEXT,__text) non-external _CacheTable_value_make_purgeable
00007ff80cda1460 (__TEXT,__text) non-external _CacheTable_value_release
00007ff8436e2d38 (__DATA_DIRTY,__bss) non-external _CalculateNumThreads.cpuCount
00007ff80c604e70 (__TEXT,__text) non-external _ChunkyToPlanar16U
00007ff80c2d7600 (__TEXT,__text) non-external _ChunkyToPlanar8
00007ff80c605160 (__TEXT,__text) non-external _ChunkyToPlanarF
00007ff80c5f4810 (__TEXT,__text) non-external _ChunkyToPlanarPass_Print
00007ff80c41b380 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGB8888
00007ff80c40f650 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGBFFFF
00007ff80c3405e0 (__TEXT,__text) non-external (was a private external) _ColorFill_Planar8
00007ff80c40bda0 (__TEXT,__text) non-external (was a private external) _ColorFill_PlanarF
00007ff80c5fc220 (__TEXT,__text) non-external _CompressPassesToLUT
00007ff840d280a0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_8to64U_vtbl
00007ff840d28040 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar128_vtbl
00007ff840d27e60 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar16_vtbl
00007ff840d27ec0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar24_vtbl
00007ff840d27f80 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar48_vtbl
00007ff840d27fe0 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar96_vtbl
00007ff840d27f20 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanarF_vtbl
00007ff840d27e00 (__DATA_CONST,__const) non-external _CompressPassesToLUT.LUTPass_TableLookup_Planar8_vtbl
00007ff80c355cc0 (__TEXT,__text) non-external _ComputeTileSize
