                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
0000000192b3284c (__TEXT,__text) external __cg_jcopy_block_row
0000000192b327f0 (__TEXT,__text) external __cg_jcopy_sample_rows
0000000192b4da18 (__TEXT,__text) external __cg_jinit_1pass_quantizer
0000000192b29be0 (__TEXT,__text) external __cg_jinit_2pass_quantizer
0000000192b31e64 (__TEXT,__text) external __cg_jinit_c_coef_controller
0000000192b32860 (__TEXT,__text) external __cg_jinit_c_main_controller
0000000192b3cbe8 (__TEXT,__text) external __cg_jinit_c_master_control
0000000192b32a98 (__TEXT,__text) external __cg_jinit_c_prep_controller
0000000192b28c18 (__TEXT,__text) external __cg_jinit_color_converter
0000000192b3143c (__TEXT,__text) external __cg_jinit_color_deconverter
0000000192b28aa0 (__TEXT,__text) external __cg_jinit_compress_master
0000000192b3bc14 (__TEXT,__text) external __cg_jinit_d_coef_controller
0000000192b3e590 (__TEXT,__text) external __cg_jinit_d_main_controller
0000000192b3f1d4 (__TEXT,__text) external __cg_jinit_d_post_controller
0000000192b458d8 (__TEXT,__text) external __cg_jinit_downsampler
0000000192b309e4 (__TEXT,__text) external __cg_jinit_forward_dct
0000000192b46cf0 (__TEXT,__text) external __cg_jinit_huff_decoder
0000000192b4aac8 (__TEXT,__text) external __cg_jinit_huff_encoder
0000000192b33c38 (__TEXT,__text) external __cg_jinit_input_controller
0000000192b294b4 (__TEXT,__text) external __cg_jinit_inverse_dct
0000000192b2b1ac (__TEXT,__text) external __cg_jinit_marker_reader
0000000192b4963c (__TEXT,__text) external __cg_jinit_marker_writer
0000000192b3df94 (__TEXT,__text) external __cg_jinit_master_decompress
0000000192b4ebec (__TEXT,__text) external __cg_jinit_memory_mgr
0000000192b46648 (__TEXT,__text) external __cg_jinit_merged_upsampler
0000000192b3ec58 (__TEXT,__text) external __cg_jinit_upsampler
0000000192b4541c (__TEXT,__text) external __cg_jpeg_CreateCompress
0000000192b331ec (__TEXT,__text) external __cg_jpeg_CreateDecompress
0000000192b2d5b4 (__TEXT,__text) external __cg_jpeg_abort
0000000192b45548 (__TEXT,__text) external __cg_jpeg_abort_compress
0000000192b332f4 (__TEXT,__text) external __cg_jpeg_abort_decompress
0000000192b3ae58 (__TEXT,__text) external __cg_jpeg_add_quant_table
0000000192b2d674 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
0000000192b2d648 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
0000000192b3dbe8 (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
0000000192b33390 (__TEXT,__text) external __cg_jpeg_consume_input
0000000192b490fc (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
0000000192b3b4a4 (__TEXT,__text) external __cg_jpeg_default_colorspace
0000000192b2d60c (__TEXT,__text) external __cg_jpeg_destroy
0000000192b45544 (__TEXT,__text) external __cg_jpeg_destroy_compress
0000000192b332f0 (__TEXT,__text) external __cg_jpeg_destroy_decompress
0000000192b4e610 (__TEXT,__text) external __cg_jpeg_fdct_float
0000000192b48d08 (__TEXT,__text) external __cg_jpeg_fdct_ifast
0000000192b3fb6c (__TEXT,__text) external __cg_jpeg_fdct_islow
0000000192b4559c (__TEXT,__text) external __cg_jpeg_finish_compress
0000000192b336f8 (__TEXT,__text) external __cg_jpeg_finish_decompress
0000000192b4aa10 (__TEXT,__text) external __cg_jpeg_finish_output
0000000192b2ed68 (__TEXT,__text) external __cg_jpeg_free_large
0000000192b2ed50 (__TEXT,__text) external __cg_jpeg_free_small
0000000192b2ed58 (__TEXT,__text) external __cg_jpeg_get_large
0000000192b2ed40 (__TEXT,__text) external __cg_jpeg_get_small
0000000192b336a0 (__TEXT,__text) external __cg_jpeg_has_multiple_scans
0000000192b355dc (__TEXT,__text) external __cg_jpeg_idct_1x1
0000000192b35540 (__TEXT,__text) external __cg_jpeg_idct_2x2
0000000192b35228 (__TEXT,__text) external __cg_jpeg_idct_4x4
0000000192b3f7cc (__TEXT,__text) external __cg_jpeg_idct_float
0000000192b305d4 (__TEXT,__text) external __cg_jpeg_idct_ifast
0000000192b34598 (__TEXT,__text) external __cg_jpeg_idct_islow
0000000192b33648 (__TEXT,__text) external __cg_jpeg_input_complete
0000000192b2ed70 (__TEXT,__text) external __cg_jpeg_mem_available
0000000192b2f038 (__TEXT,__text) external __cg_jpeg_mem_init
0000000192b2f044 (__TEXT,__text) external __cg_jpeg_mem_term
0000000192b50610 (__TEXT,__const) external __cg_jpeg_natural_order
0000000192b3dee4 (__TEXT,__text) external __cg_jpeg_new_colormap
0000000192b2ed80 (__TEXT,__text) external __cg_jpeg_open_backing_store
0000000192b3b234 (__TEXT,__text) external __cg_jpeg_quality_scaling
0000000192b3f61c (__TEXT,__text) external __cg_jpeg_read_coefficients
0000000192b332f8 (__TEXT,__text) external __cg_jpeg_read_header
0000000192b4a884 (__TEXT,__text) external __cg_jpeg_read_raw_data
0000000192b4a7a4 (__TEXT,__text) external __cg_jpeg_read_scanlines
0000000192b2af20 (__TEXT,__text) external __cg_jpeg_resync_to_restart
0000000192b2cabc (__TEXT,__text) external __cg_jpeg_save_markers
0000000192b3b548 (__TEXT,__text) external __cg_jpeg_set_colorspace
0000000192b3b310 (__TEXT,__text) external __cg_jpeg_set_defaults
0000000192b3b1c4 (__TEXT,__text) external __cg_jpeg_set_linear_quality
0000000192b2ce04 (__TEXT,__text) external __cg_jpeg_set_marker_processor
0000000192b3b26c (__TEXT,__text) external __cg_jpeg_set_quality
0000000192b3b8fc (__TEXT,__text) external __cg_jpeg_simple_progression
0000000192b3ab8c (__TEXT,__text) external __cg_jpeg_start_compress
0000000192b4a574 (__TEXT,__text) external __cg_jpeg_start_decompress
0000000192b4a980 (__TEXT,__text) external __cg_jpeg_start_output
0000000192b463d8 (__TEXT,__text) external __cg_jpeg_std_error
0000000192b2d6a0 (__TEXT,__text) external __cg_jpeg_std_huff_table
0000000192b5044d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_chrominance
0000000192b5039a (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_ac_luminance
0000000192b5037d (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_chrominance
0000000192b50360 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.bits_dc_luminance
0000000192b5045e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_chrominance
0000000192b503ab (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_ac_luminance
0000000192b5038e (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_chrominance
0000000192b50371 (__TEXT,__const) non-external __cg_jpeg_std_huff_table.val_dc_luminance
00000001e60a0998 (__DATA_CONST,__const) external __cg_jpeg_std_message_table
0000000192b4e834 (__TEXT,__text) external __cg_jpeg_stdio_dest
0000000192b2f048 (__TEXT,__text) external __cg_jpeg_stdio_src
0000000192b4554c (__TEXT,__text) external __cg_jpeg_suppress_tables
0000000192b48f3c (__TEXT,__text) external __cg_jpeg_write_coefficients
0000000192b4582c (__TEXT,__text) external __cg_jpeg_write_m_byte
0000000192b457a0 (__TEXT,__text) external __cg_jpeg_write_m_header
0000000192b456fc (__TEXT,__text) external __cg_jpeg_write_marker
0000000192b3ad44 (__TEXT,__text) external __cg_jpeg_write_raw_data
0000000192b3ac3c (__TEXT,__text) external __cg_jpeg_write_scanlines
0000000192b45838 (__TEXT,__text) external __cg_jpeg_write_tables
0000000192b327dc (__TEXT,__text) external __cg_jround_up
0000000192b31e40 (__TEXT,__text) external __cg_switch_color_deconverter
0000000192b4f6fc (__TEXT,__text) non-external _access_virt_barray
0000000192b4f51c (__TEXT,__text) non-external _access_virt_sarray
0000000192b4f0e0 (__TEXT,__text) non-external _alloc_barray
0000000192b4e104 (__TEXT,__text) non-external _alloc_fs_workspace
0000000192b4eeec (__TEXT,__text) non-external _alloc_large
0000000192b4efec (__TEXT,__text) non-external _alloc_sarray
0000000192b4ed34 (__TEXT,__text) non-external _alloc_small
0000000192b30410 (__TEXT,__text) non-external _arith_decode
0000000192b2eaa8 (__TEXT,__text) non-external _arith_encode
0000000192b511bc (__TEXT,__const) non-external _base_dither_matrix
0000000192b5117c (__TEXT,__const) non-external _bmask
0000000192b31b2c (__TEXT,__text) non-external _build_ycc_rgb_table
                 (undefined) external _bzero (from libSystem)
0000000192b2f030 (__TEXT,__text) non-external _close_backing_store
0000000192b293d8 (__TEXT,__text) non-external _cmyk_ycck_convert
0000000192b4e1f4 (__TEXT,__text) non-external _color_quantize
0000000192b4e180 (__TEXT,__text) non-external _color_quantize3
0000000192b320e8 (__TEXT,__text) non-external _compress_data
0000000192b32394 (__TEXT,__text) non-external _compress_first_pass
0000000192b325f0 (__TEXT,__text) non-external _compress_output
0000000192b493c8 (__TEXT,__text) non-external _compress_output
                 (undefined) external _confstr (from libSystem)
0000000192b3bf0c (__TEXT,__text) non-external _consume_data
0000000192b33cb8 (__TEXT,__text) non-external _consume_markers
0000000192b4dfd4 (__TEXT,__text) non-external _create_colorindex
0000000192b2ff1c (__TEXT,__text) non-external _decode_mcu
0000000192b485b8 (__TEXT,__text) non-external _decode_mcu
0000000192b2fa7c (__TEXT,__text) non-external _decode_mcu_AC_first
0000000192b4762c (__TEXT,__text) non-external _decode_mcu_AC_first
0000000192b2fd50 (__TEXT,__text) non-external _decode_mcu_AC_refine
0000000192b47998 (__TEXT,__text) non-external _decode_mcu_AC_refine
0000000192b2f820 (__TEXT,__text) non-external _decode_mcu_DC_first
0000000192b47404 (__TEXT,__text) non-external _decode_mcu_DC_first
0000000192b2fca4 (__TEXT,__text) non-external _decode_mcu_DC_refine
0000000192b47888 (__TEXT,__text) non-external _decode_mcu_DC_refine
0000000192b48168 (__TEXT,__text) non-external _decode_mcu_sub
0000000192b3c10c (__TEXT,__text) non-external _decompress_data
0000000192b3c2e8 (__TEXT,__text) non-external _decompress_onepass
0000000192b3c5d4 (__TEXT,__text) non-external _decompress_smooth_data
0000000192b4fb6c (__TEXT,__text) non-external _do_barray_io
0000000192b4fa94 (__TEXT,__text) non-external _do_sarray_io
0000000192b3c2e0 (__TEXT,__text) non-external _dummy_consume_data
0000000192b4d858 (__TEXT,__text) non-external _dump_buffer_e
0000000192b2ecbc (__TEXT,__text) non-external _emit_byte
0000000192b4a164 (__TEXT,__text) non-external _emit_byte
0000000192b4a460 (__TEXT,__text) non-external _emit_dht
0000000192b4a1e4 (__TEXT,__text) non-external _emit_dqt
0000000192b4d154 (__TEXT,__text) non-external _emit_eobrun
0000000192b4644c (__TEXT,__text) non-external _emit_message
0000000192b2e9ac (__TEXT,__text) non-external _emit_restart
0000000192b4d8ac (__TEXT,__text) non-external _emit_restart_e
0000000192b4a324 (__TEXT,__text) non-external _emit_sof
0000000192b4eb24 (__TEXT,__text) non-external _empty_mem_output_buffer
0000000192b4e8ec (__TEXT,__text) non-external _empty_output_buffer
0000000192b2e4f8 (__TEXT,__text) non-external _encode_mcu
0000000192b2df2c (__TEXT,__text) non-external _encode_mcu_AC_first
0000000192b4b498 (__TEXT,__text) non-external _encode_mcu_AC_first
0000000192b2e2a4 (__TEXT,__text) non-external _encode_mcu_AC_refine
0000000192b4baf8 (__TEXT,__text) non-external _encode_mcu_AC_refine
0000000192b2dcc8 (__TEXT,__text) non-external _encode_mcu_DC_first
0000000192b4b154 (__TEXT,__text) non-external _encode_mcu_DC_first
0000000192b2e1f0 (__TEXT,__text) non-external _encode_mcu_DC_refine
0000000192b4b970 (__TEXT,__text) non-external _encode_mcu_DC_refine
0000000192b4c240 (__TEXT,__text) non-external _encode_mcu_gather
0000000192b4c4bc (__TEXT,__text) non-external _encode_mcu_huff
0000000192b4fc48 (__TEXT,__text) non-external _error_exit
0000000192b2d230 (__TEXT,__text) non-external _examine_app0
0000000192b2d4b8 (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
0000000192b512e8 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
0000000192b3bbac (__TEXT,__text) non-external _fill_dc_scans
0000000192b2f11c (__TEXT,__text) non-external _fill_input_buffer
0000000192b2ab58 (__TEXT,__text) non-external _fill_inverse_cmap
0000000192b2f2f8 (__TEXT,__text) non-external _fill_mem_input_buffer
0000000192b50518 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
0000000192b34558 (__TEXT,__text) non-external _finish_input_pass
0000000192b3e550 (__TEXT,__text) non-external _finish_output_pass
0000000192b2dacc (__TEXT,__text) non-external _finish_pass
0000000192b2f81c (__TEXT,__text) non-external _finish_pass
0000000192b2a050 (__TEXT,__text) non-external _finish_pass1
0000000192b2a780 (__TEXT,__text) non-external _finish_pass2
0000000192b4dfbc (__TEXT,__text) non-external _finish_pass_1_quant
0000000192b4adc4 (__TEXT,__text) non-external _finish_pass_gather
0000000192b473d8 (__TEXT,__text) non-external _finish_pass_huff
0000000192b4af20 (__TEXT,__text) non-external _finish_pass_huff
0000000192b3d874 (__TEXT,__text) non-external _finish_pass_master
0000000192b512d8 (__TEXT,__const) non-external _first_pool_slop
                 (undefined) external _fopen (from libSystem)
0000000192b46564 (__TEXT,__text) non-external _format_message
0000000192b311a0 (__TEXT,__text) non-external _forward_DCT
0000000192b312ec (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
0000000192b4f8e0 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
0000000192b45d78 (__TEXT,__text) non-external _fullsize_downsample
0000000192b45bdc (__TEXT,__text) non-external _fullsize_smooth_downsample
0000000192b3efc8 (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
0000000192b30570 (__TEXT,__text) non-external _get_byte
0000000192b2c910 (__TEXT,__text) non-external _get_interesting_appn
0000000192b2ce50 (__TEXT,__text) non-external _get_sof
0000000192b31a24 (__TEXT,__text) non-external _gray_rgb_convert
0000000192b29038 (__TEXT,__text) non-external _grayscale_convert
0000000192b318f0 (__TEXT,__text) non-external _grayscale_convert
0000000192b45e04 (__TEXT,__text) non-external _h2v1_downsample
0000000192b46bd4 (__TEXT,__text) non-external _h2v1_merged_upsample
0000000192b3efd0 (__TEXT,__text) non-external _h2v1_upsample
0000000192b4618c (__TEXT,__text) non-external _h2v2_downsample
0000000192b469bc (__TEXT,__text) non-external _h2v2_merged_upsample
0000000192b45ee8 (__TEXT,__text) non-external _h2v2_smooth_downsample
0000000192b3f024 (__TEXT,__text) non-external _h2v2_upsample
0000000192b4e8ac (__TEXT,__text) non-external _init_destination
