00000001bab68658 (__TEXT,__text) non-external -[OS_axr_data copy]
00000001bab6841c (__TEXT,__text) non-external -[OS_axr_data dealloc]
00000001bab684c4 (__TEXT,__text) non-external -[OS_axr_data debugDescription]
00000001babee570 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.1
00000001babee5e4 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.2
00000001babee658 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.3
00000001bab68484 (__TEXT,__text) non-external -[OS_axr_data description]
00000001bab68678 (__TEXT,__text) non-external -[OS_axr_data hash]
00000001bab6865c (__TEXT,__text) non-external -[OS_axr_data isEqual:]
00000001babddea0 (__TEXT,__text) non-external -[OS_axr_decoder copy]
00000001babdde60 (__TEXT,__text) non-external -[OS_axr_decoder dealloc]
00000001babddbe0 (__TEXT,__text) non-external -[OS_axr_decoder debugDescription]
00000001babdde54 (__TEXT,__text) non-external -[OS_axr_decoder description]
00000001babd85a0 (__TEXT,__text) non-external -[OS_axr_encoder dealloc]
00000001babd858c (__TEXT,__text) non-external -[OS_axr_encoder debugDescription]
00000001babd8594 (__TEXT,__text) non-external -[OS_axr_encoder description]
00000001babd6cc8 (__TEXT,__text) non-external -[OS_axr_part dealloc]
00000001babd6be8 (__TEXT,__text) non-external -[OS_axr_part debugDescription]
00000001babd6cbc (__TEXT,__text) non-external -[OS_axr_part description]
00000001bac10a6c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001bac10a9c (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001bac10b78 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001bac10b20 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001bac10b88 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001bac10b98 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001bac10bc4 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001bac10aac (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001bac10abc (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00000001bac10a8c (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001bac10ae4 (__TEXT,__gcc_except_tab) non-external GCC_except_table33
00000001bac10b00 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00000001bac10bf0 (__TEXT,__gcc_except_tab) non-external GCC_except_table45
00000001bac10c5c (__TEXT,__gcc_except_tab) non-external GCC_except_table49
00000001bac10b10 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00000001bac10b38 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001bac10b50 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001babd706c (__TEXT,__text) non-external (was a private external) _AXRCreateColorSpace
00000001babeef68 (__TEXT,__text) non-external _AXRCreateColorSpace.cold.1
00000001d7d8c9b8 (__DATA,__bss) non-external _AXRGetLog.log
00000001d7d8c9c0 (__DATA,__bss) non-external _AXRGetLog.onceToken
00000001babd826c (__TEXT,__text) non-external (was a private external) _AXRLogDebug
00000001babd8378 (__TEXT,__text) non-external (was a private external) _AXRLogError
00000001babd8160 (__TEXT,__text) non-external (was a private external) _AXRLogInfo
00000001babd8f8c (__TEXT,__text) non-external (was a private external) _AppleEXRDestinationNotBigEnough
00000001babd8f84 (__TEXT,__text) non-external (was a private external) _AppleEXRDestinationNotWritable
00000001babd2940 (__TEXT,__text) non-external (was a private external) _ChunkLayout_Print
00000001d3c05278 (__DATA_CONST,__const) non-external _ChunkLayout_Print.kLayouts
00000001babd811c (__TEXT,__text) non-external (was a private external) _GetEXRNameForChannelType
00000001d7d8caa8 (__DATA,__common) non-external (was a private external) _GetFlagsOnceToken
00000001babe0a40 (__TEXT,__text) non-external (was a private external) _GetLastByte
00000001babd84ec (__TEXT,__text) non-external _GetOSLog
00000001babd8484 (__TEXT,__text) non-external (was a private external) _InitializeDefaultFlags
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
00000001d97e93a8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_data
00000001d97e9498 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_decoder
00000001d97e9448 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_encoder
00000001d97e93f8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_part
                 (undefined) external _OBJC_CLASS_$_OS_object (from libSystem)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001d97e93d0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_data
00000001d97e94c0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_decoder
00000001d97e9470 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_encoder
00000001d97e9420 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_part
                 (undefined) external _OBJC_METACLASS_$_OS_object (from libSystem)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001babefc38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_OS_axr_data
00000001babefce8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_OS_axr_decoder
00000001babefcb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_OS_axr_encoder
00000001babefc88 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_OS_axr_part
00000001d3c05818 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d3c05b68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d3c05eb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d3c06208 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d3c05930 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_OS_axr_data
00000001d3c06320 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_OS_axr_decoder
00000001d3c05fd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_OS_axr_encoder
00000001d3c05c80 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_OS_axr_part
00000001d3c05628 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d3c05978 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d3c05cc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d3c06018 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d3c057f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d3c05b48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d3c05e98 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d3c061e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d3c05860 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d3c05bb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d3c05f00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d3c06250 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d3c05900 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_axr_data
00000001d3c062f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_axr_decoder
00000001d3c05fa0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_axr_encoder
00000001d3c05c50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_axr_part
00000001d3c05918 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_OS_axr_data
00000001d3c06308 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_OS_axr_decoder
00000001d3c05fb8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_OS_axr_encoder
00000001d3c05c68 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_OS_axr_part
00000001dd152828 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_OS_axr_data
00000001dd1529d8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_OS_axr_decoder
00000001dd152948 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_OS_axr_encoder
00000001dd1528b8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_OS_axr_part
00000001d3c055f8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001d3c05600 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_axr_data
00000001d3c05618 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_axr_decoder
00000001d3c05610 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_axr_encoder
00000001d3c05608 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_OS_axr_part
00000001dd1527e0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_OS_axr_data
00000001dd152990 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_OS_axr_decoder
00000001dd152900 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_OS_axr_encoder
00000001dd152870 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_OS_axr_part
00000001d7d8c7c8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
