                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
0000000192896b8c (__TEXT,__text) external __cg_jcopy_block_row
0000000192896b30 (__TEXT,__text) external __cg_jcopy_sample_rows
00000001928b1ef4 (__TEXT,__text) external __cg_jinit_1pass_quantizer
000000019288dc2c (__TEXT,__text) external __cg_jinit_2pass_quantizer
0000000192895f70 (__TEXT,__text) external __cg_jinit_c_coef_controller
0000000192896ba0 (__TEXT,__text) external __cg_jinit_c_main_controller
00000001928a0f6c (__TEXT,__text) external __cg_jinit_c_master_control
0000000192896dd8 (__TEXT,__text) external __cg_jinit_c_prep_controller
000000019288cc18 (__TEXT,__text) external __cg_jinit_color_converter
00000001928954a8 (__TEXT,__text) external __cg_jinit_color_deconverter
000000019288caa0 (__TEXT,__text) external __cg_jinit_compress_master
000000019289ff98 (__TEXT,__text) external __cg_jinit_d_coef_controller
00000001928a294c (__TEXT,__text) external __cg_jinit_d_main_controller
00000001928a361c (__TEXT,__text) external __cg_jinit_d_post_controller
00000001928a9d28 (__TEXT,__text) external __cg_jinit_downsampler
0000000192894a50 (__TEXT,__text) external __cg_jinit_forward_dct
00000001928ab1a0 (__TEXT,__text) external __cg_jinit_huff_decoder
00000001928aef8c (__TEXT,__text) external __cg_jinit_huff_encoder
0000000192897f78 (__TEXT,__text) external __cg_jinit_input_controller
000000019288d500 (__TEXT,__text) external __cg_jinit_inverse_dct
000000019288f254 (__TEXT,__text) external __cg_jinit_marker_reader
00000001928adaf4 (__TEXT,__text) external __cg_jinit_marker_writer
00000001928a2350 (__TEXT,__text) external __cg_jinit_master_decompress
00000001928b3178 (__TEXT,__text) external __cg_jinit_memory_mgr
00000001928aaaf8 (__TEXT,__text) external __cg_jinit_merged_upsampler
00000001928a3098 (__TEXT,__text) external __cg_jinit_upsampler
