00000001e8172798 (__DATA,__bss) non-external _AGCPrinter
00000001a78bab5c (__TEXT,__text) external _AIRNTClone
00000001a78baa74 (__TEXT,__text) external _AIRNTDispose
00000001a78bb070 (__TEXT,__text) external _AIRNTDisposeCompilationContext
00000001a78bbae0 (__TEXT,__text) external _AIRNTEmitAssembly
00000001a78bed00 (__TEXT,__text) external _AIRNTEmitBuiltinExecutableImage
00000001a78bbc20 (__TEXT,__text) external _AIRNTEmitDylibImage
00000001a78be3f4 (__TEXT,__text) external _AIRNTEmitExecutableImage
00000001a78bbb80 (__TEXT,__text) external _AIRNTEmitObject
00000001a78c09e4 (__TEXT,__text) external _AIRNTEmitPipelineImage
00000001a78c3dc0 (__TEXT,__text) external _AIRNTEmitPipelineImages
00000001a78bb0fc (__TEXT,__text) external _AIRNTGetDefaultArch
00000001a78b9e74 (__TEXT,__text) external _AIRNTGetLLVMVersion
00000001a78c6834 (__TEXT,__text) external _AIRNTGetLegalizationPasses
00000001a78bb114 (__TEXT,__text) external _AIRNTGetSupportedArchs
00000001a78bb908 (__TEXT,__text) external _AIRNTGetSupportedBitcodeVersion
00000001a78bb380 (__TEXT,__text) external _AIRNTGetSupportedImpls
00000001a78bb0f0 (__TEXT,__text) external _AIRNTGetVendorName
00000001a78bb0dc (__TEXT,__text) external _AIRNTGetVersion
00000001a78b9e7c (__TEXT,__text) external _AIRNTInit
00000001a78bac00 (__TEXT,__text) external _AIRNTInitCompilationContext
00000001a78bb910 (__TEXT,__text) external _AIRNTParseCommandLineOptions
00000001a78bb474 (__TEXT,__text) external _AIRNTSupportsArch
00000001a78bbad0 (__TEXT,__text) external _AIRNTSupportsEmitBuiltinExecutableImage
00000001a78bbac8 (__TEXT,__text) external _AIRNTSupportsEmitExecutableImage
00000001a78bb5d4 (__TEXT,__text) external _AIRNTSupportsTarget
00000001a78bbad8 (__TEXT,__text) external _AIRNTSupportsThreads
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithBytes (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFURLCopyFileSystemPath (from CoreFoundation)
00000001a7716df0 (__TEXT,__text) external _GLCompilerBuildRequest
00000001a7716de4 (__TEXT,__text) external _GLCompilerCreate
00000001a7716dec (__TEXT,__text) external _GLCompilerDelete
00000001a7716df8 (__TEXT,__text) external _GLCompilerLogBuildRequest
00000001a7716e00 (__TEXT,__text) external _GLCompilerReleaseReply
                 (undefined) external _LLVMAGXRuntimeMajorVersion (from libLLVM)
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
00000001a771c4fc (__TEXT,__text) external _MTLCompilerBuildRequest
