                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff8145b3942 (__TEXT,__text) non-external _alone_decode
00007ff8145b3bfc (__TEXT,__text) non-external _alone_decoder_end
00007ff8145b3c1d (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff8145b24e0 (__TEXT,__text) non-external _alone_encode
00007ff8145b25a4 (__TEXT,__text) non-external _alone_encoder_end
00007ff8145b2365 (__TEXT,__text) non-external _alone_encoder_init
00007ff8145bdd94 (__TEXT,__text) non-external _arm64_code
00007ff8145c0d79 (__TEXT,__text) non-external _arm_code
00007ff8145c0e4c (__TEXT,__text) non-external _armthumb_code
00007ff8145b3de3 (__TEXT,__text) non-external _auto_decode
00007ff8145b3f20 (__TEXT,__text) non-external _auto_decoder_end
00007ff8145b3f41 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff8145b3d07 (__TEXT,__text) non-external _auto_decoder_init
00007ff8145b3f58 (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff8145c6930 (__TEXT,__const) non-external _bcj_optmap
00007ff8145b2661 (__TEXT,__text) non-external _block_buffer_encode
00007ff8145b427e (__TEXT,__text) non-external _block_decode
00007ff8145b4513 (__TEXT,__text) non-external _block_decoder_end
00007ff8145aca4d (__TEXT,__text) non-external _block_encode
00007ff8145b2921 (__TEXT,__text) non-external _block_encode_normal
00007ff8145b2a83 (__TEXT,__text) non-external _block_encode_uncompressed
00007ff8145b1486 (__TEXT,__text) non-external _block_encoder_end
00007ff8145aac5e (__TEXT,__text) non-external _block_encoder_init
00007ff8145b2c04 (__TEXT,__text) non-external _block_encoder_update
00007ff8145b030f (__TEXT,__text) non-external _bt_find_func
00007ff8145adcec (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _clock_gettime (from libSystem)
00007ff8145c06e3 (__TEXT,__text) non-external _copy_or_code
