00007ffa0e5131cc (__TEXT,__text) non-external +[Cube initialize]
00007ffa0e51f692 (__TEXT,__text) non-external +[DDXMLDocument nodeWithPrimitive:]
00007ffa0e51fb1d (__TEXT,__text) non-external +[DDXMLElement nodeWithPrimitive:]
00007ffa0e5207a4 (__TEXT,__text) non-external +[DDXMLElement resolveNamespaceForPrefix:atNode:]
00007ffa0e520902 (__TEXT,__text) non-external +[DDXMLElement resolvePrefixForURI:atNode:]
00007ffa0e520ec7 (__TEXT,__text) non-external +[DDXMLElement(DDAdditions) elementWithName:xmlns:]
00007ffa0e5213b0 (__TEXT,__text) non-external +[DDXMLNode attributeWithName:URI:stringValue:]
00007ffa0e521330 (__TEXT,__text) non-external +[DDXMLNode attributeWithName:stringValue:]
00007ffa0e521566 (__TEXT,__text) non-external +[DDXMLNode commentWithStringValue:]
00007ffa0e522eab (__TEXT,__text) non-external +[DDXMLNode detachAttribute:fromNode:]
00007ffa0e52311d (__TEXT,__text) non-external +[DDXMLNode detachChild:fromNode:]
00007ffa0e5230a4 (__TEXT,__text) non-external +[DDXMLNode detachChild:fromNode:andNullifyPointers:]
00007ffa0e522fc9 (__TEXT,__text) non-external +[DDXMLNode detachNamespace:fromNode:]
00007ffa0e5212f5 (__TEXT,__text) non-external +[DDXMLNode elementWithName:URI:]
00007ffa0e521216 (__TEXT,__text) non-external +[DDXMLNode elementWithName:]
00007ffa0e521287 (__TEXT,__text) non-external +[DDXMLNode elementWithName:children:attributes:]
00007ffa0e52124c (__TEXT,__text) non-external +[DDXMLNode elementWithName:stringValue:]
00007ffa0e52113b (__TEXT,__text) non-external +[DDXMLNode initialize]
00007ffa0e522b9b (__TEXT,__text) non-external +[DDXMLNode isXmlAttrPtr:]
00007ffa0e522c24 (__TEXT,__text) non-external +[DDXMLNode isXmlDocPtr:]
00007ffa0e522c5b (__TEXT,__text) non-external +[DDXMLNode isXmlDtdPtr:]
00007ffa0e522bd2 (__TEXT,__text) non-external +[DDXMLNode isXmlNodePtr:]
00007ffa0e522c92 (__TEXT,__text) non-external +[DDXMLNode isXmlNsPtr:]
00007ffa0e523369 (__TEXT,__text) non-external +[DDXMLNode lastError]
00007ffa0e5227b1 (__TEXT,__text) non-external +[DDXMLNode localNameForName:]
00007ffa0e521449 (__TEXT,__text) non-external +[DDXMLNode namespaceWithName:stringValue:]
00007ffa0e522da9 (__TEXT,__text) non-external +[DDXMLNode nodeFree:]
00007ffa0e52161e (__TEXT,__text) non-external +[DDXMLNode nodeWithPrimitive:]
00007ffa0e5217d3 (__TEXT,__text) non-external +[DDXMLNode nodeWithPrimitive:nsParent:]
00007ffa0e522803 (__TEXT,__text) non-external +[DDXMLNode prefixForName:]
00007ffa0e5214e8 (__TEXT,__text) non-external +[DDXMLNode processingInstructionWithName:stringValue:]
00007ffa0e522d26 (__TEXT,__text) non-external +[DDXMLNode recursiveStripDocPointersFromNode:]
00007ffa0e522f4b (__TEXT,__text) non-external +[DDXMLNode removeAllAttributesFromNode:]
00007ffa0e5231ce (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromDoc:]
00007ffa0e523175 (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromNode:]
00007ffa0e523051 (__TEXT,__text) non-external +[DDXMLNode removeAllNamespacesFromNode:]
00007ffa0e522f1a (__TEXT,__text) non-external +[DDXMLNode removeAttribute:fromNode:]
00007ffa0e523135 (__TEXT,__text) non-external +[DDXMLNode removeChild:fromNode:]
00007ffa0e52301f (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00007ffa0e522d01 (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00007ffa0e5215c2 (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00007ffa0e4439a3 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00007ffa0e442346 (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00007ffa0e444768 (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00007ffa0e4463e4 (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00007ffa0e446b86 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00007ffa0e446b9a (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00007ffa0e447be8 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00007ffa0e447bfc (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00007ffa0e446ea5 (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00007ffa0e448698 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00007ffa0e4486ac (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00007ffa0e448b13 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00007ffa0e44a566 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00007ffa0e44a834 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00007ffa0e44a7b7 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00007ffa0e44b45a (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00007ffa0e444381 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00007ffa0e44c867 (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00007ffa0e443208 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00007ffa0e443240 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00007ffa0e44ee9d (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00007ffa0e4554e6 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00007ffa0e456dd0 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00007ffa0e4460e5 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00007ffa0e445510 (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00007ffa0e445d42 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00007ffa0e445ad6 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00007ffa0e45d939 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00007ffa0e45d686 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00007ffa0e45d3ba (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00007ffa0e45d25a (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00007ffa0e45d1b1 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00007ffa0e45d317 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00007ffa0e45d12b (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00007ffa0e45cfd9 (__TEXT,__text) non-external +[MCObjectBase initialize]
00007ffa0e45d889 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00007ffa0e45e377 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00007ffa0e46133e (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00007ffa0e46646a (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00007ffa0e466d32 (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00007ffa0e46cc89 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00007ffa0e444a1f (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00007ffa0e445262 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00007ffa0e444d3c (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00007ffa0e444fb4 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00007ffa0e478f67 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00007ffa0e479a6d (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00007ffa0e47784c (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00007ffa0e4778d8 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00007ffa0e477731 (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00007ffa0e478cc0 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00007ffa0e4778b9 (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00007ffa0e47782d (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00007ffa0e4775bb (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00007ffa0e4777bf (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00007ffa0e477ad1 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00007ffa0e477d3d (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00007ffa0e477e29 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00007ffa0e478665 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00007ffa0e477bbc (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00007ffa0e477679 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00007ffa0e443dc9 (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00007ffa0e4d26ae (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00007ffa0e4d2381 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00007ffa0e4d4041 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00007ffa0e4d4586 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00007ffa0e4d1f6e (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00007ffa0e46e46d (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00007ffa0e46e705 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00007ffa0e46efda (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00007ffa0e46f0cb (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00007ffa0e46f0fa (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00007ffa0e46ee71 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00007ffa0e46f27e (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00007ffa0e46f4f8 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00007ffa0e46f489 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00007ffa0e4c1fdf (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00007ffa0e4c1f88 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00007ffa0e4c1f27 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00007ffa0e470320 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00007ffa0e4702b4 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00007ffa0e4abff6 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00007ffa0e4abf8a (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00007ffa0e53e1d0 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00007ffa0e53e14b (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00007ffa0e5407a2 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00007ffa0e54071d (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00007ffa0e28aa24 (__TEXT,__text) non-external +[MPAction action]
00007ffa0e28aa19 (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00007ffa0e28d263 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00007ffa0e28d27c (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00007ffa0e28bdd6 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00007ffa0e28bdcb (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00007ffa0e28e133 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00007ffa0e291970 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00007ffa0e291f1a (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00007ffa0e291f5a (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00007ffa0e291f0f (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00007ffa0e2923bc (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00007ffa0e292406 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00007ffa0e2923b1 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00007ffa0e293928 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00007ffa0e2938e0 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00007ffa0e2938d5 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00007ffa0e293425 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00007ffa0e293460 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00007ffa0e29341a (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00007ffa0e2947f5 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00007ffa0e294784 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00007ffa0e2948cf (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00007ffa0e294de3 (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00007ffa0e294dd8 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00007ffa0e295053 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00007ffa0e295048 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00007ffa0e2959cc (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00007ffa0e2959c1 (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00007ffa0e28b8c7 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00007ffa0e28b8bc (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00007ffa0e2991c9 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00007ffa0e2991bd (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00007ffa0e27640a (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00007ffa0e299f48 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00007ffa0e29a236 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00007ffa0e29a0d6 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00007ffa0e29a455 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00007ffa0e29a424 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00007ffa0e29a44a (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00007ffa0e29c5fb (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00007ffa0e29c59c (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00007ffa0e2daeb2 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00007ffa0e2dd6a4 (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00007ffa0e2db988 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00007ffa0e2ddef2 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00007ffa0e2da605 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00007ffa0e2da5c7 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00007ffa0e2da643 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00007ffa0e2db14e (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00007ffa0e2ddbb0 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00007ffa0e2ddc3c (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00007ffa0e2db105 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00007ffa0e2dda98 (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00007ffa0e2dd44b (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00007ffa0e2dd0b9 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00007ffa0e2db435 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00007ffa0e2db5ab (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00007ffa0e2dbb20 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00007ffa0e2dcedf (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00007ffa0e2daf5c (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00007ffa0e2da721 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00007ffa0e2da67b (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00007ffa0e2dd938 (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00007ffa0e2de165 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00007ffa0e2db2e2 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00007ffa0e2dab99 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00007ffa0e2dce24 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00007ffa0e2db9cb (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00007ffa0e2db4f0 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00007ffa0e2dc6ce (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00007ffa0e2dc7e0 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00007ffa0e2dc776 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00007ffa0e2dd62e (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00007ffa0e2dd957 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
