0000000180c63dcc (__TEXT,__text) external _OSAtomicAdd32
0000000180c63dd8 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180c63e24 (__TEXT,__text) external _OSAtomicAdd64
0000000180c63e30 (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180c63e7c (__TEXT,__text) external _OSAtomicAnd32
0000000180c63e8c (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180c63e9c (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180c63ea8 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180c63f04 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180c63f18 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180c63fa4 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180c63fb8 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180c63f54 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180c63f68 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180c63f7c (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180c63f90 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180c63f2c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180c63f40 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180c63e04 (__TEXT,__text) external _OSAtomicDecrement32
0000000180c63e14 (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180c63e5c (__TEXT,__text) external _OSAtomicDecrement64
0000000180c63e6c (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180c6413c (__TEXT,__text) external _OSAtomicDequeue
0000000180c640cc (__TEXT,__text) external _OSAtomicEnqueue
0000000180c62368 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180c65fb4 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
0000000180c622fc (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180c65fb4 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
0000000180c63de4 (__TEXT,__text) external _OSAtomicIncrement32
0000000180c63df4 (__TEXT,__text) external _OSAtomicIncrement32Barrier
0000000180c63e3c (__TEXT,__text) external _OSAtomicIncrement64
0000000180c63e4c (__TEXT,__text) external _OSAtomicIncrement64Barrier
