000000025a390f08 (__TEXT,__text) non-external +[CSSearchableIndex(PSUAdditions) psu_criticalIndexWithName:protectionClass:bundleIdentifier:]
000000025a390e5c (__TEXT,__text) non-external +[PSUCurrentActivityManager sharedInstance]
000000025a390258 (__TEXT,__text) non-external -[PSUCurrentActivityManager _hasLayoutInfo]
000000025a390250 (__TEXT,__text) non-external -[PSUCurrentActivityManager _isAppVisibleWithBundleId:]
000000025a390260 (__TEXT,__text) non-external -[PSUCurrentActivityManager _visibilityForAppWithBundleId:completionHandler:]
000000025a390de8 (__TEXT,__text) non-external -[PSUCurrentActivityManager dealloc]
000000025a390488 (__TEXT,__text) non-external -[PSUCurrentActivityManager fetchUserActivityContentIdentifiersForBundleId:completionHandler:]
000000025a390e24 (__TEXT,__text) non-external -[PSUCurrentActivityManager init]
000000025a390e20 (__TEXT,__text) non-external -[PSUCurrentActivityManager prewarm]
000000025a38f648 (__TEXT,__text) non-external -[PSUIntentMessageHistorySearcher recentMessagesSinceDate:conversationIdentifier:appBundleId:incomingMessageID:limit:options:completionHandler:]
000000025a391060 (__TEXT,__text) non-external -[PSUModeConfigurationService .cxx_destruct]
000000025a3910a4 (__TEXT,__text) non-external -[PSUModeConfigurationService _updateModesWithIntelligentBreakthroughEnabled]
000000025a391300 (__TEXT,__text) non-external -[PSUModeConfigurationService doesModeHaveIntelligentBreakthroughEnabled:]
000000025a391398 (__TEXT,__text) non-external -[PSUModeConfigurationService init]
000000025a391394 (__TEXT,__text) non-external -[PSUModeConfigurationService modeConfigurationService:didReceiveAvailableModesUpdate:]
000000025a38f498 (__TEXT,__text) non-external -[PSUVIPManager emailVIPAddressesWithCompletion:]
000000025a3c60a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table33
000000025a3c60d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
000000025a3c60f8 (__TEXT,__gcc_except_tab) non-external GCC_except_table45
000000025a3c6128 (__TEXT,__gcc_except_tab) non-external GCC_except_table47
000000025a3c613c (__TEXT,__gcc_except_tab) non-external GCC_except_table49
000000025a3c6054 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
                 (undefined) external _AnalyticsSendEvent (from CoreAnalytics)
                 (undefined) external _BiomeLibrary (from BiomeLibrary)
                 (undefined) external _CNContactEmailAddressesKey (from Contacts)
                 (undefined) external _CNContactIdentifierKey (from Contacts)
                 (undefined) external _CNContactPhoneNumbersKey (from Contacts)
                 (undefined) external _CSMailboxInbox (from CoreSpotlight)
000000029546d130 (__DATA_DIRTY,__bss) non-external _DoNotDisturbLibraryCore.frameworkLibrary
                 (undefined) external _EMContentRepresentationTypeRaw (from Email)
                 (undefined) external _EMUserDefaultDisableAutomaticMessageSummarization (from Email)
                 (undefined) external _EMUserDefaultShouldHideHighlights (from Email)
                 (undefined) external _EMUserDefaultsMailAppGroup (from Email)
                 (undefined) external _GESummarizationClientErrorDomain (from Sage)
                 (undefined) external _IOPSDrawingUnlimitedPower (from IOKit)
                 (undefined) external _MDItemAccountHandles (from CoreSpotlight)
                 (undefined) external _MDItemAccountIdentifier (from CoreSpotlight)
                 (undefined) external _MDItemAccountType (from CoreSpotlight)
                 (undefined) external _MDItemAdditionalRecipientContactIdentifiers (from CoreSpotlight)
                 (undefined) external _MDItemAdditionalRecipientEmailAddresses (from CoreSpotlight)
                 (undefined) external _MDItemAdditionalRecipientPersons (from CoreSpotlight)
                 (undefined) external _MDItemAdditionalRecipients (from CoreSpotlight)
                 (undefined) external _MDItemAttachmentCaptions (from CoreSpotlight)
                 (undefined) external _MDItemAttachmentNames (from CoreSpotlight)
                 (undefined) external _MDItemAttachmentPaths (from CoreSpotlight)
                 (undefined) external _MDItemAttachmentTypes (from CoreSpotlight)
