00007ff806624d1b (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff806624cb9 (__TEXT,__text) external _CreateLSTMData
00007ff806624b6e (__TEXT,__text) external _CreateLSTMDataForScript
00007ff806624ec1 (__TEXT,__text) external _DeleteLSTMData
00007ff806624ef2 (__TEXT,__text) external _LSTMDataName
00007ff80660779e (__TEXT,__text) external _T_CString_int64ToString
00007ff80659eb4a (__TEXT,__text) external _T_CString_integerToString
00007ff806607852 (__TEXT,__text) external _T_CString_stringToInteger
00007ff806600118 (__TEXT,__text) external _T_CString_toLowerCase
00007ff8065bc6fe (__TEXT,__text) external _T_CString_toUpperCase
00007ff806660077 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff80665fe18 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff8065e6c93 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff80665ff51 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff806660625 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff8066605d3 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff8065a3f9f (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff8066605f5 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff80667d14e (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff806683ab6 (__TEXT,__text) external __Z15ulocimp_getNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00007ff806683b5b (__TEXT,__text) external __Z15ulocimp_getNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00007ff806684fec (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00007ff8066839c8 (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00007ff806683a61 (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
00007ff806682b41 (__TEXT,__text) external __Z17ulocimp_getRegionNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00007ff806682a92 (__TEXT,__text) external __Z17ulocimp_getScriptNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00007ff806685128 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00007ff806682c9d (__TEXT,__text) external __Z18ulocimp_getSubtagsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEPN3icu10CharStringES6_S6_S6_PPKcR10UErrorCode
