00007ff8400abe00 (__DATA,__data) non-external _C
00007ff8400b8a88 (__DATA,__bss) non-external _EMSG
00007ff8400b8a89 (__DATA,__bss) non-external _EMSG
00007ff8400adda8 (__DATA,__bss) non-external _NXArgc_pointer
00007ff8400adda0 (__DATA,__bss) non-external _NXArgv_pointer
00007ff800b5a962 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff800b5a999 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff800b5aa99 (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800b5aa5a (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff8400768b0 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff8400768d0 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840076978 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840076bc0 (__DATA_CONST,__const) non-external __C_time_locale
00007ff8400ac690 (__DATA,__data) external __CurrentRuneLocale
00007ff8400acf18 (__DATA,__constrw) external __DefaultRuneLocale
00007ff8400adba0 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff800b5cb29 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
00007ff800b5cb8f (__TEXT,__text) non-external __EUC_CN_mbrtowc
00007ff800b5cbd5 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00007ff800b5cbb3 (__TEXT,__text) non-external __EUC_CN_wcrtomb
00007ff800b5cbdf (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00007ff800b5ccc3 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
00007ff800b5cd29 (__TEXT,__text) non-external __EUC_JP_mbrtowc
00007ff800b5cd7e (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
00007ff800b5cd53 (__TEXT,__text) non-external __EUC_JP_wcrtomb
00007ff800b5cd88 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00007ff800b5cc03 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
00007ff800b5cc69 (__TEXT,__text) non-external __EUC_KR_mbrtowc
00007ff800b5ccaf (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
00007ff800b5cc8d (__TEXT,__text) non-external __EUC_KR_wcrtomb
00007ff800b5ccb9 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00007ff800b5cdf8 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
00007ff800b5ce5e (__TEXT,__text) non-external __EUC_TW_mbrtowc
00007ff800b5ceb0 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
00007ff800b5ce88 (__TEXT,__text) non-external __EUC_TW_wcrtomb
00007ff800b5ceba (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
00007ff800b5cd92 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff800b5cec4 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00007ff800b5cbe9 (__TEXT,__text) non-external __EUC_mbsinit
00007ff800b5cfe1 (__TEXT,__text) non-external __EUC_wcrtomb_impl
00007ff800b847b4 (__TEXT,__text) external __Exit
00007ff800b5d1a4 (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff800b5d1db (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff800b5d415 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff800b5d324 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff800b5d42e (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff800b5d465 (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff800b5d5a6 (__TEXT,__text) non-external __GB2312_mbsinit
00007ff800b5d567 (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800b5d5bf (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff800b5d5f6 (__TEXT,__text) non-external __GBK_mbrtowc
00007ff800b5d6f6 (__TEXT,__text) non-external __GBK_mbsinit
00007ff800b5d6b7 (__TEXT,__text) non-external __GBK_wcrtomb
00007ff800b5ecc9 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff800b5ed00 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff800b5ef2c (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff800b5edcf (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff800b4324a (__TEXT,__text) external __NSGetArgc
00007ff800b4323d (__TEXT,__text) external __NSGetArgv
00007ff800b43257 (__TEXT,__text) external __NSGetEnviron
00007ff800b43271 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff800b43264 (__TEXT,__text) external __NSGetProgname
00007ff8400b8b88 (__DATA,__common) external __PathLocale
00007ff800b8d9e4 (__TEXT,__text) external __Read_RuneMagi
00007ff800b84007 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff800b84054 (__TEXT,__text) non-external __UTF2_mbrtowc
