                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
0000000200236bf8 (__TEXT,__text) external __crypt_blowfish_rn
0000000200239048 (__TEXT,__text) external __crypt_gensalt_blowfish_rn
0000000200236ba4 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
000000020023b96c (__TEXT,__text) external _apr_base64_decode
000000020023b994 (__TEXT,__text) external _apr_base64_decode_binary
000000020023b928 (__TEXT,__text) external _apr_base64_decode_len
000000020023bae8 (__TEXT,__text) external _apr_base64_encode
000000020023baec (__TEXT,__text) external _apr_base64_encode_binary
000000020023bac0 (__TEXT,__text) external _apr_base64_encode_len
0000000200235b14 (__TEXT,__text) external _apr_bcrypt_encode
00000002002317e8 (__TEXT,__text) external _apr_brigade_cleanup
00000002002318bc (__TEXT,__text) external _apr_brigade_create
0000000200231858 (__TEXT,__text) external _apr_brigade_destroy
0000000200231c18 (__TEXT,__text) external _apr_brigade_flatten
0000000200232758 (__TEXT,__text) external _apr_brigade_insert_file
0000000200231b64 (__TEXT,__text) external _apr_brigade_length
0000000200231a38 (__TEXT,__text) external _apr_brigade_partition
0000000200231ce8 (__TEXT,__text) external _apr_brigade_pflatten
00000002002325fc (__TEXT,__text) external _apr_brigade_printf
0000000200232544 (__TEXT,__text) external _apr_brigade_putc
0000000200232570 (__TEXT,__text) external _apr_brigade_puts
00000002002325d0 (__TEXT,__text) external _apr_brigade_putstrs
0000000200231a30 (__TEXT,__text) external _apr_brigade_split
0000000200231938 (__TEXT,__text) external _apr_brigade_split_ex
0000000200231d64 (__TEXT,__text) external _apr_brigade_split_line
00000002002320a4 (__TEXT,__text) external _apr_brigade_to_iovec
0000000200232628 (__TEXT,__text) external _apr_brigade_vprintf
0000000200232154 (__TEXT,__text) external _apr_brigade_vputstrs
0000000200231ef4 (__TEXT,__text) external _apr_brigade_write
0000000200232250 (__TEXT,__text) external _apr_brigade_writev
000000020023292c (__TEXT,__text) external _apr_bucket_alloc
00000002002327e0 (__TEXT,__text) external _apr_bucket_alloc_create
0000000200232868 (__TEXT,__text) external _apr_bucket_alloc_create_ex
00000002002328d4 (__TEXT,__text) external _apr_bucket_alloc_destroy
00000002002327d0 (__TEXT,__text) external _apr_bucket_copy_notimpl
00000002002327dc (__TEXT,__text) external _apr_bucket_destroy_noop
0000000200232a28 (__TEXT,__text) external _apr_bucket_eos_create
0000000200232a14 (__TEXT,__text) external _apr_bucket_eos_make
0000000200232b04 (__TEXT,__text) external _apr_bucket_file_create
0000000200232ba4 (__TEXT,__text) external _apr_bucket_file_enable_mmap
0000000200232a8c (__TEXT,__text) external _apr_bucket_file_make
0000000200232f00 (__TEXT,__text) external _apr_bucket_flush_create
0000000200232eec (__TEXT,__text) external _apr_bucket_flush_make
00000002002329e4 (__TEXT,__text) external _apr_bucket_free
0000000200233024 (__TEXT,__text) external _apr_bucket_heap_create
0000000200232f64 (__TEXT,__text) external _apr_bucket_heap_make
000000020023399c (__TEXT,__text) external _apr_bucket_immortal_create
0000000200233988 (__TEXT,__text) external _apr_bucket_immortal_make
00000002002331b4 (__TEXT,__text) external _apr_bucket_mmap_create
000000020023310c (__TEXT,__text) external _apr_bucket_mmap_make
00000002002333b4 (__TEXT,__text) external _apr_bucket_pipe_create
000000020023339c (__TEXT,__text) external _apr_bucket_pipe_make
00000002002336b8 (__TEXT,__text) external _apr_bucket_pool_create
00000002002335b4 (__TEXT,__text) external _apr_bucket_pool_make
00000002002327b0 (__TEXT,__text) external _apr_bucket_setaside_noop
00000002002327b8 (__TEXT,__text) external _apr_bucket_setaside_notimpl
000000020023383c (__TEXT,__text) external _apr_bucket_shared_copy
0000000200233870 (__TEXT,__text) external _apr_bucket_shared_destroy
0000000200233884 (__TEXT,__text) external _apr_bucket_shared_make
0000000200233808 (__TEXT,__text) external _apr_bucket_shared_split
0000000200233898 (__TEXT,__text) external _apr_bucket_simple_copy
00000002002338f0 (__TEXT,__text) external _apr_bucket_simple_split
0000000200233ae0 (__TEXT,__text) external _apr_bucket_socket_create
0000000200233ac8 (__TEXT,__text) external _apr_bucket_socket_make
00000002002327c4 (__TEXT,__text) external _apr_bucket_split_notimpl
0000000200233a14 (__TEXT,__text) external _apr_bucket_transient_create
0000000200233a00 (__TEXT,__text) external _apr_bucket_transient_make
0000000211089be0 (__AUTH_CONST,__const) external _apr_bucket_type_eos
0000000211089c18 (__AUTH_CONST,__const) external _apr_bucket_type_file
0000000211089c50 (__AUTH_CONST,__const) external _apr_bucket_type_flush
0000000211089c88 (__AUTH_CONST,__const) external _apr_bucket_type_heap
0000000211089d68 (__AUTH_CONST,__const) external _apr_bucket_type_immortal
0000000211089cc0 (__AUTH_CONST,__const) external _apr_bucket_type_mmap
0000000211089cf8 (__AUTH_CONST,__const) external _apr_bucket_type_pipe
0000000211089d30 (__AUTH_CONST,__const) external _apr_bucket_type_pool
0000000211089dd8 (__AUTH_CONST,__const) external _apr_bucket_type_socket
0000000211089da0 (__AUTH_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
000000020e2f5460 (__DATA,__common) external _apr_current_hooking_module
000000020023f11c (__TEXT,__text) external _apr_date_checkmask
000000020023f264 (__TEXT,__text) external _apr_date_parse_http
000000020023f640 (__TEXT,__text) external _apr_date_parse_rfc
0000000200239890 (__TEXT,__text) external _apr_dbd_check_conn
00000002002398b0 (__TEXT,__text) external _apr_dbd_close
000000020023a060 (__TEXT,__text) external _apr_dbd_datum_get
00000002002398a0 (__TEXT,__text) external _apr_dbd_error
0000000200239a44 (__TEXT,__text) external _apr_dbd_escape
00000002002397a8 (__TEXT,__text) external _apr_dbd_get_driver
0000000200239a24 (__TEXT,__text) external _apr_dbd_get_entry
0000000200239a34 (__TEXT,__text) external _apr_dbd_get_name
0000000200239a0c (__TEXT,__text) external _apr_dbd_get_row
0000000200239684 (__TEXT,__text) external _apr_dbd_init
000000020023966c (__TEXT,__text) external _apr_dbd_mutex_lock
0000000200239678 (__TEXT,__text) external _apr_dbd_mutex_unlock
000000020023999c (__TEXT,__text) external _apr_dbd_name
00000002002399a4 (__TEXT,__text) external _apr_dbd_native_handle
00000002002399f4 (__TEXT,__text) external _apr_dbd_num_cols
0000000200239a00 (__TEXT,__text) external _apr_dbd_num_tuples
00000002002398bc (__TEXT,__text) external _apr_dbd_open
00000002002397ec (__TEXT,__text) external _apr_dbd_open_ex
0000000200239f98 (__TEXT,__text) external _apr_dbd_pbquery
0000000200239fb4 (__TEXT,__text) external _apr_dbd_pbselect
0000000200239ed0 (__TEXT,__text) external _apr_dbd_pquery
0000000200239a58 (__TEXT,__text) external _apr_dbd_prepare
0000000200239eec (__TEXT,__text) external _apr_dbd_pselect
0000000200239fd4 (__TEXT,__text) external _apr_dbd_pvbquery
000000020023a018 (__TEXT,__text) external _apr_dbd_pvbselect
0000000200239f0c (__TEXT,__text) external _apr_dbd_pvquery
0000000200239f50 (__TEXT,__text) external _apr_dbd_pvselect
00000002002399c4 (__TEXT,__text) external _apr_dbd_query
00000002002399d8 (__TEXT,__text) external _apr_dbd_select
00000002002399b0 (__TEXT,__text) external _apr_dbd_set_dbname
0000000211089e68 (__AUTH_CONST,__const) external _apr_dbd_sqlite3_driver
0000000200239934 (__TEXT,__text) external _apr_dbd_transaction_end
0000000200239980 (__TEXT,__text) external _apr_dbd_transaction_mode_get
000000020023998c (__TEXT,__text) external _apr_dbd_transaction_mode_set
00000002002398c4 (__TEXT,__text) external _apr_dbd_transaction_start
000000020023a240 (__TEXT,__text) external _apr_dbm_close
000000020023a264 (__TEXT,__text) external _apr_dbm_delete
000000020023a270 (__TEXT,__text) external _apr_dbm_exists
000000020023a24c (__TEXT,__text) external _apr_dbm_fetch
000000020023a27c (__TEXT,__text) external _apr_dbm_firstkey
000000020023a294 (__TEXT,__text) external _apr_dbm_freedatum
000000020023a364 (__TEXT,__text) external _apr_dbm_get_usednames
000000020023a2ec (__TEXT,__text) external _apr_dbm_get_usednames_ex
000000020023a2a0 (__TEXT,__text) external _apr_dbm_geterror
000000020023a288 (__TEXT,__text) external _apr_dbm_nextkey
