00007ffa1837ff0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa1837feed (__TEXT,__text) external _CGLSetCurrentContext
00007ffa18375daa (__TEXT,__text) external _glAccum
00007ffa1837c0e8 (__TEXT,__text) external _glActiveShaderProgram
00007ffa1837e7f7 (__TEXT,__text) external _glActiveStencilFaceEXT
00007ffa18378bf2 (__TEXT,__text) external _glActiveTexture
00007ffa1837d4fa (__TEXT,__text) external _glActiveTextureARB
00007ffa18375dc3 (__TEXT,__text) external _glAlphaFunc
00007ffa18375ddc (__TEXT,__text) external _glAreTexturesResident
00007ffa18375dfb (__TEXT,__text) external _glArrayElement
00007ffa1837e04e (__TEXT,__text) external _glAttachObjectARB
00007ffa18379fe6 (__TEXT,__text) external _glAttachShader
00007ffa18375e14 (__TEXT,__text) external _glBegin
00007ffa1837abcf (__TEXT,__text) external _glBeginConditionalRender
00007ffa1837fdfe (__TEXT,__text) external _glBeginConditionalRenderNV
00007ffa183797b4 (__TEXT,__text) external _glBeginQuery
00007ffa1837dd77 (__TEXT,__text) external _glBeginQueryARB
00007ffa1837bebd (__TEXT,__text) external _glBeginQueryIndexed
00007ffa1837aae1 (__TEXT,__text) external _glBeginTransformFeedback
00007ffa1837f03a (__TEXT,__text) external _glBeginTransformFeedbackEXT
00007ffa1837a4af (__TEXT,__text) external _glBindAttribLocation
00007ffa1837e48a (__TEXT,__text) external _glBindAttribLocationARB
00007ffa18379854 (__TEXT,__text) external _glBindBuffer
00007ffa1837de17 (__TEXT,__text) external _glBindBufferARB
00007ffa1837ab3b (__TEXT,__text) external _glBindBufferBase
00007ffa1837f019 (__TEXT,__text) external _glBindBufferBaseEXT
00007ffa1837eff5 (__TEXT,__text) external _glBindBufferOffsetEXT
00007ffa1837ab14 (__TEXT,__text) external _glBindBufferRange
00007ffa1837efce (__TEXT,__text) external _glBindBufferRangeEXT
00007ffa1837af19 (__TEXT,__text) external _glBindFragDataLocation
00007ffa1837f58a (__TEXT,__text) external _glBindFragDataLocationEXT
00007ffa1837b619 (__TEXT,__text) external _glBindFragDataLocationIndexed
00007ffa1837a75f (__TEXT,__text) external _glBindFramebuffer
00007ffa1837ed64 (__TEXT,__text) external _glBindFramebufferEXT
00007ffa1837cba9 (__TEXT,__text) external _glBindProgramARB
00007ffa1837c128 (__TEXT,__text) external _glBindProgramPipeline
00007ffa1837a6a1 (__TEXT,__text) external _glBindRenderbuffer
00007ffa1837eca6 (__TEXT,__text) external _glBindRenderbufferEXT
00007ffa1837b6b6 (__TEXT,__text) external _glBindSampler
00007ffa18375e2d (__TEXT,__text) external _glBindTexture
00007ffa1837bdd8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa1837a9a6 (__TEXT,__text) external _glBindVertexArray
00007ffa1837faae (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa18375e48 (__TEXT,__text) external _glBitmap
00007ffa183785c2 (__TEXT,__text) external _glBlendColor
00007ffa1837ec36 (__TEXT,__text) external _glBlendColorEXT
00007ffa183785dc (__TEXT,__text) external _glBlendEquation
00007ffa1837ec50 (__TEXT,__text) external _glBlendEquationEXT
00007ffa1837a58f (__TEXT,__text) external _glBlendEquationSeparate
00007ffa1837fd80 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa1837ec6c (__TEXT,__text) external _glBlendEquationSeparateEXT
