00000001d8a90fc0 (__DATA,__data) external _NDR_record
00000001803ddc08 (__TEXT,__text) non-external __Xexception_raise
00000001803ddaf0 (__TEXT,__text) non-external __Xexception_raise_state
00000001803dd988 (__TEXT,__text) non-external __Xexception_raise_state_identity
00000001803ccd18 (__TEXT,__text) external _____sigwait_nocancel
00000001803f2848 (__TEXT,__const) external ____kernelVersionNumber
00000001803f2810 (__TEXT,__const) external ____kernelVersionString
00000001803ccd44 (__TEXT,__text) external ___abort_with_payload
00000001803c8800 (__TEXT,__text) external ___accept
00000001803ccd70 (__TEXT,__text) external ___accept_nocancel
00000001803ccd9c (__TEXT,__text) external ___access_extended
00000001803ccdc8 (__TEXT,__text) external ___aio_suspend_nocancel
00000001803c7c2c (__TEXT,__text) external ___bind
00000001803c3cd4 (__TEXT,__text) external ___bsdthread_create
00000001803c1c70 (__TEXT,__text) external ___bsdthread_ctl
00000001803c5db8 (__TEXT,__text) external ___bsdthread_register
00000001803c2d64 (__TEXT,__text) external ___bsdthread_terminate
00000001803cc570 (__TEXT,__text) external ___carbon_delete
00000001803ccdf4 (__TEXT,__text) external ___channel_get_info
00000001803cce20 (__TEXT,__text) external ___channel_get_opt
00000001803cce4c (__TEXT,__text) external ___channel_open
00000001803cce78 (__TEXT,__text) external ___channel_set_opt
00000001803ccea4 (__TEXT,__text) external ___channel_sync
00000001803c3c1c (__TEXT,__text) external ___chmod
00000001803c5854 (__TEXT,__text) external ___chmod_extended
00000001803c1754 (__TEXT,__text) external ___close_nocancel
00000001803cced0 (__TEXT,__text) external ___coalition
00000001803ccefc (__TEXT,__text) external ___coalition_info
00000001803ccf28 (__TEXT,__text) external ___coalition_ledger
00000001803c1dc8 (__TEXT,__text) external ___commpage_gettimeofday
00000001803c1dd0 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001803c4444 (__TEXT,__text) external ___connect
00000001803c42ac (__TEXT,__text) external ___connect_nocancel
00000001803ccf54 (__TEXT,__text) external ___copyfile
00000001803ccf80 (__TEXT,__text) external ___crossarch_trap
00000001803c09bc (__TEXT,__text) external ___csrctl
00000001803d5b7c (__TEXT,__text) external ___darwin_check_fd_set_overflow
00000001803ccfac (__TEXT,__text) external ___debug_syscall_reject
00000001803ccfd8 (__TEXT,__text) external ___debug_syscall_reject_config
00000001803cc59c (__TEXT,__text) external ___delete
00000001803c2d38 (__TEXT,__text) external ___disable_threadsignal
00000001803c08ec (__TEXT,__text) external ___error
00000001803cd004 (__TEXT,__text) external ___execve
00000001803c760c (__TEXT,__text) external ___exit
00000001803c4700 (__TEXT,__text) external ___fchmod
00000001803c5960 (__TEXT,__text) external ___fchmod_extended
00000001803c0a6c (__TEXT,__text) external ___fcntl
00000001803c4254 (__TEXT,__text) external ___fcntl_nocancel
00000001803c79e8 (__TEXT,__text) external ___fork
00000001803cd030 (__TEXT,__text) external ___fs_snapshot
00000001803ce3e0 (__TEXT,__text) external ___fstat
00000001803c5934 (__TEXT,__text) external ___fstat64_extended
00000001803cd05c (__TEXT,__text) external ___fstat_extended
00000001803ce438 (__TEXT,__text) external ___fstatat
00000001803ce490 (__TEXT,__text) external ___fstatfs
00000001803cd088 (__TEXT,__text) external ___fsync_nocancel
00000001803c95d8 (__TEXT,__text) external ___get_remove_counter
00000001803c0908 (__TEXT,__text) external ___getattrlist
00000001803c1b94 (__TEXT,__text) external ___getdirentries64
00000001803ce598 (__TEXT,__text) external ___getfsstat
00000001803c57fc (__TEXT,__text) external ___gethostuuid
00000001803cbf08 (__TEXT,__text) external ___getlogin
00000001803c45d8 (__TEXT,__text) external ___getpeername
00000001803c0444 (__TEXT,__text) external ___getpid
00000001803c22a0 (__TEXT,__text) external ___getrlimit
00000001803cd0b4 (__TEXT,__text) external ___getsgroups
00000001803c7af4 (__TEXT,__text) external ___getsockname
00000001803c1a54 (__TEXT,__text) external ___gettid
00000001803c3d58 (__TEXT,__text) external ___gettimeofday
00000001803c3d2c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00000001803cd0e0 (__TEXT,__text) external ___getwgroups
