                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff80fc31c13 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff80fc2e991 (__TEXT,__text) external _FSp_profile_init
00007ff80fc2e99e (__TEXT,__text) external _FSp_profile_init_path
00007ff80fc31c1e (__TEXT,__text) external _FSp_put_svc_key
00007ff80fc31c29 (__TEXT,__text) external _FSp_read_service_key
00007ff842b03b20 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff842b03b40 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff842b03af0 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff842b03ad0 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff842b03a90 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff842b03ab0 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff842b03a70 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff842b03bd0 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff842b03b98 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff842b03b60 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff842b03ba8 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff842b03b88 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff80fc31d7b (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff80fc31d70 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff80fc31cef (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007ff80fc31c60 (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007ff80fc31c8c (__TEXT,__text) external _KClientAddServerMapDeprecated
00007ff80fc31f6a (__TEXT,__text) external _KClientAddServiceKey
00007ff80fc31c34 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007ff80fc31fcd (__TEXT,__text) external _KClientDecrypt
00007ff80fc31dff (__TEXT,__text) external _KClientDecryptCompat
00007ff80fc31cfa (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007ff80fc31c6b (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007ff80fc31c97 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007ff80fc31cd9 (__TEXT,__text) external _KClientDeleteSessionDeprecated
