00007ffb1ff61257 (__TEXT,__text) non-external _Done_iODBC
00007ffb1ff7f080 (__TEXT,__const) non-external _FunctionNumbers
00007ffb1ff7e05a (__TEXT,__text) non-external _GetPrivateProfileString
00007ffb1ff61139 (__TEXT,__text) non-external _Init_iODBC
00007ffb42db494c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffb1ff5f7df (__TEXT,__text) external _SQLAllocConnect
00007ffb1ff5f6d4 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffb1ff610c4 (__TEXT,__text) external _SQLAllocEnv
00007ffb1ff60f16 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffb1ff6b7c4 (__TEXT,__text) external _SQLAllocHandle
00007ffb1ff6b8b9 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffb1ff6b538 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffb1ff64255 (__TEXT,__text) external _SQLAllocStmt
00007ffb1ff63cc9 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffb1ff693cd (__TEXT,__text) external _SQLBindCol
00007ffb1ff71868 (__TEXT,__text) external _SQLBindParam
00007ffb1ff686bb (__TEXT,__text) external _SQLBindParameter
00007ffb1ff5c416 (__TEXT,__text) external _SQLBrowseConnect
00007ffb1ff5c581 (__TEXT,__text) external _SQLBrowseConnectA
00007ffb1ff5c6ec (__TEXT,__text) external _SQLBrowseConnectW
00007ffb1ff5bda6 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffb1ff71343 (__TEXT,__text) external _SQLBulkOperations
00007ffb1ff6517c (__TEXT,__text) external _SQLCancel
00007ffb1ff71894 (__TEXT,__text) external _SQLCloseCursor
00007ffb1ff70d14 (__TEXT,__text) external _SQLColAttribute
00007ffb1ff70ee7 (__TEXT,__text) external _SQLColAttributeA
00007ffb1ff710ba (__TEXT,__text) external _SQLColAttributeW
00007ffb1ff705d8 (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffb1ff6afbf (__TEXT,__text) external _SQLColAttributes
00007ffb1ff6b192 (__TEXT,__text) external _SQLColAttributesA
00007ffb1ff6b365 (__TEXT,__text) external _SQLColAttributesW
00007ffb1ff6ab12 (__TEXT,__text) non-external _SQLColAttributes_Internal
00007ffb1ff5489b (__TEXT,__text) external _SQLColumnPrivileges
00007ffb1ff54a87 (__TEXT,__text) external _SQLColumnPrivilegesA
00007ffb1ff54c73 (__TEXT,__text) external _SQLColumnPrivilegesW
00007ffb1ff545e4 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
