                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018ca6390c (__TEXT,__text) external __cg_jcopy_block_row
000000018ca638b4 (__TEXT,__text) external __cg_jcopy_sample_rows
000000018ca7ee8c (__TEXT,__text) external __cg_jinit_1pass_quantizer
000000018ca5ac70 (__TEXT,__text) external __cg_jinit_2pass_quantizer
000000018ca62e00 (__TEXT,__text) external __cg_jinit_c_coef_controller
000000018ca63938 (__TEXT,__text) external __cg_jinit_c_main_controller
000000018ca6d698 (__TEXT,__text) external __cg_jinit_c_master_control
000000018ca63b7c (__TEXT,__text) external __cg_jinit_c_prep_controller
000000018ca59bd8 (__TEXT,__text) external __cg_jinit_color_converter
000000018ca62340 (__TEXT,__text) external __cg_jinit_color_deconverter
000000018ca59a60 (__TEXT,__text) external __cg_jinit_compress_master
000000018ca6c670 (__TEXT,__text) external __cg_jinit_d_coef_controller
000000018ca6f10c (__TEXT,__text) external __cg_jinit_d_main_controller
000000018ca6fd60 (__TEXT,__text) external __cg_jinit_d_post_controller
000000018ca76d5c (__TEXT,__text) external __cg_jinit_downsampler
000000018ca61868 (__TEXT,__text) external __cg_jinit_forward_dct
000000018ca781f4 (__TEXT,__text) external __cg_jinit_huff_decoder
000000018ca7bfa8 (__TEXT,__text) external __cg_jinit_huff_encoder
000000018ca64c3c (__TEXT,__text) external __cg_jinit_input_controller
000000018ca5a4e8 (__TEXT,__text) external __cg_jinit_inverse_dct
000000018ca5c254 (__TEXT,__text) external __cg_jinit_marker_reader
000000018ca7aae4 (__TEXT,__text) external __cg_jinit_marker_writer
000000018ca6eb10 (__TEXT,__text) external __cg_jinit_master_decompress
000000018ca800fc (__TEXT,__text) external __cg_jinit_memory_mgr
000000018ca77b44 (__TEXT,__text) external __cg_jinit_merged_upsampler
000000018ca6f7e4 (__TEXT,__text) external __cg_jinit_upsampler
000000018ca7689c (__TEXT,__text) external __cg_jpeg_CreateCompress
000000018ca64308 (__TEXT,__text) external __cg_jpeg_CreateDecompress
000000018ca5e5b4 (__TEXT,__text) external __cg_jpeg_abort
000000018ca769c8 (__TEXT,__text) external __cg_jpeg_abort_compress
000000018ca64410 (__TEXT,__text) external __cg_jpeg_abort_decompress
000000018ca6baac (__TEXT,__text) external __cg_jpeg_add_quant_table
000000018ca5e670 (__TEXT,__text) external __cg_jpeg_alloc_huff_table
000000018ca5e644 (__TEXT,__text) external __cg_jpeg_alloc_quant_table
000000018ca6e75c (__TEXT,__text) external __cg_jpeg_calc_output_dimensions
000000018ca644ac (__TEXT,__text) external __cg_jpeg_consume_input
000000018ca7a524 (__TEXT,__text) external __cg_jpeg_copy_critical_parameters
000000018ca6bee8 (__TEXT,__text) external __cg_jpeg_default_colorspace
000000018ca5e608 (__TEXT,__text) external __cg_jpeg_destroy
000000018ca769c4 (__TEXT,__text) external __cg_jpeg_destroy_compress
000000018ca6440c (__TEXT,__text) external __cg_jpeg_destroy_decompress
000000018ca7fb20 (__TEXT,__text) external __cg_jpeg_fdct_float
000000018ca7a108 (__TEXT,__text) external __cg_jpeg_fdct_ifast
000000018ca70704 (__TEXT,__text) external __cg_jpeg_fdct_islow
000000018ca76a1c (__TEXT,__text) external __cg_jpeg_finish_compress
000000018ca64834 (__TEXT,__text) external __cg_jpeg_finish_decompress
000000018ca7bef0 (__TEXT,__text) external __cg_jpeg_finish_output
000000018ca5fd38 (__TEXT,__text) external __cg_jpeg_free_large
000000018ca5fd28 (__TEXT,__text) external __cg_jpeg_free_small
000000018ca5fd30 (__TEXT,__text) external __cg_jpeg_get_large
000000018ca5fd20 (__TEXT,__text) external __cg_jpeg_get_small
000000018ca647dc (__TEXT,__text) external __cg_jpeg_has_multiple_scans
000000018ca6654c (__TEXT,__text) external __cg_jpeg_idct_1x1
000000018ca664b0 (__TEXT,__text) external __cg_jpeg_idct_2x2
000000018ca661c0 (__TEXT,__text) external __cg_jpeg_idct_4x4
000000018ca7037c (__TEXT,__text) external __cg_jpeg_idct_float
000000018ca61490 (__TEXT,__text) external __cg_jpeg_idct_ifast
000000018ca655c0 (__TEXT,__text) external __cg_jpeg_idct_islow
000000018ca64784 (__TEXT,__text) external __cg_jpeg_input_complete
000000018ca5fd40 (__TEXT,__text) external __cg_jpeg_mem_available
