00007ffb025a9cb2 (__TEXT,__text) non-external _DiToMD5
00007ffb025a9f32 (__TEXT,__text) non-external _DiToSHA1
00007ffb02592db9 (__TEXT,__text) external _DriverExecutableMain
00007ffb40304200 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb02592720 (__TEXT,__text) external _IOCallOnce
00007ffb403044c0 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb403043c8 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb403045b8 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb40304768 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb0258f6d1 (__TEXT,__text) external _IODelay
00007ffb40304918 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb40304ac8 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb025933a0 (__TEXT,__text) external _IODriverKitTest
00007ffb025bac4b (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb025bac76 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb025bac99 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb025bacc4 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb025bace7 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb025bad0a (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb025bad2d (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb025bad50 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb40304c78 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb40304e28 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb0258f67d (__TEXT,__text) external _IOFree
00007ffb0258f6b7 (__TEXT,__text) external _IOFreeData
00007ffb02593385 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb403056f8 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb40305008 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb0258f6e4 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb02592408 (__TEXT,__text) external _IOLockAlloc
00007ffb02592461 (__TEXT,__text) external _IOLockAssert
00007ffb025ba6c2 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffb0259242d (__TEXT,__text) external _IOLockFree
00007ffb02592443 (__TEXT,__text) external _IOLockLock
00007ffb0259244d (__TEXT,__text) external _IOLockTryLock
00007ffb02592457 (__TEXT,__text) external _IOLockUnlock
00007ffb0258f480 (__TEXT,__text) external _IOLog
00007ffb0258f340 (__TEXT,__text) external _IOLogBuffer
00007ffb0258f51e (__TEXT,__text) external _IOLogv
00007ffb0258f627 (__TEXT,__text) external _IOMalloc
00007ffb0258f687 (__TEXT,__text) external _IOMallocData
00007ffb0258f647 (__TEXT,__text) external _IOMallocTyped
00007ffb0258f651 (__TEXT,__text) external _IOMallocZero
00007ffb0258f69b (__TEXT,__text) external _IOMallocZeroData
00007ffb0258f668 (__TEXT,__text) external _IOMallocZeroTyped
00007ffb403051b8 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffb40305368 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffb0258f764 (__TEXT,__text) external _IOParseBootArgNumber
00007ffb0258fbd8 (__TEXT,__text) external _IOParseBootArgString
00007ffb0259162d (__TEXT,__text) external _IORPCMessageFromMach
00007ffb025ba45d (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffb025ba492 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffb02592674 (__TEXT,__text) external _IORWLockAlloc
00007ffb025ba7da (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffb025926b7 (__TEXT,__text) external _IORWLockFree
00007ffb025926de (__TEXT,__text) external _IORWLockRead
00007ffb025ba7fd (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffb0259270a (__TEXT,__text) external _IORWLockUnlock
00007ffb025ba843 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffb025926f4 (__TEXT,__text) external _IORWLockWrite
00007ffb025ba820 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffb025924e4 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffb0259251a (__TEXT,__text) external _IORecursiveConditionLockFree
