00000001d83daf20 (__DATA,__data) external _NDR_record
00000001b720b478 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001b7210b0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001b720b4a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001b7210b38 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001b7210b64 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001b7210b90 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001b7210bb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001b7210bd8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001b72140c0 (__TEXT,__text) non-external __Xexception_raise
00000001b7214190 (__TEXT,__text) non-external __Xexception_raise_state
00000001b72142b0 (__TEXT,__text) non-external __Xexception_raise_state_identity
00000001b72282b8 (__TEXT,__text) external _____old_semwait_signal_nocancel
00000001b72282e4 (__TEXT,__text) external _____sigwait_nocancel
00000001b722b628 (__TEXT,__const) external ____kernelVersionNumber
00000001b722b5f0 (__TEXT,__const) external ____kernelVersionString
00000001b7228310 (__TEXT,__text) external ___abort_with_payload
00000001b720973c (__TEXT,__text) external ___accept
00000001b722833c (__TEXT,__text) external ___accept_nocancel
00000001b7208d54 (__TEXT,__text) external ___access_extended
00000001b7228368 (__TEXT,__text) external ___aio_suspend_nocancel
00000001b7207c4c (__TEXT,__text) external ___bind
00000001b7200e5c (__TEXT,__text) external ___bsdthread_create
00000001b71fcd84 (__TEXT,__text) external ___bsdthread_ctl
00000001b720436c (__TEXT,__text) external ___bsdthread_register
00000001b71fefbc (__TEXT,__text) external ___bsdthread_terminate
00000001b72132f0 (__TEXT,__text) external ___carbon_delete
00000001b7207e48 (__TEXT,__text) external ___channel_get_info
00000001b7228394 (__TEXT,__text) external ___channel_get_opt
00000001b7209acc (__TEXT,__text) external ___channel_open
00000001b72283c0 (__TEXT,__text) external ___channel_set_opt
00000001b72000a8 (__TEXT,__text) external ___channel_sync
00000001b71fe9f0 (__TEXT,__text) external ___chmod
00000001b72283ec (__TEXT,__text) external ___chmod_extended
00000001b71ff004 (__TEXT,__text) external ___close_nocancel
00000001b72083cc (__TEXT,__text) external ___coalition
00000001b7203a00 (__TEXT,__text) external ___coalition_info
00000001b7228418 (__TEXT,__text) external ___coalition_ledger
00000001b71fcbc0 (__TEXT,__text) external ___commpage_gettimeofday
00000001b71fc200 (__TEXT,__text) non-external (was a private external) ___commpage_gettimeofday_internal
00000001b7201ec8 (__TEXT,__text) external ___connect
00000001b7206560 (__TEXT,__text) external ___connect_nocancel
00000001b7228444 (__TEXT,__text) external ___copyfile
00000001b7228470 (__TEXT,__text) external ___csrctl
00000001b7200490 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00000001b722ac58 (__TEXT,__text) non-external ___darwin_check_fd_set_overflow.cold.1
00000001b722849c (__TEXT,__text) external ___debug_syscall_reject
00000001b72284c8 (__TEXT,__text) external ___delete
00000001b71fd3f8 (__TEXT,__text) external ___disable_threadsignal
00000001b71fca50 (__TEXT,__text) external ___error
00000001b7208c30 (__TEXT,__text) external ___execve
00000001b7201ef4 (__TEXT,__text) external ___exit
00000001b7201aa4 (__TEXT,__text) external ___fchmod
00000001b7203960 (__TEXT,__text) external ___fchmod_extended
00000001b71fe9c4 (__TEXT,__text) external ___fcntl
00000001b71ff7b8 (__TEXT,__text) external ___fcntl_nocancel
00000001b7202b5c (__TEXT,__text) external ___fork
00000001b72284f4 (__TEXT,__text) external ___fs_snapshot
00000001b7207510 (__TEXT,__text) external ___fstat64_extended
00000001b7228520 (__TEXT,__text) external ___fstat_extended
00000001b722854c (__TEXT,__text) external ___fsync_nocancel
00000001b7212300 (__TEXT,__text) external ___get_remove_counter
00000001b71fccec (__TEXT,__text) external ___getattrlist
00000001b71fdb28 (__TEXT,__text) external ___getdirentries64
00000001b7228578 (__TEXT,__text) external ___gethostuuid
00000001b72285a4 (__TEXT,__text) external ___getlogin
00000001b7209970 (__TEXT,__text) external ___getpeername
00000001b71fcbc8 (__TEXT,__text) external ___getpid
00000001b7208100 (__TEXT,__text) external ___getrlimit
00000001b72285d0 (__TEXT,__text) external ___getsgroups
00000001b72285fc (__TEXT,__text) external ___getsockname
00000001b71fd4ac (__TEXT,__text) external ___gettid
00000001b71fdc64 (__TEXT,__text) external ___gettimeofday
00000001b71fdc38 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00000001b7228628 (__TEXT,__text) external ___getwgroups
00000001b720297c (__TEXT,__text) external ___guarded_open_dprotected_np
00000001b72027b0 (__TEXT,__text) external ___guarded_open_np
