00007ff80366f6a1 (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff80366f663 (__TEXT,__text) external _CreateLSTMData
00007ff80366f518 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff80366f841 (__TEXT,__text) external _DeleteLSTMData
00007ff80366f872 (__TEXT,__text) external _LSTMDataName
00007ff80364fe28 (__TEXT,__text) external _T_CString_int64ToString
00007ff80364fd89 (__TEXT,__text) external _T_CString_integerToString
00007ff80364feca (__TEXT,__text) external _T_CString_stringToInteger
00007ff80364fd29 (__TEXT,__text) external _T_CString_toLowerCase
00007ff80364fd59 (__TEXT,__text) external _T_CString_toUpperCase
00007ff8036b464d (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff8036b4405 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff8036b4306 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff8036b4523 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff8036b4bee (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff8036b4b9c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff8036b43ff (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff8036b4bbe (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff8036d2a70 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff803701a05 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff803859029 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff803859683 (__TEXT,__text) external __Z35uspoof_getBidiSkeletonUnicodeStringPK13USpoofChecker14UBiDiDirectionRKN3icu13UnicodeStringERS4_P10UErrorCode
00007ff803647eb0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff803647e46 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff803647f30 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff803647f24 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff803647e40 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff803647e3a (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00007ff803647e30 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00007ff80372980c (__TEXT,__text) external __ZN3icu10CECalendar20setTemporalMonthCodeEPKcR10UErrorCode
00007ff80372965a (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
00007ff803729708 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00007ff803729594 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
00007ff8037295e4 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00007ff803729614 (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00007ff80372960e (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00007ff803729604 (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00007ff80372961a (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00007ff80364f750 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00007ff80364f958 (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00007ff80364f3d4 (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00007ff80364f83c (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00007ff80364f8d6 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00007ff80364f89c (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00007ff80364f9c4 (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00007ff80364f5d8 (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00007ff80364f592 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00007ff80364f38a (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00007ff80364f570 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00007ff80364f240 (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00007ff80364f1e2 (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
00007ff80364f24a (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00007ff80374dd9e (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
00007ff80374dc8a (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
00007ff80374db50 (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
