                 (undefined) external _DNSServiceCreateConnection (from libsystem_dnssd)
                 (undefined) external _DNSServiceProcessResult (from libsystem_dnssd)
                 (undefined) external _DNSServiceQueryRecordWithAttribute (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefDeallocate (from libsystem_dnssd)
                 (undefined) external _DNSServiceRefSockFD (from libsystem_dnssd)
                 (undefined) external _DarwinDirectoryGetGeneration (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApply (from libsystem_darwindirectory)
                 (undefined) external _DarwinDirectoryRecordStoreApplyWithFilter (from libsystem_darwindirectory)
00007ff802eb62fb (__TEXT,__text) non-external _LI_get_thread_info
00007ff802ecc304 (__TEXT,__text) external _LI_get_thread_item
00007ff802ec07f0 (__TEXT,__text) external _LI_get_thread_list
00007ff802eb50cc (__TEXT,__text) external _LI_ils_create
00007ff802eb62d4 (__TEXT,__text) external _LI_set_thread_item
00007ff802ebaf51 (__TEXT,__text) external _LI_set_thread_list
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __DefaultRuneLocale (from libsystem_c)
00007ff802eb8025 (__TEXT,__text) non-external __LI_data_free
00007ff802eb6468 (__TEXT,__text) non-external __LI_data_init
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff802ec9c17 (__TEXT,__text) non-external ____check_groups_block_invoke
00007ff802ec9c98 (__TEXT,__text) non-external ____check_groups_block_invoke_2
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff802ecd3cc (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
00007ff802ed40c1 (__TEXT,__text) non-external ____dd_foreach_record_with_id_block_invoke
00007ff802ecd452 (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00007ff802ed4074 (__TEXT,__text) non-external ____dd_foreach_record_with_name_block_invoke
00007ff802ecd475 (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
00007ff802ed410e (__TEXT,__text) non-external ____dd_foreach_record_with_uuid_block_invoke
00007ff802ecd4dc (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke
00007ff802ecd521 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.38
00007ff802ecd566 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.40
00007ff802ecd5ab (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.42
00007ff802ecd636 (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.44
00007ff802ecd6be (__TEXT,__text) non-external ____dd_mbr_check_membership_ext_block_invoke.46
00007ff802ecd11d (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke
00007ff802ecd282 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.14
00007ff802ecd2c4 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.17
00007ff802ecd306 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.19
00007ff802ecd348 (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.21
00007ff802ecd38a (__TEXT,__text) non-external ____dd_mbr_identifier_translate_block_invoke.23
00007ff802ec0df0 (__TEXT,__text) non-external ____ds_list_block_invoke
00007ff802ec4bbc (__TEXT,__text) non-external ____extract_alias_dict_block_invoke
00007ff802ec1136 (__TEXT,__text) non-external ____extract_fstab_dict_block_invoke
00007ff802eb6d70 (__TEXT,__text) non-external ____extract_group_dict_block_invoke
00007ff802ec47c0 (__TEXT,__text) non-external ____extract_netgroup_dict_block_invoke
00007ff802ec4f28 (__TEXT,__text) non-external ____extract_network_dict_block_invoke
00007ff802ec5658 (__TEXT,__text) non-external ____extract_protocol_dict_block_invoke
00007ff802ec59f0 (__TEXT,__text) non-external ____extract_rpc_dict_block_invoke
00007ff802ec52ab (__TEXT,__text) non-external ____extract_service_dict_block_invoke
00007ff802eb6f31 (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_block_invoke
00007ff802ec450d (__TEXT,__text) non-external ____extract_string_list_from_xpc_array_index_block_invoke
