
/Volumes/macOS Mojave/System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/libGL.dylib (for architecture x86_64):
000000000000beee (__TEXT,__text) external _CGLGetCurrentContext
000000000000bed1 (__TEXT,__text) external _CGLSetCurrentContext
0000000000000ea7 (__TEXT,__text) external _glAccum
0000000000007b46 (__TEXT,__text) external _glActiveShaderProgram
000000000000a5e1 (__TEXT,__text) external _glActiveStencilFaceEXT
000000000000414c (__TEXT,__text) external _glActiveTexture
000000000000910a (__TEXT,__text) external _glActiveTextureARB
0000000000000ec2 (__TEXT,__text) external _glAlphaFunc
0000000000000edd (__TEXT,__text) external _glAreTexturesResident
0000000000000f04 (__TEXT,__text) external _glArrayElement
0000000000009d92 (__TEXT,__text) external _glAttachObjectARB
000000000000576a (__TEXT,__text) external _glAttachShader
0000000000000f1f (__TEXT,__text) external _glBegin
0000000000006423 (__TEXT,__text) external _glBeginConditionalRender
000000000000bdd1 (__TEXT,__text) external _glBeginConditionalRenderNV
0000000000004e4b (__TEXT,__text) external _glBeginQuery
0000000000009a6f (__TEXT,__text) external _glBeginQueryARB
00000000000078f2 (__TEXT,__text) external _glBeginQueryIndexed
0000000000006328 (__TEXT,__text) external _glBeginTransformFeedback
000000000000aeba (__TEXT,__text) external _glBeginTransformFeedbackEXT
0000000000005c8c (__TEXT,__text) external _glBindAttribLocation
000000000000a23c (__TEXT,__text) external _glBindAttribLocationARB
0000000000004f05 (__TEXT,__text) external _glBindBuffer
0000000000009b29 (__TEXT,__text) external _glBindBufferARB
0000000000006383 (__TEXT,__text) external _glBindBufferBase
000000000000ae92 (__TEXT,__text) external _glBindBufferBaseEXT
000000000000ae6f (__TEXT,__text) external _glBindBufferOffsetEXT
000000000000635d (__TEXT,__text) external _glBindBufferRange
000000000000ae49 (__TEXT,__text) external _glBindBufferRangeEXT
00000000000067d6 (__TEXT,__text) external _glBindFragDataLocation
000000000000b4b0 (__TEXT,__text) external _glBindFragDataLocationEXT
0000000000006f83 (__TEXT,__text) external _glBindFragDataLocationIndexed
0000000000005f61 (__TEXT,__text) external _glBindFramebuffer
000000000000abc6 (__TEXT,__text) external _glBindFramebufferEXT
0000000000008686 (__TEXT,__text) external _glBindProgramARB
0000000000007b92 (__TEXT,__text) external _glBindProgramPipeline
0000000000005e8c (__TEXT,__text) external _glBindRenderbuffer
000000000000aaf1 (__TEXT,__text) external _glBindRenderbufferEXT
0000000000007030 (__TEXT,__text) external _glBindSampler
0000000000000f3a (__TEXT,__text) external _glBindTexture
00000000000077ee (__TEXT,__text) external _glBindTransformFeedback
00000000000061c2 (__TEXT,__text) external _glBindVertexArray
000000000000ba66 (__TEXT,__text) external _glBindVertexArrayAPPLE
0000000000000f5b (__TEXT,__text) external _glBitmap
0000000000003aaf (__TEXT,__text) external _glBlendColor
000000000000aa77 (__TEXT,__text) external _glBlendColorEXT
0000000000003ac9 (__TEXT,__text) external _glBlendEquation
000000000000aa91 (__TEXT,__text) external _glBlendEquationEXT
0000000000005d78 (__TEXT,__text) external _glBlendEquationSeparate
000000000000bd4f (__TEXT,__text) external _glBlendEquationSeparateATI
000000000000aaaf (__TEXT,__text) external _glBlendEquationSeparateEXT
000000000000799f (__TEXT,__text) external _glBlendEquationSeparatei
000000000000a3b0 (__TEXT,__text) external _glBlendEquationSeparateiARB
000000000000797b (__TEXT,__text) external _glBlendEquationi
000000000000a38c (__TEXT,__text) external _glBlendEquationiARB
0000000000000f80 (__TEXT,__text) external _glBlendFunc
0000000000004b76 (__TEXT,__text) external _glBlendFuncSeparate
000000000000aa08 (__TEXT,__text) external _glBlendFuncSeparateEXT
00000000000079ef (__TEXT,__text) external _glBlendFuncSeparatei
000000000000a400 (__TEXT,__text) external _glBlendFuncSeparateiARB
00000000000079c7 (__TEXT,__text) external _glBlendFunci
000000000000a3d8 (__TEXT,__text) external _glBlendFunciARB
00000000000060ce (__TEXT,__text) external _glBlitFramebuffer
000000000000ad33 (__TEXT,__text) external _glBlitFramebufferEXT
0000000000004f8f (__TEXT,__text) external _glBufferData
0000000000009bb3 (__TEXT,__text) external _glBufferDataARB
000000000000bbf9 (__TEXT,__text) external _glBufferParameteriAPPLE
0000000000004fb4 (__TEXT,__text) external _glBufferSubData
0000000000009bd8 (__TEXT,__text) external _glBufferSubDataARB
0000000000000fa1 (__TEXT,__text) external _glCallList
0000000000000fbc (__TEXT,__text) external _glCallLists
0000000000005fcd (__TEXT,__text) external _glCheckFramebufferStatus
000000000000ac32 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00000000000063ff (__TEXT,__text) external _glClampColor
000000000000a2e1 (__TEXT,__text) external _glClampColorARB
0000000000000fe1 (__TEXT,__text) external _glClear
0000000000000ffc (__TEXT,__text) external _glClearAccum
0000000000006a6f (__TEXT,__text) external _glClearBufferfi
0000000000006a47 (__TEXT,__text) external _glClearBufferfv
00000000000069f7 (__TEXT,__text) external _glClearBufferiv
0000000000006a1f (__TEXT,__text) external _glClearBufferuiv
0000000000001013 (__TEXT,__text) external _glClearColor
000000000000b4fc (__TEXT,__text) external _glClearColorIiEXT
000000000000b51f (__TEXT,__text) external _glClearColorIuiEXT
000000000000102a (__TEXT,__text) external _glClearDepth
0000000000007a91 (__TEXT,__text) external _glClearDepthf
0000000000001041 (__TEXT,__text) external _glClearIndex
0000000000001058 (__TEXT,__text) external _glClearStencil
000000000000412e (__TEXT,__text) external _glClientActiveTexture
00000000000090ec (__TEXT,__text) external _glClientActiveTextureARB
0000000000006dbe (__TEXT,__text) external _glClientWaitSync
0000000000001076 (__TEXT,__text) external _glClipPlane
000000000000109a (__TEXT,__text) external _glColor3b
00000000000010c2 (__TEXT,__text) external _glColor3bv
00000000000010e2 (__TEXT,__text) external _glColor3d
00000000000010fc (__TEXT,__text) external _glColor3dv
000000000000111c (__TEXT,__text) external _glColor3f
0000000000001136 (__TEXT,__text) external _glColor3fv
0000000000001156 (__TEXT,__text) external _glColor3i
000000000000117e (__TEXT,__text) external _glColor3iv
000000000000119e (__TEXT,__text) external _glColor3s
00000000000011c6 (__TEXT,__text) external _glColor3sv
