00007ff841d687c0 (__DATA,__data) external _NDR_record
00007ff8003d04df (__TEXT,__text) non-external __Xexception_raise
00007ff8003d0587 (__TEXT,__text) non-external __Xexception_raise_state
00007ff8003d0676 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff8003c2a30 (__TEXT,__text) external _____sigwait_nocancel
00007ff8003e0908 (__TEXT,__const) external ____kernelVersionNumber
00007ff8003e08d0 (__TEXT,__const) external ____kernelVersionString
00007ff8003c2a48 (__TEXT,__text) external ___abort_with_payload
00007ff8003bf28c (__TEXT,__text) external ___accept
00007ff8003c2a60 (__TEXT,__text) external ___accept_nocancel
00007ff8003c2a78 (__TEXT,__text) external ___access_extended
00007ff8003c2a90 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8003be778 (__TEXT,__text) external ___bind
00007ff8003bb548 (__TEXT,__text) external ___bsdthread_create
00007ff8003b9d04 (__TEXT,__text) external ___bsdthread_ctl
00007ff8003bd008 (__TEXT,__text) external ___bsdthread_register
00007ff8003ba9a8 (__TEXT,__text) external ___bsdthread_terminate
00007ff8003c3f75 (__TEXT,__text) non-external ___bzero
00007ff8003c23e0 (__TEXT,__text) external ___carbon_delete
00007ff8003c2aa8 (__TEXT,__text) external ___channel_get_info
00007ff8003c2ac0 (__TEXT,__text) external ___channel_get_opt
00007ff8003c2ad8 (__TEXT,__text) external ___channel_open
00007ff8003c2af0 (__TEXT,__text) external ___channel_set_opt
00007ff8003c2b08 (__TEXT,__text) external ___channel_sync
00007ff8003bb4d8 (__TEXT,__text) external ___chmod
00007ff8003bcb94 (__TEXT,__text) external ___chmod_extended
00007ff8003b99c4 (__TEXT,__text) external ___close_nocancel
00007ff8003c2b20 (__TEXT,__text) external ___coalition
00007ff8003c2b38 (__TEXT,__text) external ___coalition_info
00007ff8003c2b50 (__TEXT,__text) external ___coalition_ledger
00007ff8003b9dcd (__TEXT,__text) external ___commpage_gettimeofday
00007ff8003b9dd4 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff8003bbc1c (__TEXT,__text) external ___connect
00007ff8003bbaa4 (__TEXT,__text) external ___connect_nocancel
00007ff8003c2b68 (__TEXT,__text) external ___copyfile
00007ff8003c2b80 (__TEXT,__text) external ___crossarch_trap
00007ff8003b8dac (__TEXT,__text) external ___csrctl
00007ff8003c9b3f (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff8003c2b98 (__TEXT,__text) external ___debug_syscall_reject
00007ff8003c2bb0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff8003c23f8 (__TEXT,__text) external ___delete
00007ff8003ba990 (__TEXT,__text) external ___disable_threadsignal
00007ff8003b8d13 (__TEXT,__text) external ___error
00007ff8003c2bc8 (__TEXT,__text) external ___execve
00007ff8003be2c0 (__TEXT,__text) external ___exit
00007ff8003bbe2c (__TEXT,__text) external ___fchmod
00007ff8003bccc8 (__TEXT,__text) external ___fchmod_extended
00007ff8003b8fb4 (__TEXT,__text) external ___fcntl
00007ff8003bba74 (__TEXT,__text) external ___fcntl_nocancel
00007ff8003be5e4 (__TEXT,__text) external ___fork
00007ff8003c2be0 (__TEXT,__text) external ___fs_snapshot
00007ff8003bccb0 (__TEXT,__text) external ___fstat64_extended
00007ff8003c2bf8 (__TEXT,__text) external ___fstat_extended
00007ff8003c2c10 (__TEXT,__text) external ___fsync_nocancel
00007ff8003bfdd0 (__TEXT,__text) external ___get_remove_counter
00007ff8003b8d2c (__TEXT,__text) external ___getattrlist
00007ff8003b9c8c (__TEXT,__text) external ___getdirentries64
00007ff8003bcb64 (__TEXT,__text) external ___gethostuuid
00007ff8003c1ee0 (__TEXT,__text) external ___getlogin
00007ff8003bbd1c (__TEXT,__text) external ___getpeername
00007ff8003b8980 (__TEXT,__text) external ___getpid
00007ff8003ba194 (__TEXT,__text) external ___getrlimit
00007ff8003c2c28 (__TEXT,__text) external ___getsgroups
00007ff8003be684 (__TEXT,__text) external ___getsockname
00007ff8003b9b98 (__TEXT,__text) external ___gettid
00007ff8003bb58d (__TEXT,__text) external ___gettimeofday
00007ff8003bb578 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff8003c2c40 (__TEXT,__text) external ___getwgroups
00007ff8003c2c58 (__TEXT,__text) external ___guarded_open_dprotected_np
