00007ffa19628b5b (__TEXT,__text) non-external _DiToMD5
00007ffa19628e3b (__TEXT,__text) non-external _DiToSHA1
00007ffa19611cc1 (__TEXT,__text) external _DriverExecutableMain
00007ffa41e67620 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffa41e678e0 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffa41e677e8 (__DATA_CONST,__const) external _IOCommand_Class
00007ffa41e679d8 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffa41e67b38 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffa1960e7d7 (__TEXT,__text) external _IODelay
00007ffa41e67ce8 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffa41e67e98 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffa196121ef (__TEXT,__text) external _IODriverKitTest
00007ffa196389ca (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffa196389f5 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffa19638a18 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffa19638a43 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffa19638a66 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffa19638a89 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffa19638aac (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffa19638acf (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffa41e68048 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffa1960e786 (__TEXT,__text) external _IOFree
00007ffa1960e7bd (__TEXT,__text) external _IOFreeData
00007ffa196121d4 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffa41e68898 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffa41e681a8 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffa1960e7ea (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffa1961104e (__TEXT,__text) external _IOLockAlloc
00007ffa1961109d (__TEXT,__text) external _IOLockAssert
00007ffa196383fb (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffa19611069 (__TEXT,__text) external _IOLockFree
00007ffa1961107f (__TEXT,__text) external _IOLockLock
00007ffa19611089 (__TEXT,__text) external _IOLockTryLock
00007ffa19611093 (__TEXT,__text) external _IOLockUnlock
00007ffa1960e589 (__TEXT,__text) external _IOLog
00007ffa1960e412 (__TEXT,__text) external _IOLogBuffer
00007ffa1960e631 (__TEXT,__text) external _IOLogv
00007ffa1960e759 (__TEXT,__text) external _IOMalloc
00007ffa1960e790 (__TEXT,__text) external _IOMallocData
00007ffa1960e774 (__TEXT,__text) external _IOMallocZero
00007ffa1960e7ab (__TEXT,__text) external _IOMallocZeroData
00007ffa41e68358 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffa41e68508 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffa1960e86a (__TEXT,__text) external _IOParseBootArgNumber
00007ffa1960ecef (__TEXT,__text) external _IOParseBootArgString
00007ffa1961028b (__TEXT,__text) external _IORPCMessageFromMach
00007ffa19638154 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffa19638189 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffa1961128b (__TEXT,__text) external _IORWLockAlloc
00007ffa19638513 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffa196112c0 (__TEXT,__text) external _IORWLockFree
00007ffa196112e7 (__TEXT,__text) external _IORWLockRead
00007ffa19638536 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffa1961130f (__TEXT,__text) external _IORWLockUnlock
00007ffa1963857c (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffa196112fb (__TEXT,__text) external _IORWLockWrite
00007ffa19638559 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffa19611115 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffa19611141 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffa196111fd (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffa196384aa (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffa19611157 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffa1963841e (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffa19638441 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffa1961122d (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffa196384cd (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffa196384f0 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffa196111ab (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffa19638464 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffa19638487 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffa196110b9 (__TEXT,__text) external _IORecursiveLockAlloc
00007ffa196110d5 (__TEXT,__text) external _IORecursiveLockFree
00007ffa19611101 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffa196110eb (__TEXT,__text) external _IORecursiveLockLock
00007ffa1961110b (__TEXT,__text) external _IORecursiveLockTryLock
00007ffa196110f7 (__TEXT,__text) external _IORecursiveLockUnlock
00007ffa41e68938 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffa41e686b8 (__DATA_CONST,__const) external _IOReporter_Class
00007ffa41e68d40 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffa41e68ea0 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffa41e68b90 (__DATA_CONST,__const) external _IOService_Class
00007ffa41e68758 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffa1960e7c7 (__TEXT,__text) external _IOSleep
00007ffa41e687f8 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffa19611395 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffa19611323 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffa1961135f (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffa19611374 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffa41e6ab10 (__DATA_CONST,__const) external _IOThread_Class
00007ffa41e69000 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffa41e691b0 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffa19611d07 (__TEXT,__text) external _IOUserServerMain
00007ffa1963886c (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffa196389a7 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffa1963888f (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffa196388b2 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffa196388d5 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffa196388f8 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffa1963891b (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffa1963893e (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffa19638961 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffa19638984 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffa41e69490 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffa44561bf0 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffa41e69640 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffa19628cf2 (__TEXT,__text) external _MD5Final
00007ffa19628ac0 (__TEXT,__text) external _MD5Init
00007ffa19628c7b (__TEXT,__text) non-external _MD5ToDi
00007ffa19628bbe (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffa41e697a0 (__DATA_CONST,__const) external _OSAction_Class
00007ffa41e69250 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffa41e6a8a0 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffa1961a3e7 (__TEXT,__text) external _OSArrayAppendValue
00007ffa1961a07f (__TEXT,__text) external _OSArrayApply
00007ffa1961a02b (__TEXT,__text) external _OSArrayCreate
00007ffa19619723 (__TEXT,__text) external _OSArrayGetCount
00007ffa1961a475 (__TEXT,__text) external _OSArrayGetStringValue
00007ffa1961a4e5 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffa1961a41b (__TEXT,__text) external _OSArrayGetValue
00007ffa1961a3d8 (__TEXT,__text) external _OSArrayReplaceValue
00007ffa1961a4a0 (__TEXT,__text) external _OSArraySetStringValue
00007ffa1961a5ab (__TEXT,__text) external _OSArraySetUInt64Value
00007ffa1961a251 (__TEXT,__text) external _OSArraySetValue
00007ffa41e69950 (__DATA_CONST,__const) external _OSArray_Class
00007ffa41e69a48 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffa41e69b40 (__DATA_CONST,__const) external _OSBundle_Class
00007ffa19618412 (__TEXT,__text) external _OSCollectionTypeID
00007ffa196394b5 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffa19618398 (__TEXT,__text) external _OSCollectionTypeName
00007ffa19639471 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
