000000018b149510 (__TEXT,__text) non-external _Annihilate
000000018b185a3c (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
000000018b18608c (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
000000018b184bd0 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
000000018b149280 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
000000018b162d58 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
000000018b13cb88 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
000000018b1499d4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
000000018b13cde4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
000000018b1833ec (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
000000018b183c78 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
000000018b13d05c (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
000000018b150180 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
000000018b15b72c (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
000000018b15c2fc (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
000000018b15ab5c (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
000000018b15ae64 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
000000018b15ba34 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
000000018b15a294 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
000000018b143e0c (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
000000018b145328 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
000000018b146688 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
000000018b1479e8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
000000018b143fc8 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
000000018b177e88 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
000000018b179d70 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
000000018b17ab78 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
000000018b17b980 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
000000018b17c788 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
000000018b17d590 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
000000018b17e398 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000018b17f1a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000018b1800c0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000018b178160 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000018b178f68 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000018b158708 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
000000018b169958 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000018b15e8a8 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
000000018b157d04 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000018b15e748 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000018b14e82c (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000018b14e94c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000018b14ea68 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000018b14e8ec (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000018b152b1c (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000018b152b14 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000018b1529c4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000018b154d54 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000018b152ac8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000018b152aa8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000018b14e7d8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
000000018b154d10 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
000000018b154c90 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
000000018b154b5c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000018b154c44 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000018b1529fc (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000018b152b44 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000018b14e55c (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000018b14e564 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000018b14a538 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000018b13d7e4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000018b13f3d0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
000000018b13d5bc (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
000000018b13d6d4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
000000018b14320c (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
000000018b140194 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
000000018b13d7bc (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
000000018b13d4d8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
000000018b14321c (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
000000018b143284 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
000000018b151398 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
000000018b15757c (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
000000018b1759c4 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
000000018b1493d0 (__TEXT,__text) non-external (was a private external) _BrotliFree
000000018b1499c4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
000000018b1618d0 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
000000018b15b38c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
000000018b15bf5c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
000000018b15a7bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
000000018b15b0bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
000000018b15bc8c (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
000000018b15a4ec (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
000000018b15b590 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
000000018b15c160 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
000000018b15a9c0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
000000018b15b420 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
000000018b15bff0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
000000018b15a850 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
000000018b14e63c (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
000000018b14a528 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
000000018b1832cc (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
000000018b16185c (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
000000018b149240 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
000000018b15ce30 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
000000018b177974 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
000000018b184abc (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
000000018b157fa4 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
000000018b1668d0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
000000018b166cf4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
000000018b1664ac (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
000000018b1a93f8 (__TEXT,__const) non-external _BrotliReverseBits.kLut
000000018b14e69c (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
000000018b157c2c (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
000000018b1499d0 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
000000018b14a578 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
000000018b162aa8 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
000000018b1dd538 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
000000018b1dd532 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
000000018b1dd520 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000018b1634a8 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000018b1656c8 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
000000018b148de4 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018b180fe0 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000018b164d2c (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000018b165a8c (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
000000018b1618dc (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
000000018b14e64c (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
000000018b14942c (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
000000018b1582d8 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
000000018b15d164 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
000000018b15ce5c (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000018b1640a0 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
000000018b149084 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000018b16502c (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
000000018b148e8c (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000018b164f88 (__TEXT,__text) non-external _BuildHistograms
000000018b189290 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
000000018b189390 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
000000018b143290 (__TEXT,__text) non-external _ChooseDistanceParams
000000018b1492ec (__TEXT,__text) non-external _CollectGarbagePointers
000000018b183a94 (__TEXT,__text) non-external _ComputeDistanceCost
