000000025a81d86c (__TEXT,__text) non-external _Done_iODBC
000000025a83ca70 (__TEXT,__const) non-external _FunctionNumbers
000000025a83b87c (__TEXT,__text) non-external _GetPrivateProfileString
000000025a81d6dc (__TEXT,__text) non-external _Init_iODBC
000000027066cd2c (__DATA,__common) non-external _ODBCSharedTraceFlag
000000025a81bdc0 (__TEXT,__text) external _SQLAllocConnect
000000025a81bcc8 (__TEXT,__text) non-external _SQLAllocConnect_Internal
000000025a81d64c (__TEXT,__text) external _SQLAllocEnv
000000025a81d4a0 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000025a827738 (__TEXT,__text) external _SQLAllocHandle
000000025a827850 (__TEXT,__text) non-external _SQLAllocHandleStd
000000025a82748c (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000025a820380 (__TEXT,__text) external _SQLAllocStmt
000000025a81fea0 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000025a8253f4 (__TEXT,__text) external _SQLBindCol
000000025a82d4f0 (__TEXT,__text) external _SQLBindParam
000000025a82489c (__TEXT,__text) external _SQLBindParameter
000000025a818a68 (__TEXT,__text) external _SQLBrowseConnect
000000025a818bb0 (__TEXT,__text) external _SQLBrowseConnectA
000000025a818cf8 (__TEXT,__text) external _SQLBrowseConnectW
000000025a818518 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000025a82d004 (__TEXT,__text) external _SQLBulkOperations
000000025a8212b4 (__TEXT,__text) external _SQLCancel
000000025a82d534 (__TEXT,__text) external _SQLCloseCursor
000000025a82ca48 (__TEXT,__text) external _SQLColAttribute
000000025a82cbf0 (__TEXT,__text) external _SQLColAttributeA
000000025a82cd98 (__TEXT,__text) external _SQLColAttributeW
000000025a82c324 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000025a826f94 (__TEXT,__text) external _SQLColAttributes
000000025a82713c (__TEXT,__text) external _SQLColAttributesA
000000025a8272e4 (__TEXT,__text) external _SQLColAttributesW
000000025a826b10 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000025a8119b0 (__TEXT,__text) external _SQLColumnPrivileges
000000025a811b94 (__TEXT,__text) external _SQLColumnPrivilegesA
000000025a811d78 (__TEXT,__text) external _SQLColumnPrivilegesW
000000025a811720 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000025a8121ec (__TEXT,__text) external _SQLColumns
000000025a8123d0 (__TEXT,__text) external _SQLColumnsA
000000025a8125b4 (__TEXT,__text) external _SQLColumnsW
000000025a811f5c (__TEXT,__text) non-external _SQLColumns_Internal
000000025a815e74 (__TEXT,__text) external _SQLConnect
000000025a81660c (__TEXT,__text) external _SQLConnectA
000000025a81676c (__TEXT,__text) external _SQLConnectW
000000025a815fd4 (__TEXT,__text) non-external _SQLConnect_Internal
000000025a83c4fc (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
000000025a82c1a8 (__TEXT,__text) external _SQLCopyDesc
000000025a821e18 (__TEXT,__text) external _SQLDataSources
000000025a821f60 (__TEXT,__text) external _SQLDataSourcesA
000000025a8220a8 (__TEXT,__text) external _SQLDataSourcesW
000000025a8219a8 (__TEXT,__text) non-external _SQLDataSources_Internal
000000027066ccb0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000027066ccd0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000027066ccd8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000025a826534 (__TEXT,__text) external _SQLDescribeCol
000000025a826728 (__TEXT,__text) external _SQLDescribeColA
000000025a82691c (__TEXT,__text) external _SQLDescribeColW
000000025a826288 (__TEXT,__text) non-external _SQLDescribeCol_Internal
000000025a81ab7c (__TEXT,__text) external _SQLDescribeParam
000000025a818e40 (__TEXT,__text) external _SQLDisconnect
000000025a8180a4 (__TEXT,__text) external _SQLDriverConnect
000000025a818220 (__TEXT,__text) external _SQLDriverConnectA
000000025a81839c (__TEXT,__text) external _SQLDriverConnectW
000000025a8168cc (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000025a83c528 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
000000025a83c554 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000025a8226cc (__TEXT,__text) external _SQLDrivers
000000025a822814 (__TEXT,__text) external _SQLDriversA
000000025a82295c (__TEXT,__text) external _SQLDriversW
000000025a8222d4 (__TEXT,__text) non-external _SQLDrivers_Internal
000000027066ccb4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000027066cce0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000027066cce8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
000000025a82cf40 (__TEXT,__text) external _SQLEndTran
000000025a81e02c (__TEXT,__text) external _SQLError
000000025a81e154 (__TEXT,__text) external _SQLErrorA
000000025a81e27c (__TEXT,__text) external _SQLErrorW
000000025a81a084 (__TEXT,__text) external _SQLExecDirect
000000025a81a1d4 (__TEXT,__text) external _SQLExecDirectA
000000025a81a324 (__TEXT,__text) external _SQLExecDirectW
000000025a819e2c (__TEXT,__text) non-external _SQLExecDirect_Internal
000000025a819b64 (__TEXT,__text) external _SQLExecute
000000025a81b268 (__TEXT,__text) external _SQLExtendedFetch
000000025a81afb0 (__TEXT,__text) external _SQLFetch
000000025a82d1f0 (__TEXT,__text) external _SQLFetchScroll
000000025a81adf8 (__TEXT,__text) non-external _SQLFetch_Internal
000000025a812ae4 (__TEXT,__text) external _SQLForeignKeys
000000025a812da0 (__TEXT,__text) external _SQLForeignKeysA
000000025a81305c (__TEXT,__text) external _SQLForeignKeysW
000000025a812798 (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000025a81bf2c (__TEXT,__text) external _SQLFreeConnect
000000025a81be84 (__TEXT,__text) non-external _SQLFreeConnect_Internal
000000025a81d7c0 (__TEXT,__text) external _SQLFreeEnv
000000025a81d728 (__TEXT,__text) non-external _SQLFreeEnv_Internal
000000025a827968 (__TEXT,__text) external _SQLFreeHandle
000000025a8207d4 (__TEXT,__text) external _SQLFreeStmt
000000025a8205cc (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000025a839048 (__TEXT,__text) non-external _SQLGetConfigMode
000000025a82a2a4 (__TEXT,__text) external _SQLGetConnectAttr
000000025a82a75c (__TEXT,__text) external _SQLGetConnectAttrA
000000025a82a8b0 (__TEXT,__text) external _SQLGetConnectAttrW
000000025a82a3f8 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
000000025a81cd5c (__TEXT,__text) external _SQLGetConnectOption
000000025a81ce88 (__TEXT,__text) external _SQLGetConnectOptionA
000000025a81cfb4 (__TEXT,__text) external _SQLGetConnectOptionW
000000025a825958 (__TEXT,__text) external _SQLGetCursorName
000000025a825ac0 (__TEXT,__text) external _SQLGetCursorNameA
000000025a825c28 (__TEXT,__text) external _SQLGetCursorNameW
000000025a825744 (__TEXT,__text) non-external _SQLGetCursorName_Internal
000000025a81b3ec (__TEXT,__text) external _SQLGetData
000000025a82ac98 (__TEXT,__text) external _SQLGetDescField
000000025a82ae0c (__TEXT,__text) external _SQLGetDescFieldA
000000025a82af80 (__TEXT,__text) external _SQLGetDescFieldW
000000025a82aa04 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000025a82b8cc (__TEXT,__text) external _SQLGetDescRec
000000025a82bb00 (__TEXT,__text) external _SQLGetDescRecA
000000025a82bd34 (__TEXT,__text) external _SQLGetDescRecW
000000025a82b6a4 (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000025a81fb7c (__TEXT,__text) external _SQLGetDiagField
000000025a81fc88 (__TEXT,__text) external _SQLGetDiagFieldA
000000025a81fd94 (__TEXT,__text) external _SQLGetDiagFieldW
000000025a81ed44 (__TEXT,__text) non-external _SQLGetDiagField_Internal
000000025a81e9e4 (__TEXT,__text) external _SQLGetDiagRec
000000025a81eb04 (__TEXT,__text) external _SQLGetDiagRecA
000000025a81ec24 (__TEXT,__text) external _SQLGetDiagRecW
000000025a81e3a4 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000025a8280a4 (__TEXT,__text) external _SQLGetEnvAttr
000000025a82358c (__TEXT,__text) external _SQLGetFunctions
000000025a823190 (__TEXT,__text) external _SQLGetInfo
000000025a8232e4 (__TEXT,__text) external _SQLGetInfoA
000000025a823438 (__TEXT,__text) external _SQLGetInfoW
000000025a822b88 (__TEXT,__text) non-external _SQLGetInfo_Internal
000000025a83bf44 (__TEXT,__text) non-external _SQLGetKeywordValue
000000025a83bf90 (__TEXT,__text) non-external _SQLGetKeywordValueW
000000025a83ba58 (__TEXT,__text) non-external _SQLGetPrivateProfileString
000000025a83bc58 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
000000025a828924 (__TEXT,__text) external _SQLGetStmtAttr
000000025a828a9c (__TEXT,__text) external _SQLGetStmtAttrA
000000025a828c14 (__TEXT,__text) external _SQLGetStmtAttrW
000000025a828288 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000025a82101c (__TEXT,__text) external _SQLGetStmtOption
000000025a821168 (__TEXT,__text) external _SQLGetStmtOptionA
000000025a820e3c (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000025a80f9c0 (__TEXT,__text) external _SQLGetTypeInfo
000000025a80fb00 (__TEXT,__text) external _SQLGetTypeInfoA
000000025a80fc40 (__TEXT,__text) external _SQLGetTypeInfoW
000000025a80f800 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
000000025a81b764 (__TEXT,__text) external _SQLMoreResults
000000025a819240 (__TEXT,__text) external _SQLNativeSql
000000025a8193ac (__TEXT,__text) external _SQLNativeSqlA
000000025a819518 (__TEXT,__text) external _SQLNativeSqlW
000000025a818fc8 (__TEXT,__text) non-external _SQLNativeSql_Internal
000000025a81a974 (__TEXT,__text) external _SQLNumParams
000000025a826074 (__TEXT,__text) external _SQLNumResultCols
000000025a81a6ec (__TEXT,__text) external _SQLParamData
000000025a824c9c (__TEXT,__text) external _SQLParamOptions
000000025a823f10 (__TEXT,__text) external _SQLPrepare
000000025a824060 (__TEXT,__text) external _SQLPrepareA
000000025a8241b0 (__TEXT,__text) external _SQLPrepareW
000000025a823d00 (__TEXT,__text) non-external _SQLPrepare_Internal
000000025a813544 (__TEXT,__text) external _SQLPrimaryKeys
000000025a8136ec (__TEXT,__text) external _SQLPrimaryKeysA
000000025a813894 (__TEXT,__text) external _SQLPrimaryKeysW
000000025a813318 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000025a813ccc (__TEXT,__text) external _SQLProcedureColumns
000000025a813eb0 (__TEXT,__text) external _SQLProcedureColumnsA
000000025a814094 (__TEXT,__text) external _SQLProcedureColumnsW
000000025a813a3c (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000025a8144a4 (__TEXT,__text) external _SQLProcedures
000000025a81464c (__TEXT,__text) external _SQLProceduresA
000000025a8147f4 (__TEXT,__text) external _SQLProceduresW
000000025a814278 (__TEXT,__text) non-external _SQLProcedures_Internal
000000025a81a474 (__TEXT,__text) external _SQLPutData
000000025a838710 (__TEXT,__text) non-external _SQLReadFileDSN
000000025a8388a0 (__TEXT,__text) non-external _SQLReadFileDSNW
000000025a825d90 (__TEXT,__text) external _SQLRowCount
000000025a83bfdc (__TEXT,__text) non-external _SQLSetConfigMode
000000025a829cb0 (__TEXT,__text) external _SQLSetConnectAttr
000000025a82a01c (__TEXT,__text) external _SQLSetConnectAttrA
000000025a82a160 (__TEXT,__text) external _SQLSetConnectAttrW
000000025a829df4 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
000000025a81c5dc (__TEXT,__text) external _SQLSetConnectOption
000000025a81c708 (__TEXT,__text) external _SQLSetConnectOptionA
000000025a81c834 (__TEXT,__text) external _SQLSetConnectOptionW
000000025a8244ac (__TEXT,__text) external _SQLSetCursorName
000000025a8245fc (__TEXT,__text) external _SQLSetCursorNameA
000000025a82474c (__TEXT,__text) external _SQLSetCursorNameW
000000025a824300 (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000025a82b290 (__TEXT,__text) external _SQLSetDescField
